 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
17:30 17.12.2019 	 1,07 	 12 	 16 	 11 	  
17:20 17.12.2019 	 1 	 12 	 17 	 11 	  
17:10 17.12.2019 	 0,95 	 12 	 19 	 14 	  
17:00 17.12.2019 	 0,9 	 11 	 15 	 28 	  
16:50 17.12.2019 	 0,85 	 12 	 16 	 21 	  
16:40 17.12.2019 	 0,82 	 11 	 15 	 24 	  
16:30 17.12.2019 	 0,8 	 11 	 15 	 21 	  
16:20 17.12.2019 	 0,79 	 11 	 14 	 14 	  
16:10 17.12.2019 	 0,8 	 11 	 13 	 9 	  
16:00 17.12.2019 	 0,81 	 10 	 15 	 16 	  
15:50 17.12.2019 	 0,83 	 12 	 13 	 8 	  
15:40 17.12.2019 	 0,86 	 12 	 15 	 3 	  
15:30 17.12.2019 	 0,91 	 10 	 13 	 6 	  
15:20 17.12.2019 	 0,96 	 10 	 13 	 4 	  
15:10 17.12.2019 	 1,02 	 8 	 10 	 9 	  
15:00 17.12.2019 	 1,1 	 8 	 12 	 18 	  
14:50 17.12.2019 	 1,18 	 7 	 10 	 18 	  
14:40 17.12.2019 	 1,26 	 8 	 12 	 22 	  
14:30 17.12.2019 	 1,36 	 9 	 13 	 31 	  
14:20 17.12.2019 	 1,46 	 9 	 15 	 27 	  
14:10 17.12.2019 	 1,57 	 8 	 11 	 15 	  
14:00 17.12.2019 	 1,69 	 7 	 11 	 20 	  
13:50 17.12.2019 	 1,8 	 9 	 13 	 16 	  
13:40 17.12.2019 	 1,92 	 11 	 14 	 7 	  
13:30 17.12.2019 	 2,05 	 11 	 15 	 17 	  
13:20 17.12.2019 	 2,17 	 12 	 17 	 11 	  
13:10 17.12.2019 	 2,3 	 13 	 17 	 7 	  
13:00 17.12.2019 	 2,42 	 11 	 16 	 9 	  
12:50 17.12.2019 	 2,55 	 11 	 15 	 8 	  
12:40 17.12.2019 	 2,67 	 13 	 18 	 12 	  
12:30 17.12.2019 	 2,79 	 12 	 16 	 12 	  
12:20 17.12.2019 	 2,91 	 11 	 16 	 2 	  
12:10 17.12.2019 	 3,02 	 12 	 17 	 12 	  
12:00 17.12.2019 	 3,13 	 13 	 16 	 17 	  
11:50 17.12.2019 	 3,24 	 13 	 17 	 9 	  
11:40 17.12.2019 	 3,33 	 13 	 18 	 10 	  
11:30 17.12.2019 	 3,42 	 14 	 18 	 15 	  
11:20 17.12.2019 	 3,51 	 13 	 17 	 13 	  
11:10 17.12.2019 	 3,58 	 14 	 18 	 18 	  
11:00 17.12.2019 	 3,65 	 15 	 18 	 19 	  
10:50 17.12.2019 	 3,71 	 14 	 18 	 18 	  
10:40 17.12.2019 	 3,76 	 14 	 18 	 15 	  
10:30 17.12.2019 	 3,8 	 14 	 19 	 10 	  
10:20 17.12.2019 	 3,83 	 14 	 17 	 13 	  
10:10 17.12.2019 	 3,85 	 13 	 16 	 12 	  
10:00 17.12.2019 	 3,86 	 14 	 17 	 13 	  
09:50 17.12.2019 	 3,87 	 14 	 18 	 15 	  
09:40 17.12.2019 	 3,86 	 14 	 19 	 10 	  
