 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
13:40 07.12.2019 	 2,82 	 3,1 	 12 	 18 	 83 	 986 	 1,4 	 4 	  
13:30 07.12.2019 	 2,75 	 3,07 	 11 	 16 	 86 	 987 	 1,2 	 4 	  
13:20 07.12.2019 	 2,69 	 2,98 	 11 	 17 	 84 	 987 	 1,3 	 4 	  
13:10 07.12.2019 	 2,62 	 2,96 	 11 	 17 	 86 	 987 	 1,2 	 4 	  
13:00 07.12.2019 	 2,55 	 2,85 	 11 	 16 	 85 	 988 	 1,1 	 4 	  
12:50 07.12.2019 	 2,47 	 2,79 	 10 	 17 	 88 	 988 	 1 	 4 	  
12:40 07.12.2019 	 2,4 	 2,7 	 11 	 17 	 85 	 987 	 0,9 	 4,1 	  
12:30 07.12.2019 	 2,32 	 2,66 	 10 	 17 	 88 	 988 	 0,9 	 4,1 	  
12:20 07.12.2019 	 2,25 	 2,59 	 9 	 13 	 91 	 989 	 0,7 	 4,1 	  
12:10 07.12.2019 	 2,17 	 2,55 	 9 	 15 	 87 	 989 	 0,8 	 4,1 	  
12:00 07.12.2019 	 2,1 	 2,46 	 8 	 14 	 91 	 989 	 1 	 4,1 	  
11:50 07.12.2019 	 2,03 	 2,37 	 5 	 9 	 98 	 990 	 0,6 	 4,1 	  
11:40 07.12.2019 	 1,96 	 2,24 	 7 	 11 	 93 	 990 	 0,4 	 4,1 	  
11:30 07.12.2019 	 1,89 	 2,17 	 8 	 13 	 98 	 989 	 0,4 	 4,1 	  
11:20 07.12.2019 	 1,82 	 2,12 	 9 	 16 	 95 	 990 	 0,5 	 4,1 	  
11:10 07.12.2019 	 1,76 	 2,03 	 10 	 15 	 93 	 990 	 0,6 	 4,1 	  
11:00 07.12.2019 	 1,71 	 2 	 10 	 14 	 94 	 991 	 0,4 	 4,1 	  
10:50 07.12.2019 	 1,65 	 1,94 	 10 	 16 	 93 	 991 	 0,5 	 4,1 	  
10:40 07.12.2019 	 1,61 	 1,88 	 11 	 16 	 95 	 991 	 0,5 	 4,1 	  
10:30 07.12.2019 	 1,56 	 1,8 	 10 	 18 	 94 	 990 	 0,4 	 4,1 	  
10:20 07.12.2019 	 1,53 	 1,74 	 11 	 15 	 94 	 991 	 0,5 	 4,1 	  
10:10 07.12.2019 	 1,49 	 1,68 	 10 	 17 	 96 	 991 	 0,4 	 4,1 	  
10:00 07.12.2019 	 1,47 	 1,66 	 9 	 14 	 94 	 992 	 0,2 	 4,1 	  
09:50 07.12.2019 	 1,45 	 1,61 	 11 	 16 	 94 	 992 	 0,2 	 4,1 	  
09:40 07.12.2019 	 1,43 	 1,64 	 11 	 17 	 95 	 992 	 0,2 	 4,1 	  
09:30 07.12.2019 	 1,42 	 1,62 	 10 	 15 	 95 	 992 	 0,1 	 4,1 	  
09:20 07.12.2019 	 1,42 	 1,64 	 10 	 15 	 95 	 992 	 0,1 	 4,1 	  
09:10 07.12.2019 	 1,42 	 1,59 	 9 	 14 	 94 	 992 	 0,1 	 4,1 	  
09:00 07.12.2019 	 1,43 	 1,61 	 8 	 13 	 92 	 993 	 0,1 	 4,1 	  
08:50 07.12.2019 	 1,45 	 1,62 	 8 	 13 	 95 	 993 	 0 	 4,1 	  
08:40 07.12.2019 	 1,47 	 1,67 	 9 	 14 	 93 	 993 	 0,2 	 4,2 	  
08:30 07.12.2019 	 1,49 	 1,68 	 10 	 15 	 94 	 993 	 0,1 	 4,1 	  
08:20 07.12.2019 	 1,53 	 1,71 	 10 	 15 	 93 	 993 	 0,1 	 4,1 	  
08:10 07.12.2019 	 1,56 	 1,77 	 8 	 15 	 93 	 994 	 -0 	 4,2 	  
08:00 07.12.2019 	 1,61 	 1,78 	 8 	 14 	 95 	 994 	 -0 	 4,1 	  
07:50 07.12.2019 	 1,65 	 1,86 	 8 	 12 	 93 	 994 	 -0,1 	 4,2 	  
07:40 07.12.2019 	 1,7 	 1,9 	 8 	 13 	 94 	 994 	 -0,4 	 4,2 	  
07:30 07.12.2019 	 1,76 	 1,96 	 7 	 12 	 96 	 994 	 -0,6 	 4,2 	  
07:20 07.12.2019 	 1,82 	 1,99 	 8 	 11 	 88 	 994 	 -0,5 	 4,2 	  
07:10 07.12.2019 	 1,88 	 2,09 	 7 	 13 	 96 	 994 	 -0,8 	 4,2 	  
07:00 07.12.2019 	 1,94 	 2,12 	 8 	 13 	 95 	 995 	 -0,7 	 4,2 	  
06:50 07.12.2019 	 2,01 	 2,18 	 8 	 13 	 94 	 995 	 -0,7 	 4,2 	  
06:40 07.12.2019 	 2,08 	 2,26 	 7 	 13 	 88 	 995 	 -0,7 	 4,1 	  
06:30 07.12.2019 	 2,14 	 2,27 	 8 	 12 	 94 	 995 	 -0,9 	 4,1 	  
