 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (°C)	
19:00 16.12.2019 	 2,57 	 2,75 	 3 	 6 	 97 	 0,2 	  
18:50 16.12.2019 	 2,45 	 2,62 	 2 	 4 	 166 	 0,4 	  
18:40 16.12.2019 	 2,34 	 2,48 	 2 	 3 	 142 	 0,4 	  
18:30 16.12.2019 	 2,21 	 2,39 	 2 	 3 	 81 	 0,4 	  
18:20 16.12.2019 	 2,09 	 2,28 	 3 	 5 	 81 	 0,5 	  
18:10 16.12.2019 	 1,97 	 2,13 	 4 	 6 	 80 	 0,8 	  
18:00 16.12.2019 	 1,84 	 1,98 	 4 	 6 	 71 	 1,4 	  
17:50 16.12.2019 	 1,72 	 1,83 	 5 	 6 	 89 	 0,3 	  
17:40 16.12.2019 	 1,6 	 1,7 	 5 	 6 	 83 	 1,1 	  
17:30 16.12.2019 	 1,49 	 1,6 	 6 	 8 	 84 	 0,5 	  
17:20 16.12.2019 	 1,37 	 1,54 	 6 	 8 	 86 	 0,7 	  
17:10 16.12.2019 	 1,27 	 1,47 	 6 	 9 	 86 	 0,6 	  
17:00 16.12.2019 	 1,17 	 1,39 	 6 	 9 	 86 	 0,7 	  
16:50 16.12.2019 	 1,07 	 1,27 	 5 	 7 	 68 	 1,7 	  
16:40 16.12.2019 	 0,99 	 1,17 	 5 	 7 	 84 	 1,2 	  
16:30 16.12.2019 	 0,91 	 1,1 	 3 	 5 	 106 	 1,2 	  
16:20 16.12.2019 	 0,84 	 1,07 	 1 	 2 	 167 	 0,8 	  
16:10 16.12.2019 	 0,78 	 1,04 	 3 	 4 	 156 	 0,5 	  
16:00 16.12.2019 	 0,73 	 1,03 	 3 	 5 	 111 	 2 	  
15:50 16.12.2019 	 0,7 	 0,96 	 3 	 4 	 204 	 2,2 	  
15:40 16.12.2019 	 0,67 	 0,93 	 4 	 6 	 285 	 1,8 	  
15:30 16.12.2019 	 0,66 	 0,91 	 4 	 7 	 66 	 2,4 	  
15:20 16.12.2019 	 0,66 	 0,93 	 7 	 9 	 103 	 2,1 	  
15:10 16.12.2019 	 0,67 	 0,95 	 7 	 9 	 94 	 2,1 	  
15:00 16.12.2019 	 0,69 	 0,98 	 6 	 9 	 103 	 2,2 	  
14:50 16.12.2019 	 0,73 	 0,99 	 2 	 5 	 146 	 1,8 	  
14:40 16.12.2019 	 0,77 	 1,06 	 3 	 5 	 128 	 1,6 	  
14:30 16.12.2019 	 0,83 	 1,1 	 3 	 4 	 134 	 2,4 	  
14:20 16.12.2019 	 0,9 	 1,13 	 2 	 4 	 187 	 2,1 	  
14:10 16.12.2019 	 0,98 	 1,2 	 2 	 3 	 105 	 2,2 	  
14:00 16.12.2019 	 1,07 	 1,3 	 3 	 6 	 55 	 2,5 	  
13:50 16.12.2019 	 1,16 	 1,37 	 4 	 8 	 74 	 2,6 	  
13:40 16.12.2019 	 1,27 	 1,48 	 6 	 8 	 41 	 2,8 	  
13:30 16.12.2019 	 1,38 	 1,59 	 7 	 10 	 45 	 2,6 	  
13:20 16.12.2019 	 1,5 	 1,71 	 7 	 10 	 55 	 3 	  
13:10 16.12.2019 	 1,63 	 1,81 	 8 	 10 	 37 	 2,8 	  
13:00 16.12.2019 	 1,76 	 1,96 	 9 	 11 	 40 	 3,4 	  
12:50 16.12.2019 	 1,89 	 2,09 	 11 	 13 	 47 	 3,9 	  
12:40 16.12.2019 	 2,03 	 2,27 	 8 	 11 	 62 	 3,6 	  
12:30 16.12.2019 	 2,16 	 2,4 	 6 	 10 	 63 	 3,7 	  
12:20 16.12.2019 	 2,3 	 2,53 	 6 	 9 	 36 	 3,6 	  
12:10 16.12.2019 	 2,44 	 2,63 	 5 	 11 	 18 	 3,4 	  
12:00 16.12.2019 	 2,58 	 2,78 	 6 	 10 	 358 	 3,1 	  
11:50 16.12.2019 	 2,71 	 2,93 	 5 	 13 	 354 	 3,1 	  
11:40 16.12.2019 	 2,85 	 3,06 	 6 	 8 	 344 	 2,7 	  
11:30 16.12.2019 	 2,98 	 3,22 	 1 	 3 	 8 	 4,3 	  
11:20 16.12.2019 	 3,1 	 3,34 	 5 	 10 	 78 	 4,2 	  
11:10 16.12.2019 	 3,22 	 3,43 	 8 	 12 	 68 	 4,2 	  
11:00 16.12.2019 	 3,33 	 3,56 	 8 	 12 	 66 	 4,1 	  
10:50 16.12.2019 	 3,44 	 3,66 	 7 	 11 	 65 	 4,1 	  
10:40 16.12.2019 	 3,54 	 3,78 	 7 	 11 	 65 	 4,4 	  
10:30 16.12.2019 	 3,63 	 3,86 	 7 	 11 	 58 	 4,3 	  
10:20 16.12.2019 	 3,71 	 3,91 	 6 	 10 	 59 	 4,1 	  
10:10 16.12.2019 	 3,79 	 3,97 	 5 	 9 	 60 	 4,1 	  
10:00 16.12.2019 	 3,85 	 4,03 	 8 	 11 	 65 	 4,5 	  
09:50 16.12.2019 	 3,91 	 4,07 	 8 	 12 	 65 	 4,5 	  
09:40 16.12.2019 	 3,95 	 4,14 	 8 	 12 	 63 	 4,5 	  
09:30 16.12.2019 	 3,99 	 4,18 	 8 	 10 	 63 	 4,4 	  
09:20 16.12.2019 	 4,01 	 4,23 	 7 	 11 	 61 	 4 	  
09:10 16.12.2019 	 4,02 	 4,22 	 8 	 10 	 57 	 4,1 	  
09:00 16.12.2019 	 4,02 	 4,21 	 7 	 10 	 53 	 4,1 	  
08:50 16.12.2019 	 4,01 	 4,2 	 9 	 12 	 61 	 4,6 	  
08:40 16.12.2019 	 3,99 	 4,21 	 7 	 12 	 75 	 5,2 	  
08:30 16.12.2019 	 3,96 	 4,18 	 6 	 9 	 78 	 4,2 	  
08:20 16.12.2019 	 3,92 	 4,11 	 2 	 5 	 93 	 2,8 	  
08:10 16.12.2019 	 3,87 	 4,08 	 0 	 2 	 116 	 1,6 	  
08:00 16.12.2019 	 3,81 	 4,03 	 1 	 2 	 286 	 1,2 	  
07:50 16.12.2019 	 3,74 	 3,98 	 1 	 2 	 265 	 -0 	  
07:40 16.12.2019 	 3,66 	 3,9 	 1 	 2 	 218 	 -0,4 	  
07:30 16.12.2019 	 3,57 	 3,82 	 1 	 2 	 113 	 -0,8 	  
07:20 16.12.2019 	 3,47 	 3,74 	 2 	 3 	 119 	 -1,2 	  
07:10 16.12.2019 	 3,36 	 3,63 	 3 	 4 	 131 	 -0,9 	  
07:00 16.12.2019 	 3,25 	 3,51 	 3 	 4 	 127 	 -1,3 	  
06:50 16.12.2019 	 3,13 	 3,42 	 2 	 3 	 139 	 -1,7 	  
06:40 16.12.2019 	 3 	 3,3 	 2 	 3 	 131 	 -2,4 	  
06:30 16.12.2019 	 2,87 	 3,17 	 2 	 3 	 136 	 -1,4 	  
06:20 16.12.2019 	 2,73 	 3,03 	 2 	 3 	 135 	 -1,8 	  
06:10 16.12.2019 	 2,59 	 2,86 	 1 	 3 	 121 	 -2,3 	  
06:00 16.12.2019 	 2,45 	 2,71 	 1 	 2 	 145 	 -2,8 	  
05:50 16.12.2019 	 2,31 	 2,58 	 2 	 3 	 132 	 -2,8 	  
05:40 16.12.2019 	 2,16 	 2,41 	 1 	 3 	 107 	 -2,4 	  
05:30 16.12.2019 	 2,02 	 2,28 	 1 	 1 	 127 	 -2,3 	  
05:20 16.12.2019 	 1,88 	 2,13 	 1 	 2 	 124 	 -2,6 	  
05:10 16.12.2019 	 1,74 	 1,97 	 2 	 3 	 126 	 -2,8 	  
05:00 16.12.2019 	 1,6 	 1,84 	 2 	 2 	 125 	 -2,6 	  
04:50 16.12.2019 	 1,47 	 1,71 	 2 	 3 	 133 	 -2,7 	  
04:40 16.12.2019 	 1,35 	 1,59 	 2 	 3 	 134 	 -2,8 	  
04:30 16.12.2019 	 1,23 	 1,48 	 2 	 3 	 130 	 -3,2 	  
04:20 16.12.2019 	 1,12 	 1,38 	 3 	 4 	 118 	 -3,3 	  
04:10 16.12.2019 	 1,02 	 1,3 	 2 	 3 	 144 	 -2,8 	  
04:00 16.12.2019 	 0,93 	 1,23 	 3 	 3 	 138 	 -2,7 	  
03:50 16.12.2019 	 0,85 	 1,14 	 2 	 3 	 138 	 -2,8 	  
03:40 16.12.2019 	 0,78 	 1,07 	 2 	 4 	 131 	 -2,9 	  
03:30 16.12.2019 	 0,72 	 1,03 	 3 	 4 	 130 	 -2,8 	  
03:20 16.12.2019 	 0,67 	 1 	 3 	 5 	 135 	 -2,8 	  
03:10 16.12.2019 	 0,64 	 0,98 	 3 	 4 	 133 	 -2,8 	  
03:00 16.12.2019 	 0,62 	 0,94 	 3 	 4 	 135 	 -2,5 	  
02:50 16.12.2019 	 0,61 	 0,94 	 3 	 4 	 132 	 -2,4 	  
02:40 16.12.2019 	 0,61 	 0,92 	 2 	 3 	 139 	 -1,6 	  
02:30 16.12.2019 	 0,63 	 0,94 	 3 	 4 	 136 	 -2,2 	  
02:20 16.12.2019 	 0,66 	 0,95 	 3 	 4 	 150 	 -1,4 	  
02:10 16.12.2019 	 0,7 	 0,96 	 3 	 4 	 138 	 -1,8 	  
02:00 16.12.2019 	 0,75 	 1,01 	 3 	 4 	 144 	 -1,4 	  
01:50 16.12.2019 	 0,82 	 1,06 	 3 	 4 	 136 	 -1,4 	  
01:40 16.12.2019 	 0,89 	 1,12 	 1 	 3 	 145 	 -1 	  
01:30 16.12.2019 	 0,97 	 1,2 	 1 	 2 	 161 	 -1,2 	  
01:20 16.12.2019 	 1,07 	 1,31 	 1 	 1 	 139 	 -1 	  
01:10 16.12.2019 	 1,17 	 1,41 	 1 	 2 	 143 	 -0,8 	  
01:00 16.12.2019 	 1,27 	 1,53 	 1 	 2 	 142 	 -0,9 	  
00:50 16.12.2019 	 1,39 	 1,65 	 1 	 2 	 170 	 -1,3 	  
00:40 16.12.2019 	 1,51 	 1,78 	 1 	 1 	 221 	 -1,1 	  
00:30 16.12.2019 	 1,63 	 1,92 	 1 	 2 	 141 	 -0,8 	  
00:20 16.12.2019 	 1,76 	 2,05 	 1 	 2 	 126 	 -0,7 	  
00:10 16.12.2019 	 1,88 	 2,17 	 3 	 4 	 122 	 -0,8 	  
00:00 16.12.2019 	 2,01 	 2,29 	 3 	 4 	 112 	 -0,7 	  
23:50 15.12.2019 	 2,14 	 2,46 	 3 	 4 	 119 	 -0,5 	  
23:40 15.12.2019 	 2,27 	 2,62 	 3 	 3 	 125 	 -0,7 	  
23:30 15.12.2019 	 2,4 	 2,79 	 2 	 3 	 138 	 -0,1 	  
23:20 15.12.2019 	 2,53 	 2,9 	 3 	 5 	 155 	 -0,5 	  
23:10 15.12.2019 	 2,65 	 3,01 	 3 	 4 	 133 	 -0,3 	  
23:00 15.12.2019 	 2,77 	 3,11 	 2 	 2 	 177 	 0,1 	  
22:50 15.12.2019 	 2,88 	 3,22 	 2 	 2 	 177 	 -0 	  
22:40 15.12.2019 	 2,99 	 3,34 	 2 	 3 	 157 	 0,1 	  
22:30 15.12.2019 	 3,09 	 3,45 	 2 	 3 	 185 	 -0,2 	  
22:20 15.12.2019 	 3,19 	 3,55 	 3 	 4 	 191 	 -0,1 	  
22:10 15.12.2019 	 3,27 	 3,63 	 3 	 4 	 198 	 -0,1 	  
22:00 15.12.2019 	 3,35 	 3,7 	 3 	 4 	 193 	 -0,2 	  
21:50 15.12.2019 	 3,42 	 3,72 	 3 	 4 	 200 	 0 	  
21:40 15.12.2019 	 3,49 	 3,82 	 3 	 5 	 202 	 0,2 	  
21:30 15.12.2019 	 3,54 	 3,86 	 4 	 6 	 206 	 0,2 	  
21:20 15.12.2019 	 3,58 	 3,93 	 4 	 6 	 206 	 0,2 	  
21:10 15.12.2019 	 3,62 	 3,96 	 3 	 4 	 200 	 -0,1 	  
21:00 15.12.2019 	 3,64 	 3,94 	 2 	 3 	 176 	 0,2 	  
20:50 15.12.2019 	 3,66 	 3,98 	 2 	 3 	 170 	 0,3 	  
20:40 15.12.2019 	 3,66 	 3,91 	 2 	 3 	 156 	 0,4 	  
20:30 15.12.2019 	 3,66 	 3,89 	 3 	 4 	 159 	 0,4 	  
20:20 15.12.2019 	 3,64 	 3,86 	 5 	 10 	 2 	 1,3 	  
20:10 15.12.2019 	 3,61 	 3,83 	 8 	 12 	 342 	 1,8 	  
20:00 15.12.2019 	 3,58 	 3,83 	 8 	 11 	 347 	 1,3 	  
19:50 15.12.2019 	 3,53 	 3,82 	 5 	 10 	 360 	 1,3 	  
19:40 15.12.2019 	 3,47 	 3,77 	 6 	 9 	 11 	 1,8 	  
19:30 15.12.2019 	 3,41 	 3,72 	 5 	 10 	 13 	 1,7 	  
19:20 15.12.2019 	 3,33 	 3,65 	 5 	 11 	 357 	 1,4 	  
19:10 15.12.2019 	 3,25 	 3,54 	 3 	 8 	 47 	 1,1 	  
19:00 15.12.2019 	 3,16 	 3,44 	 8 	 13 	 359 	 1,5 	  
18:50 15.12.2019 	 3,06 	 3,38 	 9 	 14 	 343 	 1,5 	  
18:40 15.12.2019 	 2,95 	 3,29 	 3 	 8 	 357 	 1,7 	  
18:30 15.12.2019 	 2,84 	 3,19 	 3 	 5 	 19 	 1,3 	  
18:20 15.12.2019 	 2,72 	 3,1 	 5 	 7 	 4 	 1,7 	  
18:10 15.12.2019 	 2,6 	 2,93 	 7 	 11 	 354 	 1,9 	  
18:00 15.12.2019 	 2,47 	 2,81 	 9 	 14 	 8 	 1,7 	  
17:50 15.12.2019 	 2,34 	 2,65 	 6 	 10 	 23 	 1,3 	  
17:40 15.12.2019 	 2,2 	 2,49 	 6 	 9 	 51 	 1,4 	  
17:30 15.12.2019 	 2,07 	 2,4 	 5 	 8 	 62 	 1,7 	  
17:20 15.12.2019 	 1,93 	 2,24 	 5 	 12 	 57 	 1,7 	  
17:10 15.12.2019 	 1,8 	 2,11 	 5 	 9 	 38 	 1,6 	  
17:00 15.12.2019 	 1,67 	 1,92 	 7 	 11 	 20 	 1,6 	  
16:50 15.12.2019 	 1,54 	 1,7 	 5 	 12 	 10 	 1,4 	  
16:40 15.12.2019 	 1,41 	 1,58 	 4 	 11 	 326 	 1,5 	  
16:30 15.12.2019 	 1,29 	 1,5 	 4 	 6 	 288 	 1,2 	  
16:20 15.12.2019 	 1,18 	 1,42 	 6 	 10 	 301 	 1,1 	  
16:10 15.12.2019 	 1,07 	 1,39 	 6 	 10 	 309 	 1,3 	  
16:00 15.12.2019 	 0,97 	 1,31 	 5 	 11 	 317 	 1,4 	  
15:50 15.12.2019 	 0,88 	 1,2 	 8 	 12 	 329 	 1,1 	  
15:40 15.12.2019 	 0,8 	 1,13 	 6 	 15 	 347 	 1,6 	  
15:30 15.12.2019 	 0,73 	 1,08 	 8 	 14 	 315 	 1,8 	  
15:20 15.12.2019 	 0,67 	 1,04 	 9 	 12 	 314 	 0,9 	  
15:10 15.12.2019 	 0,62 	 1,02 	 9 	 13 	 313 	 1,8 	  
15:00 15.12.2019 	 0,59 	 0,98 	 5 	 10 	 283 	 1,7 	  
14:50 15.12.2019 	 0,56 	 0,98 	 7 	 10 	 300 	 1,2 	  
14:40 15.12.2019 	 0,56 	 0,98 	 6 	 10 	 313 	 0,8 	  
14:30 15.12.2019 	 0,56 	 0,96 	 4 	 8 	 15 	 1,2 	  
14:20 15.12.2019 	 0,57 	 0,98 	 9 	 12 	 345 	 1,1 	  
14:10 15.12.2019 	 0,6 	 1,02 	 9 	 13 	 348 	 1,2 	  
14:00 15.12.2019 	 0,65 	 1,07 	 5 	 11 	 358 	 1,2 	  
13:50 15.12.2019 	 0,7 	 1,12 	 2 	 4 	 84 	 0,1 	  
13:40 15.12.2019 	 0,77 	 1,18 	 2 	 4 	 25 	 0,1 	  
13:30 15.12.2019 	 0,85 	 1,21 	 1 	 3 	 122 	 -0,7 	  
13:20 15.12.2019 	 0,94 	 1,3 	 4 	 6 	 135 	 -2,4 	  
13:10 15.12.2019 	 1,03 	 1,37 	 3 	 6 	 84 	 -1,7 	  
13:00 15.12.2019 	 1,14 	 1,46 	 2 	 4 	 0 	 -1,9 	  
12:50 15.12.2019 	 1,26 	 1,56 	 2 	 5 	 143 	 -1,7 	  
12:40 15.12.2019 	 1,38 	 1,69 	 2 	 4 	 129 	 -2,7 	  
12:30 15.12.2019 	 1,51 	 1,82 	 2 	 4 	 140 	 -2,3 	  
12:20 15.12.2019 	 1,65 	 1,95 	 3 	 4 	 115 	 -3 	  
12:10 15.12.2019 	 1,79 	 2,08 	 3 	 5 	 141 	 -2,8 	  
12:00 15.12.2019 	 1,94 	 2,23 	 2 	 3 	 203 	 -2,2 	  
11:50 15.12.2019 	 2,08 	 2,39 	 2 	 3 	 174 	 -2,1 	  
11:40 15.12.2019 	 2,23 	 2,55 	 2 	 4 	 160 	 -2,5 	  
11:30 15.12.2019 	 2,38 	 2,69 	 4 	 5 	 128 	 -3,2 	  
11:20 15.12.2019 	 2,52 	 2,84 	 3 	 5 	 139 	 -3,1 	  
11:10 15.12.2019 	 2,67 	 2,97 	 1 	 4 	 102 	 -2 	  
11:00 15.12.2019 	 2,81 	 3,1 	 1 	 3 	 181 	 -1,8 	  
10:50 15.12.2019 	 2,95 	 3,25 	 2 	 3 	 138 	 -2 	  
10:40 15.12.2019 	 3,08 	 3,39 	 2 	 5 	 141 	 -3,2 	  
10:30 15.12.2019 	 3,21 	 3,53 	 3 	 6 	 147 	 -2,5 	  
10:20 15.12.2019 	 3,34 	 3,68 	 2 	 3 	 140 	 -1,9 	  
10:10 15.12.2019 	 3,45 	 3,79 	 2 	 4 	 127 	 -1 	  
10:00 15.12.2019 	 3,56 	 3,89 	 4 	 9 	 42 	 -1,8 	  
09:50 15.12.2019 	 3,66 	 3,98 	 6 	 10 	 350 	 0,8 	  
09:40 15.12.2019 	 3,75 	 4,05 	 2 	 4 	 206 	 0,2 	  
09:30 15.12.2019 	 3,84 	 4,14 	 1 	 4 	 16 	 -0,2 	  
09:20 15.12.2019 	 3,91 	 4,19 	 2 	 5 	 196 	 0,5 	  
09:10 15.12.2019 	 3,97 	 4,24 	 1 	 3 	 25 	 0,3 	  
09:00 15.12.2019 	 4,03 	 4,3 	 4 	 6 	 334 	 0,2 	  
08:50 15.12.2019 	 4,07 	 4,33 	 2 	 4 	 215 	 -0,5 	  
08:40 15.12.2019 	 4,1 	 4,38 	 1 	 2 	 296 	 -1,3 	  
08:30 15.12.2019 	 4,12 	 4,39 	 2 	 3 	 70 	 -1 	  
08:20 15.12.2019 	 4,13 	 4,4 	 3 	 4 	 4 	 -0,4 	  
08:10 15.12.2019 	 4,13 	 4,44 	 3 	 5 	 357 	 -0,6 	  
08:00 15.12.2019 	 4,11 	 4,42 	 2 	 3 	 3 	 -1 	  
07:50 15.12.2019 	 4,09 	 4,42 	 2 	 3 	 332 	 -0,7 	  
07:40 15.12.2019 	 4,05 	 4,38 	 2 	 3 	 24 	 -0,7 	  
07:30 15.12.2019 	 4 	 4,35 	 1 	 2 	 53 	 -0,6 	  
07:20 15.12.2019 	 3,94 	 4,3 	 2 	 3 	 58 	 -0,7 	  
07:10 15.12.2019 	 3,87 	 4,24 	 3 	 3 	 13 	 -0,7 	  
07:00 15.12.2019 	 3,79 	 4,17 	 2 	 3 	 2 	 0 	  
06:50 15.12.2019 	 3,69 	 4,08 	 2 	 4 	 359 	 -0,2 	  
06:40 15.12.2019 	 3,59 	 3,98 	 3 	 4 	 351 	 0,2 	  
06:30 15.12.2019 	 3,48 	 3,87 	 3 	 3 	 347 	 0,1 	  
06:20 15.12.2019 	 3,36 	 3,75 	 2 	 3 	 353 	 0 	  
06:10 15.12.2019 	 3,24 	 3,62 	 2 	 3 	 23 	 -0 	  
06:00 15.12.2019 	 3,11 	 3,47 	 1 	 2 	 31 	 -0,8 	  
05:50 15.12.2019 	 2,97 	 3,33 	 0 	 1 	 163 	 -1,4 	  
05:40 15.12.2019 	 2,82 	 3,17 	 1 	 2 	 102 	 -1,2 	  
05:30 15.12.2019 	 2,67 	 3,01 	 1 	 2 	 3 	 -0,3 	  
05:20 15.12.2019 	 2,52 	 2,86 	 1 	 2 	 25 	 -0,5 	  
05:10 15.12.2019 	 2,37 	 2,71 	 1 	 1 	 164 	 -1,5 	  
05:00 15.12.2019 	 2,22 	 2,56 	 0 	 1 	 206 	 -1,5 	  
04:50 15.12.2019 	 2,06 	 2,43 	 1 	 2 	 60 	 -1,2 	  
04:40 15.12.2019 	 1,91 	 2,28 	 1 	 2 	 14 	 -0,6 	  
04:30 15.12.2019 	 1,76 	 2,12 	 2 	 4 	 323 	 -0,6 	  
04:20 15.12.2019 	 1,62 	 1,97 	 1 	 2 	 20 	 -0,9 	  
04:10 15.12.2019 	 1,47 	 1,85 	 0 	 1 	 56 	 -1,2 	  
04:00 15.12.2019 	 1,34 	 1,71 	 1 	 2 	 16 	 -1,2 	  
03:50 15.12.2019 	 1,21 	 1,59 	 2 	 3 	 19 	 -1,4 	  
03:40 15.12.2019 	 1,09 	 1,46 	 3 	 4 	 358 	 -0,9 	  
03:30 15.12.2019 	 0,98 	 1,35 	 2 	 5 	 7 	 -0,8 	  
03:20 15.12.2019 	 0,88 	 1,24 	 2 	 5 	 347 	 -1 	  
03:10 15.12.2019 	 0,79 	 1,14 	 1 	 3 	 12 	 -1,4 	  
03:00 15.12.2019 	 0,71 	 1,07 	 2 	 3 	 11 	 -1,3 	  
02:50 15.12.2019 	 0,64 	 1,02 	 2 	 5 	 4 	 -1,4 	  
02:40 15.12.2019 	 0,59 	 0,97 	 3 	 4 	 336 	 -1,4 	  
02:30 15.12.2019 	 0,55 	 0,92 	 4 	 5 	 326 	 -1,4 	  
02:20 15.12.2019 	 0,52 	 0,91 	 5 	 7 	 323 	 -1,4 	  
02:10 15.12.2019 	 0,51 	 0,88 	 7 	 9 	 321 	 -1,2 	  
02:00 15.12.2019 	 0,51 	 0,87 	 9 	 12 	 320 	 -1,2 	  
01:50 15.12.2019 	 0,52 	 0,9 	 12 	 14 	 321 	 -1,2 	  
01:40 15.12.2019 	 0,55 	 0,93 	 11 	 14 	 321 	 -1 	  
01:30 15.12.2019 	 0,59 	 0,98 	 11 	 14 	 323 	 -1,2 	  
01:20 15.12.2019 	 0,64 	 1,03 	 12 	 14 	 322 	 -1,2 	  
01:10 15.12.2019 	 0,7 	 1,07 	 11 	 14 	 322 	 -1,2 	  
01:00 15.12.2019 	 0,78 	 1,14 	 10 	 13 	 323 	 -1,3 	  
00:50 15.12.2019 	 0,87 	 1,22 	 8 	 10 	 324 	 -1,5 	  
00:40 15.12.2019 	 0,96 	 1,3 	 7 	 9 	 330 	 -1,5 	  
00:30 15.12.2019 	 1,07 	 1,42 	 7 	 9 	 327 	 -1,5 	  
00:20 15.12.2019 	 1,18 	 1,55 	 7 	 9 	 336 	 -1,6 	  
00:10 15.12.2019 	 1,3 	 1,64 	 7 	 9 	 339 	 -1,4 	  
00:00 15.12.2019 	 1,42 	 1,79 	 7 	 9 	 334 	 -1,6 	  
23:50 14.12.2019 	 1,55 	 1,91 	 7 	 10 	 336 	 -1,7 	  
23:40 14.12.2019 	 1,68 	 2,03 	 8 	 10 	 340 	 -1,6 	  
23:30 14.12.2019 	 1,82 	 2,16 	 9 	 10 	 331 	 -1,5 	  
23:20 14.12.2019 	 1,96 	 2,32 	 8 	 10 	 332 	 -1,8 	  
23:10 14.12.2019 	 2,1 	 2,47 	 7 	 10 	 342 	 -1,8 	  
23:00 14.12.2019 	 2,23 	 2,61 	 9 	 12 	 334 	 -1,9 	  
22:50 14.12.2019 	 2,37 	 2,75 	 10 	 13 	 333 	 -2,2 	  
22:40 14.12.2019 	 2,5 	 2,89 	 10 	 12 	 333 	 -2 	  
22:30 14.12.2019 	 2,63 	 3,02 	 11 	 14 	 331 	 -2,4 	  
22:20 14.12.2019 	 2,76 	 3,14 	 11 	 13 	 326 	 -2,3 	  
22:10 14.12.2019 	 2,88 	 3,27 	 10 	 12 	 331 	 -2,3 	  
22:00 14.12.2019 	 2,99 	 3,41 	 10 	 12 	 337 	 -2,2 	  
21:50 14.12.2019 	 3,1 	 3,53 	 9 	 11 	 339 	 -2 	  
21:40 14.12.2019 	 3,21 	 3,62 	 10 	 12 	 337 	 -2,1 	  
21:30 14.12.2019 	 3,3 	 3,73 	 10 	 13 	 334 	 -2,3 	  
21:20 14.12.2019 	 3,39 	 3,8 	 10 	 12 	 330 	 -2,2 	  
21:10 14.12.2019 	 3,47 	 3,86 	 10 	 12 	 332 	 -2,3 	  
21:00 14.12.2019 	 3,54 	 3,94 	 5 	 9 	 7 	 -2,3 	  
20:50 14.12.2019 	 3,6 	 3,98 	 1 	 2 	 64 	 -5,3 	  
20:40 14.12.2019 	 3,65 	 4,04 	 3 	 6 	 126 	 -6,4 	  
20:30 14.12.2019 	 3,69 	 4,07 	 2 	 4 	 100 	 -6,7 	  
20:20 14.12.2019 	 3,72 	 4,08 	 2 	 4 	 116 	 -7,9 	  
20:10 14.12.2019 	 3,74 	 4,1 	 1 	 3 	 150 	 -7,3 	  
20:00 14.12.2019 	 3,75 	 4,1 	 1 	 3 	 170 	 -7,6 	  
19:50 14.12.2019 	 3,75 	 4,09 	 1 	 4 	 156 	 -7,4 	  
19:40 14.12.2019 	 3,73 	 4,1 	 1 	 4 	 159 	 -7,9 	  
19:30 14.12.2019 	 3,71 	 4,08 	 1 	 2 	 138 	 -8 	  
19:20 14.12.2019 	 3,68 	 4,06 	 2 	 3 	 134 	 -9 	  
19:10 14.12.2019 	 3,63 	 4,03 	 3 	 5 	 131 	 -9 	  
19:00 14.12.2019 	 3,58 	 3,95 	 3 	 4 	 131 	 -8,7 	  
18:50 14.12.2019 	 3,51 	 3,9 	 3 	 5 	 140 	 -8,5 	  
18:40 14.12.2019 	 3,44 	 3,83 	 3 	 5 	 141 	 -8,5 	  
18:30 14.12.2019 	 3,35 	 3,75 	 2 	 3 	 148 	 -7,3 	  
18:20 14.12.2019 	 3,26 	 3,67 	 2 	 3 	 138 	 -8 	  
18:10 14.12.2019 	 3,15 	 3,55 	 2 	 3 	 146 	 -7,7 	  
18:00 14.12.2019 	 3,04 	 3,45 	 2 	 4 	 141 	 -7,8 	  
17:50 14.12.2019 	 2,93 	 3,33 	 3 	 4 	 146 	 -8,4 	  
17:40 14.12.2019 	 2,8 	 3,2 	 4 	 5 	 137 	 -8,4 	  
17:30 14.12.2019 	 2,67 	 3,06 	 3 	 4 	 135 	 -8,4 	  
17:20 14.12.2019 	 2,54 	 2,92 	 1 	 3 	 108 	 -7,8 	  
17:10 14.12.2019 	 2,4 	 2,78 	 2 	 4 	 154 	 -8,2 	  
17:00 14.12.2019 	 2,26 	 2,63 	 2 	 4 	 111 	 -7,9 	  
16:50 14.12.2019 	 2,12 	 2,49 	 2 	 3 	 152 	 -7,9 	  
16:40 14.12.2019 	 1,98 	 2,32 	 3 	 4 	 137 	 -8,3 	  
16:30 14.12.2019 	 1,84 	 2,18 	 3 	 3 	 134 	 -7,4 	  
16:20 14.12.2019 	 1,7 	 2,03 	 2 	 3 	 137 	 -7 	  
16:10 14.12.2019 	 1,57 	 1,9 	 2 	 3 	 119 	 -6,6 	  
16:00 14.12.2019 	 1,43 	 1,81 	 2 	 3 	 90 	 -6,7 	  
15:50 14.12.2019 	 1,31 	 1,7 	 3 	 4 	 130 	 -6,7 	  
15:40 14.12.2019 	 1,18 	 1,59 	 3 	 4 	 131 	 -6,9 	  
15:30 14.12.2019 	 1,07 	 1,49 	 3 	 4 	 134 	 -7,1 	  
15:20 14.12.2019 	 0,96 	 1,41 	 2 	 3 	 142 	 -6,5 	  
15:10 14.12.2019 	 0,87 	 1,31 	 2 	 4 	 150 	 -6,5 	  
15:00 14.12.2019 	 0,78 	 1,24 	 3 	 5 	 150 	 -6,8 	  
