 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
10:30 25.12.2019 	 1,1 	 1,12 	 5 	 8 	 149 	 1015 	 2,2 	 2,6 	 28,31 	  
10:20 25.12.2019 	 1,21 	 1,24 	 5 	 7 	 150 	 1015 	 2,4 	 2,5 	 27,97 	  
10:10 25.12.2019 	 1,33 	 1,37 	 5 	 7 	 156 	 1015 	 2,4 	 2,5 	 27,87 	  
10:00 25.12.2019 	 1,45 	 1,52 	 4 	 8 	 153 	 1015 	 2,3 	 2,6 	 27,93 	  
09:50 25.12.2019 	 1,59 	 1,68 	 5 	 7 	 151 	 1015 	 2,2 	 2,5 	 27,79 	  
09:40 25.12.2019 	 1,72 	 1,83 	 6 	 10 	 149 	 1015 	 2,3 	 2,5 	 27,93 	  
09:30 25.12.2019 	 1,86 	 1,99 	 7 	 9 	 145 	 1015 	 2,4 	 2,5 	 27,94 	  
09:20 25.12.2019 	 2,01 	 2,17 	 7 	 11 	 142 	 1014 	 2,4 	 2,5 	 28,03 	  
09:10 25.12.2019 	 2,15 	 2,33 	 8 	 10 	 141 	 1014 	 2,5 	 2,5 	 27,98 	  
09:00 25.12.2019 	 2,3 	 2,5 	 8 	 10 	 145 	 1014 	 2,5 	 2,6 	 27,86 	  
08:50 25.12.2019 	 2,45 	 2,66 	 5 	 8 	 150 	 1014 	 2,3 	 2,6 	 28,35 	  
08:40 25.12.2019 	 2,6 	 2,82 	 4 	 7 	 150 	 1014 	 1,9 	 2,6 	 28,13 	  
08:30 25.12.2019 	 2,74 	 2,98 	 6 	 8 	 150 	 1014 	 2 	 2,6 	 28,17 	  
08:20 25.12.2019 	 2,88 	 3,14 	 6 	 9 	 149 	 1014 	 2,2 	 2,6 	 27,95 	  
08:10 25.12.2019 	 3,02 	 3,28 	 6 	 9 	 148 	 1014 	 2,4 	 2,7 	 28,08 	  
08:00 25.12.2019 	 3,15 	 3,41 	 8 	 12 	 144 	 1014 	 2,9 	 2,7 	 28,08 	  
07:50 25.12.2019 	 3,28 	 3,56 	 6 	 9 	 147 	 1014 	 2,6 	 2,7 	 28,06 	  
07:40 25.12.2019 	 3,4 	 3,69 	 8 	 11 	 144 	 1014 	 2,8 	 2,7 	 27,87 	  
07:30 25.12.2019 	 3,52 	 3,8 	 7 	 10 	 142 	 1013 	 2,8 	 2,7 	 27,97 	  
07:20 25.12.2019 	 3,62 	 3,93 	 7 	 11 	 143 	 1013 	 2,8 	 2,7 	 28,6 	  
07:10 25.12.2019 	 3,72 	 4,04 	 7 	 10 	 142 	 1013 	 2,7 	 2,8 	 28,52 	  
07:00 25.12.2019 	 3,81 	 4,12 	 7 	 11 	 147 	 1013 	 2,3 	 2,8 	 28,46 	  
06:50 25.12.2019 	 3,89 	 4,19 	 7 	 11 	 149 	 1013 	 2,3 	 2,8 	 28,41 	  
06:40 25.12.2019 	 3,96 	 4,26 	 5 	 7 	 149 	 1013 	 2,4 	 2,9 	 28,55 	  
06:30 25.12.2019 	 4,02 	 4,3 	 4 	 7 	 158 	 1013 	 2,3 	 2,8 	 28,27 	  
06:20 25.12.2019 	 4,07 	 4,32 	 3 	 6 	 152 	 1013 	 2,1 	 2,9 	 28,1 	  
06:10 25.12.2019 	 4,11 	 4,34 	 4 	 9 	 148 	 1013 	 2,1 	 2,9 	 28,22 	  
06:00 25.12.2019 	 4,13 	 4,35 	 5 	 9 	 140 	 1013 	 2,4 	 2,9 	 28,09 	  
05:50 25.12.2019 	 4,15 	 4,35 	 2 	 4 	 156 	 1013 	 2,1 	 3 	 28,22 	  
05:40 25.12.2019 	 4,16 	 4,33 	 3 	 5 	 155 	 1013 	 2,1 	 2,7 	 27,99 	  
05:30 25.12.2019 	 4,15 	 4,31 	 4 	 5 	 162 	 1013 	 2 	 2,7 	 28,01 	  
05:20 25.12.2019 	 4,14 	 4,31 	 3 	 6 	 156 	 1013 	 1,8 	 2,7 	 28,15 	  
05:10 25.12.2019 	 4,11 	 4,28 	 4 	 5 	 158 	 1013 	 1,8 	 2,8 	 28,06 	  
05:00 25.12.2019 	 4,07 	 4,26 	 3 	 5 	 154 	 1012 	 1,9 	 2,8 	 28,11 	  
04:50 25.12.2019 	 4,02 	 4,23 	 4 	 7 	 160 	 1012 	 1,9 	 2,8 	 28,15 	  
04:40 25.12.2019 	 3,96 	 4,19 	 5 	 9 	 159 	 1012 	 2,1 	 2,7 	 28,17 	  
04:30 25.12.2019 	 3,89 	 4,12 	 4 	 6 	 162 	 1012 	 2,3 	 2,7 	 28,09 	  
04:20 25.12.2019 	 3,81 	 4,04 	 4 	 6 	 163 	 1012 	 2,4 	 2,6 	 27,92 	  
04:10 25.12.2019 	 3,72 	 3,94 	 5 	 7 	 163 	 1012 	 2,2 	 2,6 	 28,08 	  
04:00 25.12.2019 	 3,62 	 3,84 	 5 	 8 	 163 	 1012 	 2,4 	 2,6 	 28,19 	  
03:50 25.12.2019 	 3,51 	 3,71 	 5 	 7 	 164 	 1012 	 2,7 	 2,6 	 28,55 	  
03:40 25.12.2019 	 3,4 	 3,58 	 4 	 7 	 165 	 1011 	 2,7 	 2,5 	 28,05 	  
03:30 25.12.2019 	 3,28 	 3,42 	 6 	 9 	 163 	 1011 	 2,6 	 2,6 	 28,18 	  
03:20 25.12.2019 	 3,15 	 3,27 	 6 	 9 	 161 	 1011 	 2,9 	 2,7 	 28,23 	  
03:10 25.12.2019 	 3,01 	 3,1 	 5 	 7 	 160 	 1011 	 2,8 	 2,5 	 28,25 	  
03:00 25.12.2019 	 2,87 	 2,94 	 5 	 7 	 162 	 1011 	 2,8 	 2,5 	 28,09 	  
02:50 25.12.2019 	 2,73 	 2,79 	 5 	 7 	 165 	 1011 	 2,7 	 2,5 	 28,21 	  
02:40 25.12.2019 	 2,59 	 2,63 	 4 	 5 	 162 	 1011 	 2,6 	 2,6 	 28,09 	  
02:30 25.12.2019 	 2,44 	 2,48 	 4 	 6 	 162 	 1011 	 2,4 	 2,6 	 28,15 	  
02:20 25.12.2019 	 2,29 	 2,32 	 4 	 6 	 161 	 1011 	 2,6 	 2,5 	 28,06 	  
02:10 25.12.2019 	 2,15 	 2,17 	 4 	 6 	 163 	 1011 	 2,7 	 2,5 	 28,08 	  
02:00 25.12.2019 	 2 	 2,02 	 5 	 7 	 164 	 1011 	 2,8 	 2,5 	 28,11 	  
01:50 25.12.2019 	 1,86 	 1,88 	 5 	 9 	 164 	 1011 	 2,9 	 2,4 	 28,11 	  
01:40 25.12.2019 	 1,72 	 1,74 	 5 	 6 	 166 	 1011 	 3,1 	 2,4 	 28,07 	  
01:30 25.12.2019 	 1,59 	 1,61 	 4 	 6 	 162 	 1011 	 2,7 	 2,4 	 28,1 	  
01:20 25.12.2019 	 1,46 	 1,48 	 5 	 7 	 164 	 1010 	 2,6 	 2,3 	 28,08 	  
01:10 25.12.2019 	 1,34 	 1,37 	 5 	 8 	 163 	 1010 	 2,7 	 2,3 	 28,01 	  
01:00 25.12.2019 	 1,23 	 1,25 	 5 	 7 	 165 	 1010 	 2,9 	 2,6 	 28,02 	  
00:50 25.12.2019 	 1,12 	 1,15 	 5 	 6 	 161 	 1010 	 2,3 	 2,7 	 27,91 	  
00:40 25.12.2019 	 1,03 	 1,06 	 5 	 7 	 162 	 1010 	 2,5 	 2,7 	 27,97 	  
00:30 25.12.2019 	 0,94 	 1 	 4 	 6 	 156 	 1010 	 2 	 2,8 	 28,21 	  
00:20 25.12.2019 	 0,87 	 0,92 	 5 	 7 	 156 	 1010 	 2,2 	 2,8 	 27,94 	  
00:10 25.12.2019 	 0,81 	 0,87 	 5 	 7 	 161 	 1010 	 1,8 	 2,9 	 27,89 	  
00:00 25.12.2019 	 0,75 	 0,84 	 5 	 7 	 161 	 1010 	 1,9 	 2,9 	 27,78 	  
23:50 24.12.2019 	 0,72 	 0,79 	 5 	 7 	 161 	 1010 	 2 	 3 	 27,87 	  
23:40 24.12.2019 	 0,69 	 0,77 	 5 	 6 	 161 	 1010 	 2,1 	 2,9 	 27,93 	  
23:30 24.12.2019 	 0,68 	 0,78 	 4 	 6 	 161 	 1009 	 1,9 	 2,8 	 27,86 	  
23:20 24.12.2019 	 0,67 	 0,77 	 5 	 6 	 161 	 1009 	 2,3 	 2,9 	 27,95 	  
23:10 24.12.2019 	 0,69 	 0,79 	 5 	 7 	 161 	 1009 	 2,2 	 2,8 	 28,05 	  
23:00 24.12.2019 	 0,71 	 0,8 	 5 	 7 	 163 	 1009 	 2,3 	 2,8 	 27,96 	  
22:50 24.12.2019 	 0,74 	 0,84 	 5 	 7 	 163 	 1009 	 2,3 	 2,8 	 27,91 	  
22:40 24.12.2019 	 0,79 	 0,88 	 5 	 6 	 165 	 1009 	 2,6 	 2,8 	 28,02 	  
22:30 24.12.2019 	 0,85 	 0,93 	 5 	 6 	 163 	 1009 	 2,5 	 2,8 	 28,12 	  
22:20 24.12.2019 	 0,92 	 0,99 	 5 	 6 	 164 	 1009 	 2,6 	 2,8 	 28,01 	  
22:10 24.12.2019 	 1 	 1,08 	 5 	 7 	 160 	 1009 	 2,6 	 2,7 	 28,02 	  
22:00 24.12.2019 	 1,08 	 1,17 	 4 	 6 	 162 	 1009 	 2,6 	 2,7 	 28,09 	  
21:50 24.12.2019 	 1,18 	 1,28 	 4 	 5 	 163 	 1008 	 2,6 	 2,7 	 28,14 	  
21:40 24.12.2019 	 1,28 	 1,39 	 3 	 6 	 162 	 1008 	 2,5 	 2,6 	 28,1 	  
21:30 24.12.2019 	 1,4 	 1,52 	 5 	 8 	 170 	 1008 	 2,7 	 2,6 	 28,16 	  
21:20 24.12.2019 	 1,51 	 1,65 	 5 	 7 	 164 	 1008 	 2,8 	 2,5 	 27,81 	  
21:10 24.12.2019 	 1,63 	 1,79 	 4 	 5 	 147 	 1008 	 2,8 	 2,5 	 27,83 	  
21:00 24.12.2019 	 1,76 	 1,93 	 3 	 5 	 143 	 1008 	 2,7 	 2,5 	 27,78 	  
20:50 24.12.2019 	 1,89 	 2,09 	 3 	 4 	 147 	 1008 	 2,6 	 2,4 	 27,81 	  
20:40 24.12.2019 	 2,02 	 2,22 	 2 	 6 	 171 	 1008 	 2,4 	 2,4 	 27,87 	  
20:30 24.12.2019 	 2,15 	 2,38 	 3 	 5 	 187 	 1008 	 2,8 	 2,4 	 27,94 	  
20:20 24.12.2019 	 2,29 	 2,52 	 4 	 7 	 196 	 1007 	 2,9 	 2,4 	 27,76 	  
20:10 24.12.2019 	 2,42 	 2,66 	 4 	 7 	 189 	 1007 	 3,1 	 2,4 	 27,63 	  
20:00 24.12.2019 	 2,55 	 2,78 	 5 	 8 	 177 	 1007 	 3,5 	 2,4 	 27,67 	  
19:50 24.12.2019 	 2,67 	 2,91 	 4 	 9 	 188 	 1007 	 3,5 	 2,5 	 27,65 	  
19:40 24.12.2019 	 2,8 	 3,04 	 5 	 8 	 200 	 1007 	 1,9 	 2,5 	 27,71 	  
19:30 24.12.2019 	 2,92 	 3,14 	 3 	 5 	 197 	 1007 	 1,6 	 2,5 	 27,66 	  
19:20 24.12.2019 	 3,03 	 3,27 	 3 	 6 	 166 	 1007 	 1,8 	 2,6 	 27,7 	  
19:10 24.12.2019 	 3,14 	 3,39 	 3 	 5 	 157 	 1007 	 1,8 	 2,6 	 27,72 	  
19:00 24.12.2019 	 3,24 	 3,5 	 3 	 4 	 167 	 1006 	 1,2 	 2,6 	 27,91 	  
18:50 24.12.2019 	 3,34 	 3,61 	 3 	 4 	 158 	 1006 	 1,1 	 2,6 	 27,93 	  
18:40 24.12.2019 	 3,42 	 3,71 	 3 	 5 	 152 	 1006 	 1,2 	 2,7 	 27,82 	  
18:30 24.12.2019 	 3,5 	 3,81 	 3 	 4 	 149 	 1006 	 1,1 	 2,6 	 27,76 	  
18:20 24.12.2019 	 3,57 	 3,88 	 3 	 4 	 148 	 1006 	 1,2 	 2,7 	 28,18 	  
18:10 24.12.2019 	 3,64 	 3,98 	 3 	 4 	 140 	 1006 	 1,3 	 2,6 	 27,93 	  
18:00 24.12.2019 	 3,69 	 4,01 	 1 	 3 	 144 	 1006 	 1 	 2,7 	 27,85 	  
17:50 24.12.2019 	 3,73 	 4,06 	 1 	 2 	 148 	 1005 	 0,2 	 2,6 	 27,86 	  
17:40 24.12.2019 	 3,77 	 4,08 	 1 	 2 	 169 	 1005 	 -0,2 	 2,6 	 29,26 	  
17:30 24.12.2019 	 3,79 	 4,09 	 0 	 1 	 156 	 1005 	 0 	 2,6 	 28,45 	  
17:20 24.12.2019 	 3,8 	 4,08 	 0 	 1 	 196 	 1005 	 -0 	 2,6 	 28,22 	  
17:10 24.12.2019 	 3,8 	 4,08 	 2 	 3 	 169 	 1005 	 0,3 	 2,5 	 28 	  
17:00 24.12.2019 	 3,8 	 4,06 	 3 	 4 	 150 	 1005 	 0,7 	 2,6 	 27,97 	  
16:50 24.12.2019 	 3,78 	 4,02 	 3 	 4 	 144 	 1004 	 0,5 	 2,6 	 27,99 	  
16:40 24.12.2019 	 3,75 	 4,01 	 3 	 4 	 147 	 1004 	 0,4 	 2,5 	 27,98 	  
16:30 24.12.2019 	 3,71 	 3,97 	 3 	 4 	 149 	 1004 	 0,2 	 2,5 	 28,01 	  
16:20 24.12.2019 	 3,66 	 3,91 	 3 	 4 	 149 	 1004 	 0 	 2,5 	 27,9 	  
16:10 24.12.2019 	 3,61 	 3,87 	 3 	 4 	 151 	 1004 	 0 	 2,5 	 28,02 	  
16:00 24.12.2019 	 3,54 	 3,82 	 2 	 4 	 152 	 1004 	 -0 	 2,5 	 28,38 	  
15:50 24.12.2019 	 3,46 	 3,73 	 2 	 3 	 151 	 1004 	 -0,1 	 2,5 	 28,37 	  
15:40 24.12.2019 	 3,37 	 3,65 	 2 	 3 	 151 	 1004 	 -0,2 	 2,5 	 28,01 	  
15:30 24.12.2019 	 3,28 	 3,55 	 2 	 2 	 155 	 1004 	 -0,1 	 2,6 	 27,86 	  
15:20 24.12.2019 	 3,18 	 3,43 	 1 	 2 	 158 	 1004 	 -0,6 	 2,5 	 27,9 	  
15:10 24.12.2019 	 3,07 	 3,3 	 1 	 2 	 151 	 1003 	 -0,4 	 2,5 	 27,92 	  
15:00 24.12.2019 	 2,95 	 3,19 	 2 	 3 	 153 	 1003 	 -0,1 	 2,5 	 27,92 	  
14:50 24.12.2019 	 2,83 	 3,04 	 2 	 3 	 150 	 1003 	 -0 	 2,5 	 27,9 	  
14:40 24.12.2019 	 2,7 	 2,9 	 3 	 4 	 147 	 1003 	 0,3 	 2,5 	 27,93 	  
14:30 24.12.2019 	 2,57 	 2,75 	 3 	 3 	 146 	 1003 	 0,3 	 2,5 	 27,88 	  
14:20 24.12.2019 	 2,44 	 2,6 	 2 	 2 	 142 	 1003 	 0,1 	 2,5 	 27,94 	  
14:10 24.12.2019 	 2,3 	 2,47 	 1 	 1 	 132 	 1003 	 -0 	 2,5 	 27,93 	  
14:00 24.12.2019 	 2,17 	 2,32 	 1 	 1 	 128 	 1003 	 -0,1 	 2,5 	 27,93 	  
13:50 24.12.2019 	 2,03 	 2,18 	 1 	 1 	 130 	 1003 	 0,1 	 2,5 	 27,93 	  
13:40 24.12.2019 	 1,9 	 2,03 	 1 	 1 	 130 	 1003 	 0,2 	 2,5 	 27,93 	  
13:30 24.12.2019 	 1,77 	 1,92 	 1 	 1 	 139 	 1003 	 0,1 	 2,5 	 27,95 	  
13:20 24.12.2019 	 1,64 	 1,77 	 0 	 1 	 92 	 1002 	 0,1 	 2,5 	 28,04 	  
13:10 24.12.2019 	 1,52 	 1,67 	 1 	 2 	 196 	 1002 	 0,5 	 2,5 	 27,86 	  
13:00 24.12.2019 	 1,4 	 1,54 	 1 	 1 	 68 	 1002 	 0,1 	 2,5 	 27,89 	  
12:50 24.12.2019 	 1,29 	 1,44 	 1 	 2 	 44 	 1002 	 0,3 	 2,5 	 27,86 	  
12:40 24.12.2019 	 1,19 	 1,32 	 1 	 1 	 75 	 1002 	 0,6 	 2,5 	 27,77 	  
12:30 24.12.2019 	 1,1 	 1,23 	 0 	 0 	 81 	 1002 	 0,5 	 2,5 	 27,78 	  
12:20 24.12.2019 	 1,01 	 1,15 	 1 	 2 	 87 	 1002 	 0,7 	 2,6 	 27,8 	  
12:10 24.12.2019 	 0,94 	 1,07 	 2 	 2 	 88 	 1002 	 0,7 	 2,7 	 27,74 	  
12:00 24.12.2019 	 0,88 	 1,02 	 2 	 2 	 83 	 1002 	 0,6 	 2,7 	 27,75 	  
11:50 24.12.2019 	 0,82 	 0,97 	 1 	 1 	 81 	 1002 	 0,5 	 2,7 	 27,78 	  
11:40 24.12.2019 	 0,78 	 0,94 	 0 	 1 	 116 	 1001 	 0,5 	 2,7 	 27,73 	  
11:30 24.12.2019 	 0,75 	 0,91 	 0 	 1 	 153 	 1001 	 0,4 	 2,8 	 27,67 	  
11:20 24.12.2019 	 0,74 	 0,91 	 1 	 1 	 164 	 1001 	 0,4 	 2,9 	 27,75 	  
11:10 24.12.2019 	 0,73 	 0,92 	 0 	 1 	 179 	 1001 	 0,5 	 2,9 	 27,47 	  
11:00 24.12.2019 	 0,74 	 0,93 	 0 	 1 	 154 	 1001 	 0 	 2,8 	 27,82 	  
10:50 24.12.2019 	 0,76 	 0,96 	 1 	 1 	 162 	 1001 	 0 	 2,8 	 27,77 	  
10:40 24.12.2019 	 0,79 	 0,99 	 0 	 1 	 68 	 1001 	 0,1 	 2,7 	 27,74 	  
10:30 24.12.2019 	 0,84 	 1,03 	 0 	 0 	 97 	 1001 	 0,4 	 2,7 	 27,75 	  
10:20 24.12.2019 	 0,89 	 1,08 	 0 	 0 	 96 	 1001 	 0,3 	 2,6 	 27,78 	  
10:10 24.12.2019 	 0,96 	 1,14 	 0 	 1 	 102 	 1001 	 0,4 	 2,6 	 27,67 	  
10:00 24.12.2019 	 1,04 	 1,23 	 0 	 1 	 126 	 1001 	 0,2 	 2,6 	 27,78 	  
09:50 24.12.2019 	 1,12 	 1,29 	 0 	 0 	 98 	 1000 	 0,1 	 2,5 	 27,67 	  
09:40 24.12.2019 	 1,22 	 1,41 	 0 	 1 	 73 	 1000 	 0,2 	 2,5 	 27,72 	  
09:30 24.12.2019 	 1,32 	 1,52 	 0 	 1 	 47 	 1000 	 0,1 	 2,4 	 27,63 	  
09:20 24.12.2019 	 1,43 	 1,65 	 1 	 1 	 47 	 1000 	 -0,2 	 2,4 	 27,65 	  
09:10 24.12.2019 	 1,55 	 1,76 	 0 	 1 	 301 	 1000 	 -0,2 	 2,4 	 27,67 	  
09:00 24.12.2019 	 1,67 	 1,92 	 1 	 1 	 53 	 1000 	 -0 	 2,4 	 27,72 	  
08:50 24.12.2019 	 1,8 	 2,08 	 1 	 2 	 289 	 1000 	 -0,1 	 2,4 	 27,65 	  
08:40 24.12.2019 	 1,93 	 2,23 	 0 	 1 	 47 	 1000 	 -0,2 	 2,4 	 27,65 	  
08:30 24.12.2019 	 2,07 	 2,39 	 1 	 2 	 48 	 1000 	 0 	 2,4 	 27,64 	  
08:20 24.12.2019 	 2,21 	 2,56 	 2 	 2 	 62 	 1000 	 0,1 	 2,4 	 27,66 	  
08:10 24.12.2019 	 2,34 	 2,71 	 1 	 2 	 55 	 1000 	 0,1 	 2,5 	 27,67 	  
08:00 24.12.2019 	 2,48 	 2,86 	 1 	 2 	 44 	 999 	 0,1 	 2,4 	 27,7 	  
07:50 24.12.2019 	 2,61 	 3 	 2 	 3 	 68 	 999 	 0,2 	 2,4 	 27,73 	  
07:40 24.12.2019 	 2,75 	 3,15 	 2 	 3 	 72 	 999 	 0,3 	 2,4 	 27,71 	  
07:30 24.12.2019 	 2,88 	 3,26 	 3 	 3 	 75 	 999 	 0,2 	 2,4 	 27,73 	  
07:20 24.12.2019 	 3 	 3,37 	 3 	 3 	 75 	 999 	 0,3 	 2,4 	 27,68 	  
07:10 24.12.2019 	 3,13 	 3,48 	 3 	 3 	 74 	 999 	 0,2 	 2,4 	 27,73 	  
07:00 24.12.2019 	 3,24 	 3,58 	 3 	 3 	 74 	 999 	 0,2 	 2,4 	 27,82 	  
06:50 24.12.2019 	 3,35 	 3,67 	 2 	 3 	 73 	 999 	 0,3 	 2,5 	 27,74 	  
06:40 24.12.2019 	 3,45 	 3,77 	 2 	 2 	 73 	 999 	 0,2 	 2,5 	 27,82 	  
06:30 24.12.2019 	 3,55 	 3,85 	 1 	 2 	 77 	 999 	 0,2 	 2,5 	 27,65 	  
06:20 24.12.2019 	 3,64 	 3,92 	 2 	 2 	 73 	 999 	 0,2 	 2,6 	 27,76 	  
06:10 24.12.2019 	 3,72 	 4,02 	 2 	 2 	 64 	 999 	 0,1 	 2,6 	 27,75 	  
06:00 24.12.2019 	 3,79 	 4,1 	 2 	 3 	 65 	 999 	 0,1 	 2,6 	 27,88 	  
05:50 24.12.2019 	 3,85 	 4,17 	 2 	 3 	 71 	 999 	 0 	 2,6 	 27,95 	  
05:40 24.12.2019 	 3,9 	 4,23 	 3 	 3 	 82 	 999 	 0 	 2,6 	 27,88 	  
05:30 24.12.2019 	 3,94 	 4,31 	 2 	 3 	 85 	 999 	 0,1 	 2,7 	 27,91 	  
05:20 24.12.2019 	 3,97 	 4,33 	 2 	 2 	 90 	 999 	 0,3 	 2,6 	 28,01 	  
05:10 24.12.2019 	 3,99 	 4,38 	 2 	 2 	 90 	 999 	 0,4 	 2,6 	 27,77 	  
05:00 24.12.2019 	 4 	 4,38 	 2 	 2 	 87 	 998 	 0,5 	 2,6 	 27,61 	  
04:50 24.12.2019 	 4 	 4,38 	 1 	 2 	 81 	 998 	 0,5 	 2,6 	 27,69 	  
04:40 24.12.2019 	 3,99 	 4,34 	 3 	 3 	 85 	 998 	 0,6 	 2,5 	 27,81 	  
04:30 24.12.2019 	 3,97 	 4,32 	 2 	 3 	 88 	 998 	 1,1 	 2,5 	 27,73 	  
04:20 24.12.2019 	 3,94 	 4,27 	 1 	 2 	 82 	 998 	 0,9 	 2,5 	 27,74 	  
04:10 24.12.2019 	 3,9 	 4,22 	 1 	 2 	 89 	 998 	 0,9 	 2,5 	 27,9 	  
04:00 24.12.2019 	 3,85 	 4,17 	 1 	 2 	 97 	 998 	 0,8 	 2,5 	 27,83 	  
03:50 24.12.2019 	 3,79 	 4,1 	 1 	 1 	 95 	 998 	 0,9 	 2,5 	 27,81 	  
03:40 24.12.2019 	 3,72 	 4,03 	 1 	 1 	 109 	 998 	 0,8 	 2,5 	 27,83 	  
03:30 24.12.2019 	 3,65 	 3,96 	 0 	 1 	 105 	 998 	 0,6 	 2,5 	 27,85 	  
03:20 24.12.2019 	 3,56 	 3,86 	 1 	 1 	 99 	 998 	 0,6 	 2,5 	 27,93 	  
03:10 24.12.2019 	 3,46 	 3,78 	 1 	 1 	 96 	 998 	 0,5 	 2,5 	 27,96 	  
03:00 24.12.2019 	 3,36 	 3,66 	 0 	 1 	 76 	 998 	 0,3 	 2,5 	 27,97 	  
02:50 24.12.2019 	 3,25 	 3,54 	 1 	 1 	 32 	 998 	 -0 	 2,5 	 27,95 	  
02:40 24.12.2019 	 3,13 	 3,42 	 1 	 1 	 56 	 998 	 -0,1 	 2,5 	 27,84 	  
02:30 24.12.2019 	 3,01 	 3,27 	 1 	 1 	 53 	 998 	 0,4 	 2,5 	 27,88 	  
02:20 24.12.2019 	 2,88 	 3,11 	 1 	 1 	 86 	 998 	 0,7 	 2,5 	 27,95 	  
02:10 24.12.2019 	 2,75 	 2,96 	 0 	 1 	 103 	 998 	 0,4 	 2,5 	 27,98 	  
02:00 24.12.2019 	 2,61 	 2,84 	 0 	 1 	 99 	 998 	 0,5 	 2,5 	 28,04 	  
01:50 24.12.2019 	 2,48 	 2,67 	 1 	 2 	 101 	 998 	 0,6 	 2,5 	 27,95 	  
01:40 24.12.2019 	 2,34 	 2,52 	 0 	 1 	 118 	 998 	 0,4 	 2,5 	 27,96 	  
01:30 24.12.2019 	 2,21 	 2,4 	 0 	 0 	 249 	 998 	 0 	 2,5 	 28,02 	  
01:20 24.12.2019 	 2,07 	 2,27 	 1 	 1 	 337 	 998 	 -0,3 	 2,5 	 27,97 	  
01:10 24.12.2019 	 1,94 	 2,15 	 1 	 1 	 215 	 998 	 -0,5 	 2,5 	 27,97 	  
01:00 24.12.2019 	 1,81 	 2,03 	 1 	 1 	 239 	 998 	 -0,8 	 2,5 	 27,91 	  
00:50 24.12.2019 	 1,68 	 1,92 	 1 	 1 	 71 	 998 	 0,1 	 2,5 	 27,88 	  
00:40 24.12.2019 	 1,56 	 1,8 	 0 	 1 	 79 	 998 	 -0,1 	 2,5 	 27,86 	  
00:30 24.12.2019 	 1,45 	 1,69 	 0 	 1 	 41 	 997 	 0 	 2,5 	 27,87 	  
00:20 24.12.2019 	 1,34 	 1,6 	 0 	 1 	 108 	 997 	 -0 	 2,5 	 27,87 	  
00:10 24.12.2019 	 1,24 	 1,5 	 0 	 1 	 98 	 998 	 0,3 	 2,5 	 27,86 	  
00:00 24.12.2019 	 1,15 	 1,39 	 0 	 1 	 89 	 997 	 -0,1 	 2,5 	 27,84 	  
23:50 23.12.2019 	 1,06 	 1,3 	 0 	 1 	 71 	 997 	 -0,1 	 2,5 	 27,9 	  
23:40 23.12.2019 	 0,99 	 1,22 	 1 	 1 	 59 	 997 	 0,2 	 2,6 	 27,87 	  
23:30 23.12.2019 	 0,93 	 1,14 	 1 	 1 	 64 	 997 	 0,2 	 2,6 	 27,88 	  
23:20 23.12.2019 	 0,88 	 1,08 	 0 	 1 	 285 	 997 	 -0,1 	 2,7 	 27,82 	  
23:10 23.12.2019 	 0,83 	 1,03 	 0 	 0 	 245 	 997 	 -0,4 	 2,7 	 27,82 	  
23:00 23.12.2019 	 0,8 	 0,97 	 0 	 1 	 51 	 997 	 -0,2 	 2,7 	 27,8 	  
22:50 23.12.2019 	 0,78 	 0,94 	 1 	 1 	 72 	 997 	 0,4 	 2,8 	 27,77 	  
22:40 23.12.2019 	 0,78 	 0,94 	 0 	 1 	 146 	 997 	 0,1 	 2,8 	 27,72 	  
22:30 23.12.2019 	 0,78 	 0,95 	 0 	 1 	 83 	 997 	 0,5 	 2,8 	 27,76 	  
22:20 23.12.2019 	 0,79 	 0,96 	 1 	 1 	 5 	 997 	 -0,3 	 2,8 	 27,34 	  
22:10 23.12.2019 	 0,82 	 0,99 	 0 	 1 	 41 	 997 	 -0,3 	 2,9 	 27,85 	  
22:00 23.12.2019 	 0,86 	 1,04 	 0 	 1 	 55 	 997 	 -0,1 	 2,8 	 27,79 	  
21:50 23.12.2019 	 0,9 	 1,1 	 1 	 1 	 74 	 997 	 0,7 	 2,8 	 27,77 	  
21:40 23.12.2019 	 0,96 	 1,18 	 1 	 2 	 82 	 997 	 0,8 	 2,8 	 27,88 	  
21:30 23.12.2019 	 1,03 	 1,27 	 1 	 1 	 71 	 997 	 0,6 	 2,7 	 27,83 	  
21:20 23.12.2019 	 1,1 	 1,36 	 2 	 2 	 61 	 997 	 0,5 	 2,7 	 27,83 	  
21:10 23.12.2019 	 1,18 	 1,44 	 2 	 2 	 77 	 997 	 0,8 	 2,7 	 27,79 	  
21:00 23.12.2019 	 1,28 	 1,53 	 2 	 2 	 104 	 997 	 0,7 	 2,7 	 27,91 	  
20:50 23.12.2019 	 1,37 	 1,66 	 1 	 1 	 118 	 997 	 0,8 	 2,6 	 27,92 	  
20:40 23.12.2019 	 1,48 	 1,77 	 1 	 1 	 76 	 997 	 0,4 	 2,6 	 27,9 	  
20:30 23.12.2019 	 1,59 	 1,89 	 1 	 2 	 74 	 997 	 0,6 	 2,6 	 27,91 	  
