 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
05:20 08.12.2019 	 3,13 	 3,58 	 12 	 19 	 40 	 985 	 -0,6 	 4 	 28,17 	  
05:10 08.12.2019 	 3,18 	 3,62 	 12 	 22 	 43 	 985 	 -0,4 	 4 	 29,95 	  
05:00 08.12.2019 	 3,23 	 3,67 	 13 	 20 	 43 	 984 	 -0,7 	 3,9 	 29,92 	  
04:50 08.12.2019 	 3,27 	 3,7 	 14 	 20 	 49 	 984 	 -1 	 3,9 	 29,92 	  
04:40 08.12.2019 	 3,3 	 3,74 	 14 	 17 	 49 	 984 	 -0,9 	 3,9 	 29,95 	  
04:30 08.12.2019 	 3,33 	 3,76 	 15 	 19 	 48 	 984 	 -0,6 	 4 	 29,96 	  
04:20 08.12.2019 	 3,35 	 3,82 	 15 	 19 	 49 	 984 	 -0,5 	 4,1 	 29,97 	  
04:10 08.12.2019 	 3,37 	 3,84 	 12 	 18 	 50 	 984 	 -0,5 	 4,1 	 29,96 	  
04:00 08.12.2019 	 3,38 	 3,86 	 13 	 20 	 43 	 984 	 -1 	 4,1 	 29,95 	  
03:50 08.12.2019 	 3,38 	 3,85 	 13 	 19 	 42 	 984 	 -1 	 4,2 	 29,97 	  
03:40 08.12.2019 	 3,37 	 3,85 	 12 	 21 	 43 	 983 	 -1 	 4,2 	 29,96 	  
03:30 08.12.2019 	 3,36 	 3,84 	 13 	 19 	 45 	 983 	 -1,1 	 4,2 	 29,97 	  
03:20 08.12.2019 	 3,34 	 3,81 	 14 	 20 	 45 	 983 	 -1,2 	 4,2 	 29,96 	  
03:10 08.12.2019 	 3,31 	 3,77 	 15 	 21 	 47 	 983 	 -1 	 4,2 	 29,96 	  
03:00 08.12.2019 	 3,28 	 3,71 	 13 	 19 	 47 	 983 	 -1,3 	 4,1 	 28,27 	  
