 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
07:10 21.01.2019 	 0,98 	 1,34 	 3 	 4 	 91 	 977 	 0,4 	  
07:00 21.01.2019 	 0,92 	 1,28 	 3 	 3 	 99 	 978 	 0,1 	  
06:50 21.01.2019 	 0,85 	 1,21 	 2 	 3 	 126 	 978 	 0,1 	  
06:40 21.01.2019 	 0,78 	 1,14 	 2 	 3 	 139 	 978 	 0,1 	  
06:30 21.01.2019 	 0,71 	 1,05 	 3 	 3 	 149 	 979 	 0,1 	  
06:20 21.01.2019 	 0,64 	 0,98 	 2 	 3 	 124 	 979 	 0,1 	  
06:10 21.01.2019 	 0,58 	 0,93 	 2 	 3 	 128 	 979 	 0,1 	  
06:00 21.01.2019 	 0,52 	 0,84 	 3 	 3 	 131 	 979 	 0,1 	  
05:50 21.01.2019 	 0,46 	 0,79 	 2 	 3 	 134 	 979 	 0,1 	  
05:40 21.01.2019 	 0,41 	 0,73 	 2 	 3 	 131 	 979 	 0,1 	  
05:30 21.01.2019 	 0,36 	 0,68 	 2 	 2 	 135 	 979 	 0,2 	  
05:20 21.01.2019 	 0,31 	 0,64 	 2 	 3 	 123 	 979 	 0,3 	  
05:10 21.01.2019 	 0,27 	 0,59 	 3 	 3 	 119 	 979 	 0,3 	  
05:00 21.01.2019 	 0,23 	 0,55 	 2 	 3 	 131 	 980 	 0,3 	  
04:50 21.01.2019 	 0,2 	 0,49 	 2 	 3 	 121 	 980 	 0,5 	  
04:40 21.01.2019 	 0,18 	 0,44 	 2 	 2 	 123 	 980 	 0,5 	  
04:30 21.01.2019 	 0,16 	 0,42 	 2 	 3 	 120 	 980 	 0,8 	  
04:20 21.01.2019 	 0,14 	 0,4 	 2 	 2 	 122 	 980 	 0,8 	  
04:10 21.01.2019 	 0,14 	 0,37 	 2 	 3 	 165 	 980 	 1,2 	  
04:00 21.01.2019 	 0,13 	 0,36 	 4 	 5 	 185 	 981 	 1,2 	  
03:50 21.01.2019 	 0,14 	 0,38 	 3 	 5 	 171 	 981 	 1,2 	  
03:40 21.01.2019 	 0,15 	 0,41 	 3 	 4 	 148 	 981 	 1,2 	  
03:30 21.01.2019 	 0,16 	 0,39 	 3 	 5 	 135 	 981 	 1,4 	  
03:20 21.01.2019 	 0,18 	 0,42 	 4 	 5 	 118 	 981 	 1,7 	  
03:10 21.01.2019 	 0,21 	 0,44 	 3 	 6 	 126 	 981 	 1,6 	  
03:00 21.01.2019 	 0,24 	 0,45 	 2 	 4 	 174 	 981 	 1,8 	  
02:50 21.01.2019 	 0,28 	 0,47 	 3 	 4 	 173 	 981 	 2,1 	  
02:40 21.01.2019 	 0,32 	 0,52 	 4 	 5 	 202 	 982 	 2,3 	  
