 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
16:50 05.01.2019 	 2,42 	 1,96 	 11 	 15 	 263 	 1017 	 4,6 	  
16:40 05.01.2019 	 2,39 	 1,99 	 12 	 15 	 255 	 1017 	 4,7 	  
16:30 05.01.2019 	 2,35 	 1,97 	 11 	 14 	 254 	 1017 	 4,8 	  
16:20 05.01.2019 	 2,3 	 1,9 	 13 	 17 	 253 	 1017 	 4,8 	  
16:10 05.01.2019 	 2,25 	 1,87 	 11 	 14 	 252 	 1017 	 5,1 	  
16:00 05.01.2019 	 2,18 	 1,8 	 11 	 15 	 247 	 1016 	 5,1 	  
15:50 05.01.2019 	 2,12 	 1,72 	 10 	 14 	 240 	 1016 	 5 	  
15:40 05.01.2019 	 2,05 	 1,65 	 11 	 15 	 250 	 1016 	 5,4 	  
15:30 05.01.2019 	 1,98 	 1,64 	 11 	 14 	 255 	 1016 	 5,3 	  
15:20 05.01.2019 	 1,9 	 1,54 	 11 	 15 	 244 	 1016 	 5,1 	  
15:10 05.01.2019 	 1,82 	 1,59 	 11 	 16 	 256 	 1016 	 5,5 	  
15:00 05.01.2019 	 1,74 	 1,33 	 11 	 15 	 258 	 1015 	 5,2 	  
14:50 05.01.2019 	 1,65 	 1,3 	 9 	 12 	 259 	 1015 	 5,3 	  
14:40 05.01.2019 	 1,57 	 1,27 	 8 	 11 	 272 	 1015 	 4,9 	  
14:30 05.01.2019 	 1,48 	 1,13 	 12 	 18 	 270 	 1015 	 4,2 	  
14:20 05.01.2019 	 1,39 	 1,13 	 9 	 13 	 266 	 1015 	 5,7 	  
14:10 05.01.2019 	 1,31 	 1,08 	 10 	 13 	 266 	 1015 	 5,7 	  
14:00 05.01.2019 	 1,23 	 0,99 	 10 	 15 	 267 	 1014 	 5,7 	  
13:50 05.01.2019 	 1,14 	 0,85 	 12 	 15 	 268 	 1014 	 5,7 	  
13:40 05.01.2019 	 1,06 	 0,83 	 13 	 16 	 263 	 1014 	 5,8 	  
13:30 05.01.2019 	 0,98 	 0,85 	 12 	 16 	 266 	 1013 	 5,8 	  
13:20 05.01.2019 	 0,91 	 0,72 	 12 	 15 	 265 	 1013 	 5,9 	  
13:10 05.01.2019 	 0,84 	 0,75 	 13 	 17 	 263 	 1013 	 6 	  
13:00 05.01.2019 	 0,78 	 0,67 	 13 	 17 	 261 	 1013 	 6 	  
12:50 05.01.2019 	 0,72 	 0,53 	 13 	 17 	 259 	 1012 	 6,1 	  
12:40 05.01.2019 	 0,67 	 0,39 	 10 	 17 	 255 	 1012 	 6,1 	  
12:30 05.01.2019 	 0,63 	 0,39 	 10 	 13 	 261 	 1012 	 5,9 	  
12:20 05.01.2019 	 0,6 	 0,47 	 9 	 14 	 262 	 1012 	 5,4 	  
12:10 05.01.2019 	 0,57 	 0,49 	 7 	 10 	 260 	 1012 	 5,4 	  
12:00 05.01.2019 	 0,55 	 0,48 	 9 	 13 	 261 	 1012 	 5 	  
11:50 05.01.2019 	 0,53 	 0,46 	 6 	 15 	 266 	 1011 	 5,8 	  
11:40 05.01.2019 	 0,53 	 0,38 	 6 	 8 	 276 	 1011 	 5,7 	  
11:30 05.01.2019 	 0,53 	 0,41 	 7 	 9 	 268 	 1011 	 5,8 	  
11:20 05.01.2019 	 0,55 	 0,38 	 6 	 8 	 275 	 1011 	 5,6 	  
11:10 05.01.2019 	 0,57 	 0,36 	 6 	 9 	 273 	 1011 	 5,5 	  
11:00 05.01.2019 	 0,6 	 0,5 	 8 	 10 	 271 	 1011 	 5,4 	  
10:50 05.01.2019 	 0,64 	 0,51 	 9 	 11 	 270 	 1010 	 5,4 	  
10:40 05.01.2019 	 0,68 	 0,53 	 10 	 14 	 270 	 1010 	 5,2 	  
10:30 05.01.2019 	 0,73 	 0,68 	 11 	 15 	 267 	 1010 	 5,1 	  
10:20 05.01.2019 	 0,79 	 0,64 	 11 	 15 	 264 	 1010 	 5,3 	  
10:10 05.01.2019 	 0,85 	 0,68 	 12 	 15 	 261 	 1009 	 5,2 	  
10:00 05.01.2019 	 0,92 	 0,75 	 11 	 15 	 262 	 1009 	 5,4 	  
09:50 05.01.2019 	 1 	 0,92 	 11 	 14 	 263 	 1009 	 5,2 	  
09:40 05.01.2019 	 1,08 	 0,95 	 11 	 15 	 263 	 1008 	 5,3 	  
09:30 05.01.2019 	 1,16 	 1,02 	 12 	 16 	 263 	 1008 	 5,2 	  
09:20 05.01.2019 	 1,25 	 1 	 12 	 16 	 260 	 1008 	 5,1 	  
09:10 05.01.2019 	 1,34 	 1,15 	 12 	 17 	 260 	 1008 	 5,1 	  
09:00 05.01.2019 	 1,44 	 1,3 	 13 	 16 	 261 	 1007 	 5,2 	  
08:50 05.01.2019 	 1,53 	 1,38 	 12 	 16 	 262 	 1007 	 5,4 	  
08:40 05.01.2019 	 1,62 	 1,44 	 13 	 18 	 258 	 1006 	 5,5 	  
08:30 05.01.2019 	 1,71 	 1,55 	 10 	 12 	 170 	 1006 	 8 	  
08:20 05.01.2019 	 1,8 	 1,67 	 11 	 12 	 165 	 1005 	 8 	  
08:10 05.01.2019 	 1,89 	 1,77 	 11 	 12 	 165 	 1005 	 8,1 	  
08:00 05.01.2019 	 1,97 	 1,7 	 11 	 14 	 165 	 1006 	 8,1 	  
07:50 05.01.2019 	 2,06 	 1,92 	 11 	 15 	 164 	 1006 	 8,1 	  
07:40 05.01.2019 	 2,14 	 1,98 	 12 	 14 	 162 	 1006 	 8,1 	  
07:30 05.01.2019 	 2,22 	 2,11 	 12 	 15 	 161 	 1006 	 8,1 	  
07:20 05.01.2019 	 2,3 	 2,21 	 13 	 15 	 157 	 1005 	 8,2 	  
07:10 05.01.2019 	 2,36 	 2,15 	 12 	 15 	 153 	 1006 	 8,2 	  
07:00 05.01.2019 	 2,42 	 2,37 	 11 	 14 	 149 	 1006 	 8,1 	  
06:50 05.01.2019 	 2,49 	 2,4 	 11 	 14 	 144 	 1006 	 8,1 	  
06:40 05.01.2019 	 2,53 	 2,47 	 11 	 14 	 140 	 1006 	 8,1 	  
06:30 05.01.2019 	 2,58 	 2,47 	 10 	 14 	 134 	 1006 	 8 	  
06:20 05.01.2019 	 2,62 	 2,42 	 11 	 14 	 127 	 1006 	 7,9 	  
06:10 05.01.2019 	 2,65 	 2,53 	 11 	 15 	 121 	 1007 	 7,9 	  
06:00 05.01.2019 	 2,68 	 2,66 	 11 	 14 	 120 	 1007 	 7,8 	  
05:50 05.01.2019 	 2,7 	 2,52 	 11 	 14 	 115 	 1007 	 7,8 	  
05:40 05.01.2019 	 2,72 	 2,58 	 11 	 15 	 113 	 1007 	 7,8 	  
05:30 05.01.2019 	 2,72 	 2,54 	 11 	 14 	 112 	 1008 	 7,8 	  
05:20 05.01.2019 	 2,72 	 2,58 	 11 	 14 	 112 	 1008 	 7,8 	  
05:10 05.01.2019 	 2,72 	 2,66 	 11 	 14 	 113 	 1008 	 7,8 	  
05:00 05.01.2019 	 2,7 	 2,5 	 11 	 14 	 111 	 1008 	 7,8 	  
04:50 05.01.2019 	 2,67 	 2,51 	 11 	 14 	 113 	 1009 	 7,8 	  
04:40 05.01.2019 	 2,65 	 2,32 	 11 	 14 	 116 	 1009 	 7,8 	  
04:30 05.01.2019 	 2,62 	 2,39 	 11 	 14 	 117 	 1009 	 7,8 	  
04:20 05.01.2019 	 2,58 	 2,28 	 11 	 14 	 120 	 1009 	 7,9 	  
04:10 05.01.2019 	 2,53 	 2,3 	 11 	 14 	 118 	 1010 	 7,9 	  
04:00 05.01.2019 	 2,47 	 2,28 	 11 	 14 	 122 	 1010 	 8 	  
03:50 05.01.2019 	 2,42 	 2,18 	 10 	 13 	 126 	 1010 	 8,1 	  
03:40 05.01.2019 	 2,35 	 2,29 	 10 	 13 	 128 	 1010 	 8,1 	  
03:30 05.01.2019 	 2,28 	 2,01 	 10 	 14 	 129 	 1011 	 8,1 	  
03:20 05.01.2019 	 2,21 	 1,89 	 10 	 14 	 130 	 1011 	 8,1 	  
03:10 05.01.2019 	 2,14 	 1,86 	 10 	 14 	 135 	 1011 	 8,1 	  
03:00 05.01.2019 	 2,05 	 1,79 	 10 	 13 	 134 	 1011 	 8 	  
02:50 05.01.2019 	 1,97 	 1,58 	 10 	 14 	 132 	 1012 	 8 	  
02:40 05.01.2019 	 1,88 	 1,53 	 10 	 14 	 135 	 1012 	 7,9 	  
02:30 05.01.2019 	 1,79 	 1,58 	 10 	 14 	 136 	 1012 	 8 	  
02:20 05.01.2019 	 1,7 	 1,4 	 10 	 14 	 131 	 1012 	 7,9 	  
02:10 05.01.2019 	 1,61 	 1,31 	 10 	 13 	 129 	 1012 	 7,9 	  
02:00 05.01.2019 	 1,52 	 1,24 	 9 	 13 	 129 	 1012 	 7,9 	  
01:50 05.01.2019 	 1,43 	 1,18 	 10 	 13 	 129 	 1013 	 7,9 	  
01:40 05.01.2019 	 1,34 	 1,05 	 10 	 14 	 129 	 1013 	 7,9 	  
01:30 05.01.2019 	 1,25 	 0,89 	 9 	 12 	 129 	 1013 	 7,9 	  
01:20 05.01.2019 	 1,17 	 0,72 	 9 	 12 	 129 	 1013 	 7,9 	  
01:10 05.01.2019 	 1,09 	 0,76 	 10 	 13 	 133 	 1013 	 7,9 	  
01:00 05.01.2019 	 1,01 	 0,78 	 9 	 13 	 133 	 1013 	 7,9 	  
00:50 05.01.2019 	 0,94 	 0,69 	 9 	 13 	 131 	 1014 	 7,9 	  
00:40 05.01.2019 	 0,87 	 0,62 	 9 	 13 	 133 	 1014 	 7,9 	  
00:30 05.01.2019 	 0,81 	 0,52 	 8 	 11 	 134 	 1014 	 7,9 	  
00:20 05.01.2019 	 0,75 	 0,43 	 8 	 12 	 129 	 1014 	 7,8 	  
00:10 05.01.2019 	 0,7 	 0,43 	 8 	 11 	 123 	 1014 	 7,8 	  
00:00 05.01.2019 	 0,66 	 0,38 	 8 	 11 	 122 	 1014 	 7,7 	  
23:50 04.01.2019 	 0,62 	 0,27 	 8 	 11 	 123 	 1014 	 7,8 	  
23:40 04.01.2019 	 0,6 	 0,28 	 8 	 12 	 124 	 1014 	 7,8 	  
23:30 04.01.2019 	 0,57 	 0,34 	 8 	 11 	 115 	 1014 	 7,7 	  
23:20 04.01.2019 	 0,56 	 0,14 	 8 	 11 	 115 	 1015 	 7,7 	  
23:10 04.01.2019 	 0,55 	 0,22 	 8 	 11 	 118 	 1015 	 7,8 	  
23:00 04.01.2019 	 0,56 	 0,34 	 8 	 10 	 126 	 1015 	 7,8 	  
22:50 04.01.2019 	 0,57 	 0,25 	 7 	 10 	 134 	 1015 	 7,9 	  
22:40 04.01.2019 	 0,59 	 0,28 	 7 	 9 	 136 	 1015 	 7,8 	  
22:30 04.01.2019 	 0,62 	 0,44 	 8 	 10 	 142 	 1015 	 7,9 	  
22:20 04.01.2019 	 0,64 	 0,42 	 8 	 11 	 152 	 1015 	 7,8 	  
22:10 04.01.2019 	 0,69 	 0,3 	 10 	 11 	 155 	 1015 	 7,8 	  
22:00 04.01.2019 	 0,74 	 0,42 	 9 	 11 	 152 	 1015 	 7,9 	  
21:50 04.01.2019 	 0,78 	 0,59 	 8 	 11 	 150 	 1016 	 7,9 	  
21:40 04.01.2019 	 0,84 	 0,63 	 9 	 12 	 151 	 1016 	 7,9 	  
21:30 04.01.2019 	 0,9 	 0,5 	 8 	 12 	 144 	 1016 	 7,9 	  
21:20 04.01.2019 	 0,97 	 0,5 	 8 	 11 	 130 	 1016 	 7,9 	  
21:10 04.01.2019 	 1,04 	 0,78 	 7 	 10 	 128 	 1016 	 8 	  
21:00 04.01.2019 	 1,11 	 0,8 	 7 	 10 	 133 	 1016 	 8 	  
20:50 04.01.2019 	 1,19 	 0,96 	 8 	 10 	 125 	 1016 	 7,9 	  
20:40 04.01.2019 	 1,27 	 0,96 	 7 	 10 	 125 	 1016 	 7,9 	  
20:30 04.01.2019 	 1,35 	 0,99 	 7 	 10 	 130 	 1016 	 7,9 	  
20:20 04.01.2019 	 1,44 	 1,12 	 7 	 10 	 132 	 1016 	 7,9 	  
20:10 04.01.2019 	 1,51 	 1,05 	 7 	 10 	 128 	 1016 	 7,9 	  
20:00 04.01.2019 	 1,6 	 1,24 	 7 	 10 	 124 	 1016 	 7,8 	  
19:50 04.01.2019 	 1,67 	 1,37 	 8 	 10 	 120 	 1016 	 7,9 	  
19:40 04.01.2019 	 1,75 	 1,49 	 7 	 10 	 127 	 1016 	 7,9 	  
19:30 04.01.2019 	 1,83 	 1,56 	 7 	 10 	 139 	 1016 	 8,1 	  
19:20 04.01.2019 	 1,9 	 1,57 	 7 	 10 	 133 	 1016 	 8,1 	  
19:10 04.01.2019 	 1,97 	 1,54 	 8 	 10 	 129 	 1016 	 8,1 	  
19:00 04.01.2019 	 2,04 	 1,79 	 8 	 10 	 126 	 1016 	 8,1 	  
18:50 04.01.2019 	 2,1 	 1,7 	 8 	 10 	 127 	 1016 	 8,1 	  
18:40 04.01.2019 	 2,16 	 1,75 	 7 	 10 	 129 	 1016 	 8,1 	  
18:30 04.01.2019 	 2,22 	 1,84 	 8 	 10 	 126 	 1016 	 8,1 	  
18:20 04.01.2019 	 2,27 	 1,94 	 8 	 10 	 125 	 1016 	 8,1 	  
18:10 04.01.2019 	 2,31 	 1,93 	 8 	 10 	 118 	 1016 	 8,1 	  
