 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
04:30 29.01.2019 	 0,62 	 0,78 	 9 	 15 	 242 	 995 	 -1,9 	  
04:20 29.01.2019 	 0,6 	 0,75 	 11 	 16 	 240 	 994 	 -2,4 	  
04:10 29.01.2019 	 0,58 	 0,75 	 10 	 14 	 248 	 994 	 -2,8 	  
04:00 29.01.2019 	 0,57 	 0,74 	 11 	 18 	 243 	 994 	 -2,6 	  
03:50 29.01.2019 	 0,56 	 0,72 	 9 	 15 	 240 	 994 	 -2,8 	  
03:40 29.01.2019 	 0,54 	 0,71 	 9 	 13 	 232 	 995 	 -2,7 	  
03:30 29.01.2019 	 0,54 	 0,69 	 8 	 15 	 231 	 995 	 -2,9 	  
03:20 29.01.2019 	 0,54 	 0,69 	 7 	 13 	 242 	 995 	 -2,6 	  
03:10 29.01.2019 	 0,53 	 0,71 	 7 	 13 	 242 	 995 	 -2,8 	  
03:00 29.01.2019 	 0,54 	 0,7 	 9 	 14 	 221 	 995 	 -2,5 	  
02:50 29.01.2019 	 0,54 	 0,7 	 8 	 14 	 234 	 995 	 -2,6 	  
02:40 29.01.2019 	 0,54 	 0,69 	 6 	 13 	 224 	 995 	 -2,1 	  
02:30 29.01.2019 	 0,55 	 0,69 	 4 	 8 	 280 	 995 	 -2,2 	  
02:20 29.01.2019 	 0,56 	 0,76 	 3 	 8 	 195 	 996 	 -2,5 	  
02:10 29.01.2019 	 0,58 	 0,76 	 6 	 17 	 266 	 996 	 -2,5 	  
02:00 29.01.2019 	 0,6 	 0,79 	 9 	 16 	 218 	 995 	 -2,6 	  
01:50 29.01.2019 	 0,61 	 0,79 	 8 	 14 	 230 	 995 	 -2,6 	  
01:40 29.01.2019 	 0,63 	 0,8 	 9 	 12 	 220 	 995 	 -2,4 	  
01:30 29.01.2019 	 0,66 	 0,85 	 7 	 13 	 246 	 996 	 -2,6 	  
01:20 29.01.2019 	 0,68 	 0,86 	 8 	 13 	 242 	 996 	 -2,6 	  
01:10 29.01.2019 	 0,71 	 0,91 	 4 	 12 	 248 	 996 	 -2,7 	  
01:00 29.01.2019 	 0,73 	 0,91 	 3 	 6 	 251 	 996 	 -3 	  
00:50 29.01.2019 	 0,76 	 0,97 	 6 	 8 	 260 	 996 	 -3,1 	  
00:40 29.01.2019 	 0,79 	 0,99 	 4 	 8 	 257 	 996 	 -2,9 	  
00:30 29.01.2019 	 0,82 	 1,01 	 5 	 9 	 248 	 996 	 -2,8 	  
00:20 29.01.2019 	 0,86 	 1,05 	 7 	 10 	 251 	 997 	 -3,2 	  
00:10 29.01.2019 	 0,89 	 1,06 	 5 	 9 	 260 	 997 	 -2,7 	  
00:00 29.01.2019 	 0,92 	 1,12 	 6 	 10 	 261 	 997 	 -3,3 	  
23:50 28.01.2019 	 0,95 	 1,13 	 4 	 8 	 253 	 997 	 -3 	  
23:40 28.01.2019 	 0,98 	 1,16 	 5 	 7 	 259 	 997 	 -4 	  
23:30 28.01.2019 	 1,01 	 1,26 	 5 	 8 	 248 	 997 	 -3,6 	  
23:20 28.01.2019 	 1,04 	 1,29 	 4 	 6 	 254 	 997 	 -3,5 	  
23:10 28.01.2019 	 1,07 	 1,33 	 3 	 5 	 263 	 997 	 -3,2 	  
23:00 28.01.2019 	 1,1 	 1,35 	 3 	 4 	 287 	 997 	 -3,8 	  
22:50 28.01.2019 	 1,13 	 1,37 	 2 	 3 	 266 	 997 	 -3,9 	  
22:40 28.01.2019 	 1,16 	 1,41 	 3 	 3 	 276 	 997 	 -3,7 	  
22:30 28.01.2019 	 1,18 	 1,45 	 2 	 3 	 261 	 997 	 -3,2 	  
22:20 28.01.2019 	 1,2 	 1,46 	 3 	 4 	 254 	 998 	 -3,2 	  
22:10 28.01.2019 	 1,22 	 1,48 	 2 	 4 	 223 	 998 	 -2,9 	  
22:00 28.01.2019 	 1,24 	 1,46 	 3 	 4 	 291 	 998 	 -3,4 	  
21:50 28.01.2019 	 1,26 	 1,48 	 3 	 4 	 270 	 998 	 -4 	  
21:40 28.01.2019 	 1,27 	 1,53 	 2 	 4 	 261 	 998 	 -3,3 	  
21:30 28.01.2019 	 1,28 	 1,6 	 3 	 4 	 263 	 998 	 -3,5 	  
21:20 28.01.2019 	 1,29 	 1,6 	 3 	 4 	 269 	 998 	 -3,4 	  
21:10 28.01.2019 	 1,29 	 1,59 	 2 	 3 	 295 	 998 	 -4 	  
21:00 28.01.2019 	 1,3 	 1,58 	 2 	 4 	 312 	 998 	 -3,5 	  
20:50 28.01.2019 	 1,3 	 1,58 	 3 	 4 	 330 	 998 	 -3,4 	  
20:40 28.01.2019 	 1,3 	 1,63 	 3 	 4 	 311 	 998 	 -3,4 	  
20:30 28.01.2019 	 1,29 	 1,62 	 3 	 5 	 334 	 998 	 -2,9 	  
20:20 28.01.2019 	 1,28 	 1,61 	 3 	 5 	 346 	 998 	 -2,9 	  
20:10 28.01.2019 	 1,28 	 1,57 	 2 	 4 	 343 	 998 	 -3,3 	  
20:00 28.01.2019 	 1,26 	 1,57 	 3 	 4 	 324 	 998 	 -3,4 	  
19:50 28.01.2019 	 1,25 	 1,58 	 3 	 4 	 332 	 998 	 -3,4 	  
19:40 28.01.2019 	 1,23 	 1,58 	 3 	 5 	 338 	 998 	 -3,1 	  
19:30 28.01.2019 	 1,21 	 1,56 	 3 	 4 	 334 	 998 	 -3,3 	  
19:20 28.01.2019 	 1,19 	 1,52 	 3 	 5 	 344 	 998 	 -3 	  
19:10 28.01.2019 	 1,17 	 1,47 	 4 	 6 	 0 	 998 	 -3 	  
19:00 28.01.2019 	 1,14 	 1,45 	 5 	 6 	 0 	 998 	 -3,1 	  
18:50 28.01.2019 	 1,11 	 1,45 	 5 	 6 	 351 	 998 	 -3,3 	  
18:40 28.01.2019 	 1,08 	 1,44 	 3 	 5 	 0 	 998 	 -3,1 	  
18:30 28.01.2019 	 1,06 	 1,39 	 2 	 4 	 0 	 998 	 -2,9 	  
18:20 28.01.2019 	 1,02 	 1,37 	 3 	 5 	 25 	 998 	 -2,6 	  
18:10 28.01.2019 	 0,99 	 1,31 	 3 	 5 	 0 	 998 	 -3,1 	  
18:00 28.01.2019 	 0,96 	 1,25 	 4 	 6 	 350 	 998 	 -3,1 	  
17:50 28.01.2019 	 0,92 	 1,22 	 3 	 5 	 0 	 998 	 -3 	  
17:40 28.01.2019 	 0,89 	 1,19 	 4 	 5 	 355 	 998 	 -2,9 	  
17:30 28.01.2019 	 0,86 	 1,12 	 4 	 5 	 0 	 998 	 -3,1 	  
17:20 28.01.2019 	 0,82 	 1,1 	 3 	 6 	 9 	 998 	 -2,3 	  
17:10 28.01.2019 	 0,79 	 1,05 	 2 	 5 	 0 	 998 	 -2,4 	  
17:00 28.01.2019 	 0,76 	 1,02 	 3 	 5 	 40 	 998 	 -2,2 	  
16:50 28.01.2019 	 0,72 	 0,99 	 3 	 6 	 0 	 998 	 -2,4 	  
16:40 28.01.2019 	 0,69 	 0,95 	 2 	 5 	 11 	 998 	 -2,3 	  
16:30 28.01.2019 	 0,66 	 0,87 	 3 	 6 	 11 	 998 	 -2,2 	  
16:20 28.01.2019 	 0,64 	 0,85 	 3 	 6 	 29 	 998 	 -2 	  
16:10 28.01.2019 	 0,61 	 0,78 	 3 	 6 	 39 	 998 	 -1,9 	  
16:00 28.01.2019 	 0,58 	 0,79 	 3 	 5 	 45 	 998 	 -2 	  
15:50 28.01.2019 	 0,56 	 0,78 	 4 	 6 	 65 	 998 	 -2,3 	  
15:40 28.01.2019 	 0,54 	 0,76 	 4 	 6 	 73 	 998 	 -2,2 	  
15:30 28.01.2019 	 0,52 	 0,76 	 5 	 8 	 59 	 998 	 -2,3 	  
15:20 28.01.2019 	 0,5 	 0,68 	 4 	 6 	 49 	 998 	 -2,2 	  
15:10 28.01.2019 	 0,49 	 0,67 	 2 	 4 	 0 	 998 	 -1,8 	  
15:00 28.01.2019 	 0,48 	 0,67 	 2 	 4 	 16 	 998 	 -1,8 	  
14:50 28.01.2019 	 0,47 	 0,67 	 3 	 5 	 12 	 998 	 -1,8 	  
14:40 28.01.2019 	 0,46 	 0,68 	 3 	 6 	 58 	 998 	 -1,9 	  
14:30 28.01.2019 	 0,46 	 0,68 	 4 	 7 	 49 	 998 	 -1,8 	  
14:20 28.01.2019 	 0,46 	 0,65 	 3 	 6 	 42 	 998 	 -1,7 	  
14:10 28.01.2019 	 0,46 	 0,65 	 4 	 7 	 59 	 998 	 -1,9 	  
14:00 28.01.2019 	 0,47 	 0,67 	 2 	 4 	 85 	 998 	 -1,9 	  
13:50 28.01.2019 	 0,48 	 0,68 	 2 	 5 	 87 	 999 	 -1,7 	  
13:40 28.01.2019 	 0,49 	 0,71 	 3 	 7 	 116 	 999 	 -1,8 	  
13:30 28.01.2019 	 0,5 	 0,69 	 5 	 7 	 123 	 999 	 -1,6 	  
13:20 28.01.2019 	 0,52 	 0,71 	 6 	 8 	 120 	 999 	 -1,7 	  
13:10 28.01.2019 	 0,54 	 0,69 	 7 	 9 	 113 	 999 	 -1,7 	  
13:00 28.01.2019 	 0,56 	 0,72 	 7 	 9 	 115 	 999 	 -1,6 	  
12:50 28.01.2019 	 0,59 	 0,75 	 6 	 8 	 125 	 999 	 -1,7 	  
12:40 28.01.2019 	 0,62 	 0,83 	 6 	 8 	 123 	 999 	 -1,5 	  
12:30 28.01.2019 	 0,64 	 0,85 	 4 	 7 	 95 	 999 	 -1,7 	  
12:20 28.01.2019 	 0,68 	 0,9 	 3 	 8 	 131 	 999 	 -1,6 	  
12:10 28.01.2019 	 0,71 	 0,93 	 1 	 3 	 210 	 999 	 -2,3 	  
12:00 28.01.2019 	 0,74 	 0,93 	 1 	 3 	 115 	 999 	 -1,6 	  
11:50 28.01.2019 	 0,78 	 0,96 	 3 	 4 	 120 	 999 	 -1,6 	  
11:40 28.01.2019 	 0,81 	 1 	 2 	 4 	 116 	 999 	 -1,6 	  
11:30 28.01.2019 	 0,85 	 1,07 	 2 	 5 	 119 	 999 	 -1,8 	  
11:20 28.01.2019 	 0,88 	 1,14 	 4 	 5 	 110 	 999 	 -1,6 	  
11:10 28.01.2019 	 0,92 	 1,16 	 3 	 6 	 108 	 999 	 -1,8 	  
11:00 28.01.2019 	 0,96 	 1,17 	 2 	 5 	 107 	 999 	 -2,7 	  
10:50 28.01.2019 	 0,99 	 1,21 	 1 	 4 	 195 	 999 	 -3 	  
10:40 28.01.2019 	 1,03 	 1,24 	 1 	 3 	 45 	 1000 	 -3 	  
10:30 28.01.2019 	 1,06 	 1,28 	 2 	 3 	 12 	 1000 	 -3,1 	  
10:20 28.01.2019 	 1,1 	 1,36 	 1 	 2 	 355 	 1000 	 -3,6 	  
10:10 28.01.2019 	 1,13 	 1,39 	 0 	 1 	 270 	 1000 	 -3,7 	  
10:00 28.01.2019 	 1,16 	 1,39 	 0 	 1 	 280 	 1000 	 -3,9 	  
09:50 28.01.2019 	 1,19 	 1,45 	 1 	 2 	 257 	 1000 	 -4 	  
09:40 28.01.2019 	 1,21 	 1,46 	 1 	 2 	 265 	 1000 	 -4,1 	  
09:30 28.01.2019 	 1,24 	 1,5 	 1 	 2 	 263 	 1000 	 -4 	  
09:20 28.01.2019 	 1,26 	 1,53 	 1 	 1 	 262 	 1000 	 -4,1 	  
09:10 28.01.2019 	 1,28 	 1,54 	 1 	 1 	 264 	 1000 	 -4,1 	  
09:00 28.01.2019 	 1,3 	 1,58 	 1 	 2 	 265 	 1000 	 -4,2 	  
08:50 28.01.2019 	 1,31 	 1,57 	 2 	 2 	 263 	 1000 	 -4,3 	  
08:40 28.01.2019 	 1,32 	 1,56 	 2 	 2 	 260 	 1000 	 -4,3 	  
08:30 28.01.2019 	 1,33 	 1,59 	 2 	 2 	 257 	 1000 	 -4,4 	  
08:20 28.01.2019 	 1,34 	 1,57 	 2 	 2 	 249 	 1000 	 -4,3 	  
08:10 28.01.2019 	 1,34 	 1,62 	 2 	 3 	 268 	 1000 	 -4,6 	  
08:00 28.01.2019 	 1,34 	 1,64 	 2 	 3 	 262 	 1000 	 -4,8 	  
07:50 28.01.2019 	 1,34 	 1,63 	 2 	 3 	 263 	 1000 	 -4,6 	  
07:40 28.01.2019 	 1,33 	 1,63 	 1 	 2 	 262 	 1000 	 -4,7 	  
07:30 28.01.2019 	 1,32 	 1,61 	 2 	 2 	 272 	 1000 	 -4,9 	  
07:20 28.01.2019 	 1,31 	 1,59 	 2 	 2 	 273 	 1000 	 -5,1 	  
07:10 28.01.2019 	 1,29 	 1,55 	 2 	 2 	 262 	 1001 	 -5,2 	  
07:00 28.01.2019 	 1,28 	 1,55 	 2 	 2 	 257 	 1001 	 -5,1 	  
06:50 28.01.2019 	 1,26 	 1,54 	 2 	 3 	 275 	 1001 	 -5,3 	  
06:40 28.01.2019 	 1,23 	 1,53 	 3 	 3 	 270 	 1001 	 -5,3 	  
06:30 28.01.2019 	 1,2 	 1,52 	 3 	 3 	 271 	 1001 	 -5,3 	  
06:20 28.01.2019 	 1,18 	 1,45 	 3 	 3 	 265 	 1001 	 -5,2 	  
06:10 28.01.2019 	 1,14 	 1,38 	 3 	 4 	 252 	 1001 	 -4,7 	  
06:00 28.01.2019 	 1,11 	 1,35 	 1 	 3 	 255 	 1001 	 -4,3 	  
05:50 28.01.2019 	 1,08 	 1,33 	 1 	 1 	 279 	 1001 	 -4,6 	  
05:40 28.01.2019 	 1,04 	 1,31 	 1 	 1 	 298 	 1001 	 -4,9 	  
05:30 28.01.2019 	 1,01 	 1,27 	 2 	 2 	 268 	 1001 	 -5 	  
05:20 28.01.2019 	 0,97 	 1,19 	 2 	 3 	 269 	 1001 	 -5,2 	  
05:10 28.01.2019 	 0,94 	 1,12 	 3 	 3 	 261 	 1001 	 -5,4 	  
05:00 28.01.2019 	 0,9 	 1,09 	 2 	 3 	 247 	 1001 	 -4,9 	  
04:50 28.01.2019 	 0,86 	 1,04 	 2 	 3 	 239 	 1001 	 -4,9 	  
