 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
02:30 13.01.2019 	 1,76 	 1,57 	 7 	 8 	 13 	 1000 	 1,6 	  
02:20 13.01.2019 	 1,84 	 1,64 	 7 	 10 	 13 	 1000 	 1,7 	  
02:10 13.01.2019 	 1,92 	 1,71 	 7 	 10 	 14 	 999 	 1,7 	  
02:00 13.01.2019 	 2 	 1,77 	 7 	 10 	 14 	 999 	 1,8 	  
01:50 13.01.2019 	 2,08 	 1,92 	 8 	 11 	 14 	 999 	 1,8 	  
01:40 13.01.2019 	 2,16 	 1,91 	 9 	 12 	 15 	 999 	 1,9 	  
01:30 13.01.2019 	 2,24 	 2,07 	 9 	 11 	 11 	 999 	 1,8 	  
01:20 13.01.2019 	 2,33 	 2,07 	 9 	 11 	 10 	 999 	 1,9 	  
01:10 13.01.2019 	 2,41 	 2,19 	 8 	 11 	 12 	 999 	 1,9 	  
01:00 13.01.2019 	 2,49 	 2,26 	 8 	 10 	 10 	 999 	 1,9 	  
00:50 13.01.2019 	 2,57 	 2,33 	 8 	 10 	 9 	 999 	 1,8 	  
00:40 13.01.2019 	 2,65 	 2,42 	 8 	 10 	 11 	 998 	 1,8 	  
00:30 13.01.2019 	 2,72 	 2,52 	 7 	 9 	 9 	 998 	 1,8 	  
00:20 13.01.2019 	 2,79 	 2,6 	 7 	 9 	 11 	 998 	 1,7 	  
00:10 13.01.2019 	 2,86 	 2,64 	 7 	 9 	 11 	 998 	 1,8 	  
00:00 13.01.2019 	 2,92 	 2,67 	 6 	 8 	 13 	 998 	 1,7 	  
23:50 12.01.2019 	 2,97 	 2,8 	 6 	 8 	 11 	 998 	 1,7 	  
23:40 12.01.2019 	 3,02 	 2,81 	 6 	 8 	 12 	 998 	 1,7 	  
23:30 12.01.2019 	 3,07 	 2,86 	 6 	 8 	 14 	 998 	 1,6 	  
23:20 12.01.2019 	 3,11 	 2,91 	 5 	 7 	 14 	 998 	 1,5 	  
23:10 12.01.2019 	 3,14 	 2,92 	 6 	 7 	 13 	 998 	 1,5 	  
23:00 12.01.2019 	 3,17 	 2,95 	 6 	 8 	 13 	 998 	 1,5 	  
22:50 12.01.2019 	 3,19 	 2,98 	 6 	 7 	 14 	 998 	 1,4 	  
22:40 12.01.2019 	 3,2 	 3,01 	 5 	 7 	 13 	 998 	 1,4 	  
22:30 12.01.2019 	 3,2 	 3,02 	 6 	 8 	 14 	 998 	 1,4 	  
