 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
23:30 16.01.2019 	 2,16 	 2,28 	 8 	 9 	 79 	 -1,6 	  
23:20 16.01.2019 	 2,08 	 2,27 	 7 	 10 	 80 	 -1,7 	  
23:10 16.01.2019 	 2 	 2,18 	 6 	 9 	 82 	 -1,8 	  
23:00 16.01.2019 	 1,92 	 2,12 	 6 	 8 	 84 	 -1,9 	  
22:50 16.01.2019 	 1,84 	 1,99 	 7 	 8 	 83 	 -2 	  
22:40 16.01.2019 	 1,77 	 1,9 	 7 	 9 	 82 	 -1,9 	  
22:30 16.01.2019 	 1,7 	 1,79 	 8 	 10 	 83 	 -2 	  
22:20 16.01.2019 	 1,64 	 1,73 	 7 	 9 	 87 	 -2 	  
22:10 16.01.2019 	 1,58 	 1,68 	 7 	 10 	 87 	 -2 	  
22:00 16.01.2019 	 1,52 	 1,69 	 7 	 9 	 86 	 -1,9 	  
21:50 16.01.2019 	 1,47 	 1,64 	 7 	 9 	 85 	 -2 	  
21:40 16.01.2019 	 1,42 	 1,57 	 7 	 10 	 80 	 -1,9 	  
21:30 16.01.2019 	 1,39 	 1,51 	 8 	 10 	 82 	 -2 	  
21:20 16.01.2019 	 1,35 	 1,46 	 8 	 11 	 83 	 -1,8 	  
21:10 16.01.2019 	 1,33 	 1,41 	 7 	 9 	 82 	 -1,9 	  
21:00 16.01.2019 	 1,31 	 1,4 	 8 	 10 	 78 	 -2,1 	  
20:50 16.01.2019 	 1,29 	 1,42 	 7 	 10 	 78 	 -2,1 	  
20:40 16.01.2019 	 1,29 	 1,39 	 8 	 10 	 77 	 -2,1 	  
20:30 16.01.2019 	 1,29 	 1,41 	 8 	 10 	 77 	 -1,7 	  
20:20 16.01.2019 	 1,29 	 1,4 	 7 	 9 	 79 	 -1,9 	  
20:10 16.01.2019 	 1,31 	 1,39 	 7 	 9 	 82 	 -2,3 	  
20:00 16.01.2019 	 1,33 	 1,38 	 6 	 8 	 82 	 -2,7 	  
19:50 16.01.2019 	 1,35 	 1,38 	 3 	 5 	 91 	 -3 	  
19:40 16.01.2019 	 1,39 	 1,43 	 2 	 3 	 53 	 -3,6 	  
19:30 16.01.2019 	 1,42 	 1,46 	 2 	 2 	 98 	 -4,2 	  
19:20 16.01.2019 	 1,47 	 1,51 	 2 	 4 	 136 	 -4,7 	  
19:10 16.01.2019 	 1,51 	 1,57 	 3 	 4 	 136 	 -4,9 	  
19:00 16.01.2019 	 1,57 	 1,64 	 3 	 4 	 136 	 -4,5 	  
18:50 16.01.2019 	 1,62 	 1,66 	 3 	 4 	 138 	 -4,8 	  
18:40 16.01.2019 	 1,68 	 1,7 	 3 	 3 	 133 	 -4,5 	  
18:30 16.01.2019 	 1,75 	 1,8 	 2 	 3 	 127 	 -4,4 	  
18:20 16.01.2019 	 1,81 	 1,88 	 3 	 3 	 131 	 -4,5 	  
18:10 16.01.2019 	 1,88 	 1,96 	 3 	 3 	 132 	 -4,4 	  
18:00 16.01.2019 	 1,95 	 2,05 	 3 	 3 	 136 	 -4,7 	  
17:50 16.01.2019 	 2,02 	 2,11 	 3 	 3 	 135 	 -4,7 	  
17:40 16.01.2019 	 2,09 	 2,16 	 3 	 4 	 135 	 -4,7 	  
17:30 16.01.2019 	 2,16 	 2,23 	 2 	 3 	 138 	 -4,7 	  
17:20 16.01.2019 	 2,24 	 2,31 	 3 	 4 	 135 	 -4,6 	  
17:10 16.01.2019 	 2,31 	 2,41 	 2 	 3 	 140 	 -4,2 	  
17:00 16.01.2019 	 2,38 	 2,46 	 2 	 2 	 142 	 -4,4 	  
16:50 16.01.2019 	 2,45 	 2,52 	 2 	 3 	 134 	 -4,2 	  
16:40 16.01.2019 	 2,51 	 2,63 	 2 	 3 	 134 	 -3,8 	  
16:30 16.01.2019 	 2,58 	 2,67 	 2 	 3 	 137 	 -3,9 	  
16:20 16.01.2019 	 2,64 	 2,73 	 2 	 3 	 147 	 -3,8 	  
16:10 16.01.2019 	 2,7 	 2,82 	 3 	 3 	 134 	 -3,5 	  
16:00 16.01.2019 	 2,76 	 2,86 	 3 	 3 	 128 	 -3,8 	  
15:50 16.01.2019 	 2,81 	 2,93 	 3 	 3 	 124 	 -3,5 	  
15:40 16.01.2019 	 2,86 	 2,99 	 3 	 3 	 134 	 -3,2 	  
15:30 16.01.2019 	 2,9 	 3,03 	 3 	 4 	 129 	 -3,1 	  
15:20 16.01.2019 	 2,94 	 3,1 	 2 	 3 	 138 	 -3,1 	  
15:10 16.01.2019 	 2,98 	 3,13 	 2 	 3 	 140 	 -3 	  
15:00 16.01.2019 	 3,01 	 3,17 	 2 	 3 	 131 	 -2,8 	  
14:50 16.01.2019 	 3,03 	 3,18 	 1 	 2 	 146 	 -3 	  
14:40 16.01.2019 	 3,05 	 3,2 	 2 	 4 	 140 	 -3 	  
14:30 16.01.2019 	 3,06 	 3,22 	 3 	 4 	 136 	 -2,8 	  
14:20 16.01.2019 	 3,07 	 3,21 	 2 	 4 	 148 	 -2,9 	  
14:10 16.01.2019 	 3,07 	 3,22 	 2 	 3 	 150 	 -2,6 	  
14:00 16.01.2019 	 3,06 	 3,22 	 2 	 3 	 146 	 -2,8 	  
13:50 16.01.2019 	 3,05 	 3,2 	 2 	 3 	 185 	 -2,6 	  
13:40 16.01.2019 	 3,04 	 3,21 	 2 	 2 	 166 	 -2,8 	  
13:30 16.01.2019 	 3,02 	 3,19 	 1 	 2 	 154 	 -3,1 	  
13:20 16.01.2019 	 2,99 	 3,14 	 1 	 1 	 160 	 -2,9 	  
13:10 16.01.2019 	 2,96 	 3,13 	 1 	 2 	 166 	 -3,8 	  
13:00 16.01.2019 	 2,92 	 3,09 	 2 	 2 	 174 	 -4,3 	  
12:50 16.01.2019 	 2,88 	 3,06 	 1 	 2 	 183 	 -4,7 	  
12:40 16.01.2019 	 2,83 	 3,01 	 1 	 2 	 174 	 -4,9 	  
12:30 16.01.2019 	 2,78 	 2,94 	 1 	 2 	 152 	 -4,3 	  
12:20 16.01.2019 	 2,73 	 2,92 	 2 	 4 	 175 	 -4,7 	  
12:10 16.01.2019 	 2,67 	 2,86 	 2 	 3 	 158 	 -4,7 	  
12:00 16.01.2019 	 2,61 	 2,8 	 2 	 3 	 163 	 -5,1 	  
11:50 16.01.2019 	 2,55 	 2,72 	 2 	 3 	 144 	 -4,9 	  
11:40 16.01.2019 	 2,48 	 2,61 	 3 	 4 	 129 	 -5,2 	  
11:30 16.01.2019 	 2,42 	 2,49 	 1 	 3 	 152 	 -4,9 	  
11:20 16.01.2019 	 2,35 	 2,46 	 3 	 4 	 145 	 -4,8 	  
11:10 16.01.2019 	 2,29 	 2,38 	 3 	 4 	 151 	 -4,9 	  
11:00 16.01.2019 	 2,22 	 2,33 	 3 	 4 	 142 	 -5 	  
10:50 16.01.2019 	 2,16 	 2,28 	 2 	 4 	 145 	 -4,3 	  
10:40 16.01.2019 	 2,09 	 2,21 	 1 	 2 	 140 	 -4,5 	  
10:30 16.01.2019 	 2,03 	 2,14 	 1 	 2 	 146 	 -4,7 	  
10:20 16.01.2019 	 1,97 	 2,1 	 2 	 3 	 138 	 -4,3 	  
10:10 16.01.2019 	 1,91 	 2,04 	 1 	 2 	 151 	 -4,3 	  
10:00 16.01.2019 	 1,85 	 2,02 	 3 	 4 	 163 	 -4,7 	  
09:50 16.01.2019 	 1,8 	 1,96 	 3 	 5 	 159 	 -4,7 	  
09:40 16.01.2019 	 1,75 	 1,93 	 3 	 4 	 162 	 -4,5 	  
09:30 16.01.2019 	 1,7 	 1,9 	 2 	 4 	 140 	 -4,2 	  
09:20 16.01.2019 	 1,66 	 1,87 	 2 	 3 	 161 	 -3,9 	  
09:10 16.01.2019 	 1,62 	 1,82 	 2 	 4 	 188 	 -4 	  
09:00 16.01.2019 	 1,59 	 1,77 	 2 	 4 	 189 	 -4,3 	  
08:50 16.01.2019 	 1,56 	 1,73 	 2 	 4 	 183 	 -4,7 	  
08:40 16.01.2019 	 1,54 	 1,72 	 1 	 3 	 189 	 -4,6 	  
08:30 16.01.2019 	 1,52 	 1,71 	 2 	 4 	 159 	 -4,3 	  
08:20 16.01.2019 	 1,51 	 1,69 	 2 	 3 	 187 	 -4,9 	  
08:10 16.01.2019 	 1,5 	 1,66 	 1 	 3 	 169 	 -4,9 	  
08:00 16.01.2019 	 1,5 	 1,61 	 2 	 4 	 141 	 -4,3 	  
07:50 16.01.2019 	 1,51 	 1,59 	 3 	 4 	 135 	 -4,2 	  
07:40 16.01.2019 	 1,52 	 1,61 	 2 	 3 	 145 	 -3,9 	  
07:30 16.01.2019 	 1,53 	 1,62 	 1 	 2 	 169 	 -4,5 	  
07:20 16.01.2019 	 1,55 	 1,68 	 2 	 2 	 167 	 -4,7 	  
07:10 16.01.2019 	 1,58 	 1,71 	 1 	 2 	 182 	 -5,2 	  
07:00 16.01.2019 	 1,61 	 1,75 	 2 	 2 	 177 	 -4,7 	  
06:50 16.01.2019 	 1,65 	 1,76 	 1 	 2 	 128 	 -4,3 	  
06:40 16.01.2019 	 1,69 	 1,8 	 1 	 2 	 153 	 -4,9 	  
06:30 16.01.2019 	 1,73 	 1,85 	 2 	 3 	 113 	 -4,3 	  
06:20 16.01.2019 	 1,78 	 1,92 	 2 	 4 	 112 	 -3,5 	  
06:10 16.01.2019 	 1,84 	 1,95 	 2 	 3 	 142 	 -4,6 	  
06:00 16.01.2019 	 1,89 	 2,02 	 2 	 5 	 143 	 -4,6 	  
05:50 16.01.2019 	 1,95 	 2,05 	 3 	 6 	 147 	 -4 	  
05:40 16.01.2019 	 2,01 	 2,12 	 4 	 6 	 139 	 -3,9 	  
05:30 16.01.2019 	 2,07 	 2,21 	 4 	 7 	 151 	 -4,7 	  
05:20 16.01.2019 	 2,13 	 2,27 	 3 	 5 	 155 	 -3,9 	  
05:10 16.01.2019 	 2,2 	 2,34 	 3 	 4 	 161 	 -3,9 	  
05:00 16.01.2019 	 2,27 	 2,38 	 2 	 3 	 166 	 -4,8 	  
04:50 16.01.2019 	 2,33 	 2,45 	 2 	 4 	 152 	 -4,8 	  
04:40 16.01.2019 	 2,4 	 2,52 	 3 	 4 	 135 	 -4,4 	  
04:30 16.01.2019 	 2,46 	 2,59 	 3 	 4 	 149 	 -4,7 	  
04:20 16.01.2019 	 2,53 	 2,64 	 3 	 4 	 148 	 -4,7 	  
04:10 16.01.2019 	 2,59 	 2,69 	 2 	 3 	 155 	 -4,7 	  
04:00 16.01.2019 	 2,65 	 2,75 	 2 	 3 	 164 	 -4,6 	  
03:50 16.01.2019 	 2,71 	 2,83 	 2 	 3 	 191 	 -4,7 	  
03:40 16.01.2019 	 2,77 	 2,89 	 2 	 3 	 200 	 -4,3 	  
03:30 16.01.2019 	 2,82 	 2,96 	 1 	 2 	 197 	 -4 	  
03:20 16.01.2019 	 2,87 	 2,97 	 1 	 2 	 185 	 -3,8 	  
03:10 16.01.2019 	 2,92 	 3,02 	 1 	 2 	 142 	 -3,5 	  
03:00 16.01.2019 	 2,96 	 3,05 	 2 	 3 	 155 	 -3,5 	  
02:50 16.01.2019 	 3 	 3,08 	 3 	 5 	 155 	 -3,3 	  
02:40 16.01.2019 	 3,03 	 3,12 	 3 	 5 	 153 	 -3,5 	  
02:30 16.01.2019 	 3,06 	 3,16 	 4 	 6 	 151 	 -2,9 	  
02:20 16.01.2019 	 3,08 	 3,22 	 4 	 6 	 170 	 -2,9 	  
02:10 16.01.2019 	 3,1 	 3,23 	 4 	 6 	 200 	 -2,9 	  
02:00 16.01.2019 	 3,11 	 3,27 	 3 	 5 	 211 	 -3,1 	  
01:50 16.01.2019 	 3,11 	 3,24 	 3 	 5 	 236 	 -2,8 	  
01:40 16.01.2019 	 3,11 	 3,23 	 2 	 3 	 215 	 -2,6 	  
01:30 16.01.2019 	 3,11 	 3,25 	 3 	 4 	 180 	 -2,2 	  
01:20 16.01.2019 	 3,09 	 3,23 	 3 	 4 	 160 	 -1,3 	  
01:10 16.01.2019 	 3,08 	 3,25 	 2 	 3 	 178 	 -2,2 	  
01:00 16.01.2019 	 3,05 	 3,27 	 3 	 5 	 221 	 -1,7 	  
00:50 16.01.2019 	 3,02 	 3,22 	 3 	 5 	 239 	 -1,5 	  
00:40 16.01.2019 	 2,99 	 3,18 	 3 	 5 	 159 	 -1,4 	  
00:30 16.01.2019 	 2,95 	 3,13 	 3 	 5 	 157 	 -1,1 	  
00:20 16.01.2019 	 2,91 	 3,08 	 4 	 6 	 168 	 -0,9 	  
00:10 16.01.2019 	 2,86 	 3,05 	 3 	 5 	 187 	 -1,2 	  
00:00 16.01.2019 	 2,8 	 3 	 3 	 5 	 203 	 -1,2 	  
23:50 15.01.2019 	 2,75 	 2,95 	 4 	 5 	 195 	 -1,2 	  
23:40 15.01.2019 	 2,69 	 2,87 	 3 	 5 	 187 	 -1 	  
23:30 15.01.2019 	 2,62 	 2,82 	 4 	 6 	 202 	 -1,1 	  
23:20 15.01.2019 	 2,56 	 2,74 	 3 	 4 	 206 	 -1,3 	  
23:10 15.01.2019 	 2,49 	 2,66 	 3 	 4 	 198 	 -1,2 	  
23:00 15.01.2019 	 2,42 	 2,59 	 3 	 5 	 194 	 -1,2 	  
22:50 15.01.2019 	 2,35 	 2,53 	 4 	 5 	 194 	 -1 	  
22:40 15.01.2019 	 2,28 	 2,48 	 4 	 5 	 202 	 -1 	  
22:30 15.01.2019 	 2,21 	 2,42 	 2 	 3 	 214 	 -1 	  
22:20 15.01.2019 	 2,14 	 2,36 	 3 	 4 	 190 	 -0,5 	  
22:10 15.01.2019 	 2,07 	 2,29 	 4 	 6 	 189 	 -0,6 	  
22:00 15.01.2019 	 2 	 2,21 	 7 	 11 	 47 	 1,2 	  
21:50 15.01.2019 	 1,93 	 2,18 	 6 	 11 	 46 	 1,2 	  
21:40 15.01.2019 	 1,87 	 2,14 	 7 	 10 	 40 	 1,5 	  
21:30 15.01.2019 	 1,81 	 2,08 	 6 	 11 	 60 	 1 	  
21:20 15.01.2019 	 1,75 	 2,03 	 4 	 9 	 92 	 1,2 	  
21:10 15.01.2019 	 1,69 	 1,92 	 1 	 6 	 72 	 0,7 	  
21:00 15.01.2019 	 1,64 	 1,84 	 3 	 8 	 46 	 0,6 	  
20:50 15.01.2019 	 1,59 	 1,81 	 2 	 5 	 76 	 0,8 	  
20:40 15.01.2019 	 1,54 	 1,76 	 4 	 8 	 34 	 0,8 	  
20:30 15.01.2019 	 1,5 	 1,71 	 1 	 5 	 19 	 0,4 	  
20:20 15.01.2019 	 1,47 	 1,67 	 3 	 4 	 84 	 0,2 	  
20:10 15.01.2019 	 1,44 	 1,62 	 3 	 5 	 43 	 0,2 	  
20:00 15.01.2019 	 1,41 	 1,58 	 3 	 6 	 21 	 0,5 	  
19:50 15.01.2019 	 1,4 	 1,55 	 2 	 4 	 115 	 0,5 	  
19:40 15.01.2019 	 1,38 	 1,52 	 2 	 3 	 80 	 1 	  
19:30 15.01.2019 	 1,38 	 1,52 	 3 	 5 	 348 	 0,8 	  
19:20 15.01.2019 	 1,38 	 1,5 	 6 	 11 	 343 	 0,9 	  
19:10 15.01.2019 	 1,38 	 1,51 	 5 	 8 	 26 	 1 	  
19:00 15.01.2019 	 1,39 	 1,54 	 5 	 7 	 15 	 1 	  
18:50 15.01.2019 	 1,41 	 1,55 	 5 	 9 	 353 	 0,6 	  
18:40 15.01.2019 	 1,43 	 1,56 	 1 	 3 	 355 	 0,9 	  
18:30 15.01.2019 	 1,46 	 1,59 	 1 	 3 	 240 	 0,8 	  
18:20 15.01.2019 	 1,49 	 1,59 	 1 	 2 	 89 	 0,7 	  
18:10 15.01.2019 	 1,53 	 1,64 	 2 	 3 	 110 	 0,8 	  
18:00 15.01.2019 	 1,57 	 1,73 	 3 	 5 	 89 	 0,9 	  
17:50 15.01.2019 	 1,62 	 1,81 	 4 	 6 	 105 	 1,1 	  
17:40 15.01.2019 	 1,67 	 1,88 	 5 	 7 	 109 	 1 	  
17:30 15.01.2019 	 1,72 	 1,92 	 6 	 9 	 107 	 0,9 	  
17:20 15.01.2019 	 1,78 	 1,95 	 6 	 9 	 91 	 1,1 	  
17:10 15.01.2019 	 1,84 	 2,02 	 4 	 7 	 100 	 1,1 	  
17:00 15.01.2019 	 1,9 	 2,1 	 2 	 4 	 129 	 0,8 	  
16:50 15.01.2019 	 1,96 	 2,22 	 3 	 5 	 89 	 1,3 	  
16:40 15.01.2019 	 2,03 	 2,29 	 3 	 5 	 81 	 1,1 	  
16:30 15.01.2019 	 2,09 	 2,34 	 2 	 4 	 97 	 0,6 	  
16:20 15.01.2019 	 2,16 	 2,39 	 2 	 3 	 100 	 0,5 	  
16:10 15.01.2019 	 2,23 	 2,45 	 2 	 3 	 110 	 0,8 	  
16:00 15.01.2019 	 2,3 	 2,52 	 2 	 3 	 134 	 0,5 	  
15:50 15.01.2019 	 2,36 	 2,58 	 2 	 3 	 173 	 0,5 	  
15:40 15.01.2019 	 2,43 	 2,68 	 1 	 2 	 159 	 0,5 	  
15:30 15.01.2019 	 2,49 	 2,76 	 1 	 3 	 169 	 0,4 	  
15:20 15.01.2019 	 2,56 	 2,84 	 1 	 2 	 101 	 1 	  
15:10 15.01.2019 	 2,62 	 2,91 	 3 	 4 	 93 	 0,7 	  
15:00 15.01.2019 	 2,68 	 2,97 	 3 	 5 	 109 	 1 	  
14:50 15.01.2019 	 2,73 	 3,01 	 5 	 7 	 113 	 1 	  
14:40 15.01.2019 	 2,78 	 3,08 	 5 	 7 	 106 	 0,9 	  
14:30 15.01.2019 	 2,83 	 3,14 	 6 	 7 	 103 	 1,1 	  
14:20 15.01.2019 	 2,87 	 3,19 	 5 	 7 	 105 	 1,3 	  
14:10 15.01.2019 	 2,91 	 3,23 	 5 	 6 	 109 	 1,1 	  
14:00 15.01.2019 	 2,94 	 3,24 	 6 	 7 	 106 	 1,1 	  
13:50 15.01.2019 	 2,97 	 3,31 	 5 	 7 	 111 	 1 	  
13:40 15.01.2019 	 3 	 3,32 	 5 	 8 	 102 	 1,1 	  
13:30 15.01.2019 	 3,02 	 3,36 	 5 	 7 	 92 	 0,8 	  
13:20 15.01.2019 	 3,03 	 3,37 	 6 	 7 	 94 	 0,9 	  
13:10 15.01.2019 	 3,04 	 3,38 	 6 	 8 	 91 	 0,9 	  
13:00 15.01.2019 	 3,04 	 3,4 	 5 	 8 	 98 	 1,1 	  
12:50 15.01.2019 	 3,04 	 3,39 	 6 	 7 	 105 	 1 	  
12:40 15.01.2019 	 3,03 	 3,39 	 5 	 7 	 102 	 0,6 	  
12:30 15.01.2019 	 3,02 	 3,34 	 6 	 7 	 87 	 0,8 	  
12:20 15.01.2019 	 3 	 3,3 	 8 	 10 	 80 	 0,7 	  
12:10 15.01.2019 	 2,98 	 3,26 	 7 	 9 	 83 	 0,6 	  
12:00 15.01.2019 	 2,95 	 3,23 	 5 	 7 	 81 	 0,8 	  
11:50 15.01.2019 	 2,92 	 3,2 	 5 	 7 	 83 	 0,7 	  
11:40 15.01.2019 	 2,88 	 3,18 	 6 	 7 	 87 	 0,7 	  
11:30 15.01.2019 	 2,84 	 3,13 	 6 	 7 	 88 	 0,5 	  
11:20 15.01.2019 	 2,8 	 3,09 	 6 	 8 	 85 	 0,7 	  
11:10 15.01.2019 	 2,75 	 3,04 	 7 	 9 	 80 	 0,5 	  
11:00 15.01.2019 	 2,7 	 3 	 7 	 9 	 78 	 0,7 	  
10:50 15.01.2019 	 2,65 	 2,93 	 4 	 5 	 101 	 0,6 	  
10:40 15.01.2019 	 2,59 	 2,88 	 3 	 4 	 115 	 0,8 	  
10:30 15.01.2019 	 2,53 	 2,84 	 3 	 3 	 123 	 0,5 	  
10:20 15.01.2019 	 2,47 	 2,78 	 3 	 4 	 124 	 0,3 	  
10:10 15.01.2019 	 2,41 	 2,73 	 4 	 6 	 125 	 0,5 	  
10:00 15.01.2019 	 2,35 	 2,69 	 5 	 6 	 109 	 0,9 	  
09:50 15.01.2019 	 2,29 	 2,61 	 5 	 6 	 90 	 0,8 	  
09:40 15.01.2019 	 2,23 	 2,54 	 5 	 6 	 84 	 0,5 	  
09:30 15.01.2019 	 2,16 	 2,46 	 4 	 6 	 90 	 0,9 	  
09:20 15.01.2019 	 2,1 	 2,38 	 3 	 4 	 116 	 1,1 	  
09:10 15.01.2019 	 2,04 	 2,32 	 4 	 5 	 120 	 0,9 	  
09:00 15.01.2019 	 1,98 	 2,23 	 5 	 6 	 126 	 1,1 	  
08:50 15.01.2019 	 1,93 	 2,18 	 4 	 6 	 138 	 1,2 	  
08:40 15.01.2019 	 1,87 	 2,12 	 5 	 6 	 142 	 1,3 	  
08:30 15.01.2019 	 1,82 	 2,03 	 4 	 6 	 144 	 1,2 	  
08:20 15.01.2019 	 1,77 	 1,97 	 4 	 7 	 161 	 1,2 	  
08:10 15.01.2019 	 1,73 	 1,94 	 4 	 7 	 144 	 0,8 	  
08:00 15.01.2019 	 1,69 	 1,89 	 4 	 5 	 143 	 0,9 	  
07:50 15.01.2019 	 1,65 	 1,86 	 4 	 5 	 140 	 0,9 	  
07:40 15.01.2019 	 1,62 	 1,84 	 4 	 5 	 138 	 0,9 	  
07:30 15.01.2019 	 1,59 	 1,8 	 3 	 4 	 132 	 0,9 	  
07:20 15.01.2019 	 1,57 	 1,8 	 3 	 4 	 133 	 0,9 	  
07:10 15.01.2019 	 1,55 	 1,76 	 3 	 5 	 132 	 1,2 	  
07:00 15.01.2019 	 1,54 	 1,78 	 2 	 3 	 111 	 1,3 	  
06:50 15.01.2019 	 1,53 	 1,75 	 3 	 3 	 101 	 1,5 	  
06:40 15.01.2019 	 1,53 	 1,74 	 3 	 3 	 99 	 1,5 	  
06:30 15.01.2019 	 1,54 	 1,77 	 3 	 3 	 118 	 1,9 	  
06:20 15.01.2019 	 1,54 	 1,78 	 3 	 3 	 128 	 2,1 	  
06:10 15.01.2019 	 1,56 	 1,8 	 3 	 3 	 129 	 2,3 	  
06:00 15.01.2019 	 1,58 	 1,81 	 2 	 3 	 131 	 2,6 	  
05:50 15.01.2019 	 1,6 	 1,81 	 1 	 2 	 149 	 2,6 	  
05:40 15.01.2019 	 1,63 	 1,82 	 1 	 2 	 201 	 2,5 	  
05:30 15.01.2019 	 1,67 	 1,87 	 3 	 5 	 226 	 2,6 	  
05:20 15.01.2019 	 1,71 	 1,9 	 3 	 5 	 215 	 2,8 	  
05:10 15.01.2019 	 1,75 	 1,97 	 3 	 5 	 228 	 2,8 	  
05:00 15.01.2019 	 1,8 	 2,03 	 3 	 5 	 215 	 2,8 	  
04:50 15.01.2019 	 1,85 	 2,03 	 3 	 5 	 221 	 2,9 	  
04:40 15.01.2019 	 1,9 	 2,07 	 3 	 5 	 222 	 2,9 	  
04:30 15.01.2019 	 1,96 	 2,11 	 4 	 8 	 213 	 2,9 	  
04:20 15.01.2019 	 2,02 	 2,17 	 4 	 6 	 196 	 2,8 	  
04:10 15.01.2019 	 2,08 	 2,26 	 4 	 7 	 208 	 2,8 	  
04:00 15.01.2019 	 2,14 	 2,35 	 4 	 7 	 205 	 2,9 	  
03:50 15.01.2019 	 2,21 	 2,39 	 4 	 8 	 206 	 2,8 	  
03:40 15.01.2019 	 2,27 	 2,48 	 5 	 8 	 211 	 2,8 	  
03:30 15.01.2019 	 2,34 	 2,52 	 5 	 9 	 210 	 2,8 	  
03:20 15.01.2019 	 2,4 	 2,58 	 4 	 7 	 199 	 2,8 	  
03:10 15.01.2019 	 2,47 	 2,65 	 5 	 9 	 219 	 3 	  
03:00 15.01.2019 	 2,53 	 2,7 	 7 	 12 	 212 	 3 	  
02:50 15.01.2019 	 2,59 	 2,78 	 7 	 12 	 214 	 1,8 	  
02:40 15.01.2019 	 2,65 	 2,84 	 5 	 8 	 211 	 3 	  
02:30 15.01.2019 	 2,7 	 2,9 	 5 	 7 	 223 	 3 	  
02:20 15.01.2019 	 2,76 	 2,98 	 5 	 7 	 220 	 2,9 	  
02:10 15.01.2019 	 2,81 	 3,01 	 5 	 9 	 209 	 2,8 	  
02:00 15.01.2019 	 2,85 	 3,05 	 5 	 9 	 208 	 2,9 	  
01:50 15.01.2019 	 2,89 	 3,13 	 6 	 9 	 214 	 3 	  
01:40 15.01.2019 	 2,93 	 3,18 	 7 	 10 	 220 	 3 	  
01:30 15.01.2019 	 2,96 	 3,23 	 8 	 12 	 216 	 2,7 	  
01:20 15.01.2019 	 2,99 	 3,29 	 6 	 9 	 209 	 2,9 	  
01:10 15.01.2019 	 3,01 	 3,29 	 8 	 16 	 227 	 3 	  
01:00 15.01.2019 	 3,03 	 3,35 	 12 	 19 	 237 	 3,1 	  
00:50 15.01.2019 	 3,04 	 3,33 	 10 	 16 	 224 	 1,7 	  
00:40 15.01.2019 	 3,05 	 3,37 	 6 	 11 	 211 	 2,6 	  
00:30 15.01.2019 	 3,05 	 3,37 	 6 	 8 	 206 	 2,6 	  
00:20 15.01.2019 	 3,05 	 3,38 	 5 	 9 	 214 	 2,8 	  
00:10 15.01.2019 	 3,04 	 3,38 	 5 	 7 	 218 	 2,8 	  
00:00 15.01.2019 	 3,02 	 3,37 	 6 	 10 	 233 	 2,8 	  
23:50 14.01.2019 	 3 	 3,34 	 11 	 16 	 250 	 2,3 	  
23:40 14.01.2019 	 2,97 	 3,3 	 9 	 18 	 234 	 2,2 	  
23:30 14.01.2019 	 2,94 	 3,28 	 3 	 6 	 203 	 2,6 	  
23:20 14.01.2019 	 2,9 	 3,24 	 4 	 8 	 217 	 2,3 	  
23:10 14.01.2019 	 2,86 	 3,22 	 7 	 13 	 227 	 2,6 	  
23:00 14.01.2019 	 2,81 	 3,16 	 9 	 13 	 247 	 2,9 	  
22:50 14.01.2019 	 2,76 	 3,12 	 7 	 11 	 243 	 2,5 	  
22:40 14.01.2019 	 2,71 	 3,05 	 9 	 14 	 247 	 2,3 	  
22:30 14.01.2019 	 2,65 	 3,01 	 6 	 11 	 227 	 2,6 	  
22:20 14.01.2019 	 2,59 	 2,98 	 7 	 10 	 228 	 2 	  
22:10 14.01.2019 	 2,53 	 2,92 	 5 	 10 	 221 	 2,4 	  
22:00 14.01.2019 	 2,46 	 2,88 	 4 	 6 	 229 	 2,4 	  
21:50 14.01.2019 	 2,4 	 2,83 	 5 	 7 	 210 	 2,3 	  
21:40 14.01.2019 	 2,33 	 2,73 	 6 	 10 	 211 	 2 	  
21:30 14.01.2019 	 2,26 	 2,68 	 3 	 8 	 192 	 2,1 	  
21:20 14.01.2019 	 2,19 	 2,65 	 3 	 5 	 204 	 1,5 	  
21:10 14.01.2019 	 2,12 	 2,61 	 6 	 12 	 220 	 1,3 	  
21:00 14.01.2019 	 2,05 	 2,56 	 6 	 13 	 209 	 1,9 	  
20:50 14.01.2019 	 1,98 	 2,48 	 4 	 6 	 191 	 2,6 	  
20:40 14.01.2019 	 1,91 	 2,36 	 5 	 7 	 205 	 2,9 	  
20:30 14.01.2019 	 1,85 	 2,28 	 4 	 6 	 198 	 2,6 	  
20:20 14.01.2019 	 1,79 	 2,22 	 5 	 7 	 194 	 2,6 	  
20:10 14.01.2019 	 1,73 	 2,19 	 5 	 8 	 204 	 2,8 	  
20:00 14.01.2019 	 1,67 	 2,15 	 6 	 9 	 208 	 2,6 	  
19:50 14.01.2019 	 1,62 	 2,09 	 5 	 9 	 198 	 2,8 	  
19:40 14.01.2019 	 1,57 	 2,02 	 6 	 9 	 200 	 2,6 	  
19:30 14.01.2019 	 1,52 	 1,96 	 5 	 9 	 197 	 2,8 	  
19:20 14.01.2019 	 1,48 	 1,88 	 5 	 7 	 200 	 2,6 	  
19:10 14.01.2019 	 1,44 	 1,86 	 5 	 8 	 205 	 2,5 	  
