 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
01:30 31.01.2019 	 2,96 	 -3,75 	 8 	 10 	 91 	 1005 	 -2,6 	 -15 	 15 	  
01:20 31.01.2019 	 2,9 	 -3,75 	 10 	 12 	 84 	 1005 	 -3 	 -15 	 15 	  
01:10 31.01.2019 	 2,83 	 -3,75 	 10 	 12 	 84 	 1005 	 -2,7 	 -15 	 15 	  
01:00 31.01.2019 	 2,76 	 -3,75 	 10 	 13 	 73 	 1005 	 -3 	 -15 	 15 	  
00:50 31.01.2019 	 2,69 	 -3,75 	 11 	 16 	 58 	 1005 	 -2,9 	 -15 	 15 	  
00:40 31.01.2019 	 2,61 	 -3,75 	 10 	 13 	 67 	 1004 	 -2,9 	 -15 	 15 	  
00:30 31.01.2019 	 2,54 	 -3,75 	 9 	 13 	 70 	 1005 	 -3,2 	 -15 	 15 	  
00:20 31.01.2019 	 2,46 	 -3,75 	 9 	 13 	 69 	 1004 	 -3,2 	 -15 	 15 	  
00:10 31.01.2019 	 2,38 	 -3,75 	 9 	 12 	 66 	 1004 	 -3,3 	 -15 	 15 	  
00:00 31.01.2019 	 2,3 	 -3,75 	 11 	 15 	 75 	 1004 	 -2,6 	 -15 	 15 	  
23:50 30.01.2019 	 2,23 	 -3,75 	 10 	 14 	 68 	 1004 	 -3,3 	 -15 	 15 	  
23:40 30.01.2019 	 2,15 	 -3,75 	 11 	 14 	 63 	 1004 	 -3,3 	 -15 	 15 	  
23:30 30.01.2019 	 2,08 	 -3,75 	 10 	 13 	 71 	 1004 	 -3 	 -15 	 15 	  
23:20 30.01.2019 	 2,01 	 -3,75 	 10 	 15 	 75 	 1004 	 -2,9 	 -15 	 15 	  
23:10 30.01.2019 	 1,94 	 -3,75 	 9 	 11 	 73 	 1004 	 -3,2 	 -15 	 15 	  
23:00 30.01.2019 	 1,87 	 -3,75 	 7 	 12 	 85 	 1004 	 -3 	 -15 	 15 	  
22:50 30.01.2019 	 1,81 	 -3,75 	 7 	 12 	 85 	 1004 	 -3,7 	 -15 	 15 	  
22:40 30.01.2019 	 1,75 	 -3,75 	 7 	 12 	 86 	 1004 	 -3 	 -15 	 15 	  
22:30 30.01.2019 	 1,7 	 -3,75 	 6 	 9 	 91 	 1004 	 -3,5 	 -15 	 15 	  
22:20 30.01.2019 	 1,65 	 -3,75 	 8 	 13 	 83 	 1004 	 -3,4 	 -15 	 15 	  
22:10 30.01.2019 	 1,61 	 -3,75 	 9 	 13 	 73 	 1004 	 -3,3 	 -15 	 15 	  
22:00 30.01.2019 	 1,57 	 -3,75 	 6 	 10 	 81 	 1004 	 -3,4 	 -15 	 15 	  
21:50 30.01.2019 	 1,54 	 -3,75 	 5 	 9 	 76 	 1004 	 -3,7 	 -15 	 15 	  
21:40 30.01.2019 	 1,51 	 -3,75 	 6 	 11 	 77 	 1004 	 -3,8 	 -15 	 15 	  
21:30 30.01.2019 	 1,49 	 -3,75 	 6 	 10 	 82 	 1004 	 -3,8 	 -15 	 15 	  
21:20 30.01.2019 	 1,48 	 -3,75 	 11 	 14 	 65 	 1004 	 -3,4 	 -15 	 15 	  
21:10 30.01.2019 	 1,47 	 -3,75 	 11 	 14 	 57 	 1003 	 -3,7 	 -15 	 15 	  
21:00 30.01.2019 	 1,46 	 -3,75 	 8 	 13 	 74 	 1004 	 -3,7 	 -15 	 15 	  
20:50 30.01.2019 	 1,47 	 -3,75 	 9 	 13 	 68 	 1004 	 -3,9 	 -15 	 15 	  
20:40 30.01.2019 	 1,48 	 -3,75 	 10 	 13 	 64 	 1004 	 -3,9 	 -15 	 15 	  
20:30 30.01.2019 	 1,49 	 -3,75 	 12 	 15 	 59 	 1003 	 -3,4 	 -15 	 15 	  
20:20 30.01.2019 	 1,51 	 -3,75 	 10 	 13 	 63 	 1003 	 -3,8 	 -15 	 15 	  
20:10 30.01.2019 	 1,54 	 -3,75 	 10 	 13 	 67 	 1004 	 -3,4 	 -15 	 15 	  
20:00 30.01.2019 	 1,57 	 -3,75 	 9 	 12 	 67 	 1003 	 -3,5 	 -15 	 15 	  
19:50 30.01.2019 	 1,61 	 -3,75 	 7 	 10 	 71 	 1003 	 -3,6 	 -15 	 15 	  
19:40 30.01.2019 	 1,65 	 -3,75 	 5 	 7 	 74 	 1003 	 -3,3 	 -15 	 15 	  
19:30 30.01.2019 	 1,69 	 -3,75 	 5 	 8 	 63 	 1003 	 -3,6 	 -15 	 15 	  
19:20 30.01.2019 	 1,74 	 -3,75 	 5 	 6 	 82 	 1003 	 -3,8 	 -15 	 15 	  
19:10 30.01.2019 	 1,8 	 -3,75 	 5 	 7 	 67 	 1003 	 -3,4 	 -15 	 15 	  
19:00 30.01.2019 	 1,85 	 -3,75 	 6 	 7 	 61 	 1003 	 -3,5 	 -15 	 15 	  
18:50 30.01.2019 	 1,91 	 -3,75 	 5 	 8 	 67 	 1003 	 -3,4 	 -15 	 15 	  
18:40 30.01.2019 	 1,97 	 -3,75 	 6 	 9 	 71 	 1003 	 -3,8 	 -15 	 15 	  
