 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
19:40 31.01.2019 	 1,28 	 1,05 	 6 	 8 	 61 	 1011 	 -4,5 	  
19:30 31.01.2019 	 1,32 	 1,04 	 5 	 7 	 42 	 1011 	 -5,2 	  
19:20 31.01.2019 	 1,37 	 1,16 	 5 	 7 	 27 	 1011 	 -5,3 	  
19:10 31.01.2019 	 1,43 	 1,19 	 5 	 7 	 20 	 1011 	 -5,3 	  
19:00 31.01.2019 	 1,49 	 1,24 	 4 	 6 	 20 	 1011 	 -5,2 	  
18:50 31.01.2019 	 1,54 	 1,31 	 4 	 8 	 23 	 1011 	 -4,6 	  
18:40 31.01.2019 	 1,6 	 1,4 	 7 	 9 	 60 	 1010 	 -3,2 	  
18:30 31.01.2019 	 1,65 	 1,45 	 8 	 10 	 66 	 1010 	 -3 	  
18:20 31.01.2019 	 1,71 	 1,5 	 7 	 9 	 63 	 1010 	 -3,7 	  
18:10 31.01.2019 	 1,76 	 1,62 	 6 	 9 	 75 	 1010 	 -3,7 	  
18:00 31.01.2019 	 1,82 	 1,68 	 7 	 9 	 60 	 1010 	 -3,3 	  
17:50 31.01.2019 	 1,87 	 1,67 	 8 	 9 	 54 	 1010 	 -3,1 	  
17:40 31.01.2019 	 1,92 	 1,83 	 8 	 9 	 59 	 1010 	 -3 	  
17:30 31.01.2019 	 1,97 	 1,82 	 7 	 9 	 67 	 1009 	 -3,1 	  
17:20 31.01.2019 	 2,01 	 1,9 	 7 	 8 	 66 	 1009 	 -3 	  
17:10 31.01.2019 	 2,06 	 1,95 	 7 	 8 	 68 	 1009 	 -3,1 	  
17:00 31.01.2019 	 2,09 	 1,94 	 7 	 9 	 61 	 1009 	 -3 	  
16:50 31.01.2019 	 2,13 	 2,03 	 7 	 8 	 50 	 1009 	 -2,8 	  
16:40 31.01.2019 	 2,16 	 2,05 	 6 	 9 	 37 	 1009 	 -2,4 	  
16:30 31.01.2019 	 2,19 	 2,08 	 6 	 8 	 28 	 1009 	 -2,4 	  
16:20 31.01.2019 	 2,22 	 2,12 	 6 	 8 	 34 	 1009 	 -2,9 	  
16:10 31.01.2019 	 2,24 	 2,22 	 6 	 9 	 42 	 1009 	 -2,8 	  
16:00 31.01.2019 	 2,26 	 2,22 	 5 	 7 	 48 	 1009 	 -2,9 	  
15:50 31.01.2019 	 2,27 	 2,21 	 4 	 6 	 58 	 1009 	 -2,9 	  
15:40 31.01.2019 	 2,28 	 2,25 	 4 	 5 	 68 	 1009 	 -3 	  
15:30 31.01.2019 	 2,29 	 2,27 	 3 	 5 	 83 	 1009 	 -3 	  
15:20 31.01.2019 	 2,29 	 2,28 	 3 	 5 	 51 	 1008 	 -2,9 	  
15:10 31.01.2019 	 2,29 	 2,21 	 2 	 4 	 34 	 1008 	 -2,8 	  
15:00 31.01.2019 	 2,28 	 2,23 	 3 	 5 	 18 	 1008 	 -3,3 	  
14:50 31.01.2019 	 2,27 	 2,22 	 4 	 7 	 28 	 1008 	 -3,5 	  
14:40 31.01.2019 	 2,26 	 2,22 	 5 	 6 	 25 	 1008 	 -3 	  
14:30 31.01.2019 	 2,24 	 2,19 	 4 	 5 	 29 	 1008 	 -3,3 	  
14:20 31.01.2019 	 2,21 	 2,17 	 3 	 4 	 21 	 1008 	 -3,8 	  
14:10 31.01.2019 	 2,18 	 2,18 	 3 	 3 	 17 	 1008 	 -3,9 	  
14:00 31.01.2019 	 2,15 	 2,13 	 4 	 6 	 35 	 1008 	 -3,7 	  
13:50 31.01.2019 	 2,12 	 2,05 	 5 	 7 	 39 	 1008 	 -3,5 	  
13:40 31.01.2019 	 2,08 	 2,08 	 5 	 7 	 49 	 1008 	 -3 	  
13:30 31.01.2019 	 2,03 	 1,98 	 5 	 7 	 63 	 1008 	 -3,2 	  
13:20 31.01.2019 	 1,99 	 1,92 	 5 	 6 	 65 	 1008 	 -3,8 	  
13:10 31.01.2019 	 1,94 	 1,82 	 5 	 6 	 62 	 1008 	 -3,8 	  
13:00 31.01.2019 	 1,88 	 1,82 	 4 	 8 	 38 	 1008 	 -3,5 	  
12:50 31.01.2019 	 1,83 	 1,78 	 4 	 6 	 21 	 1008 	 -3,9 	  
12:40 31.01.2019 	 1,78 	 1,64 	 5 	 7 	 28 	 1008 	 -3,8 	  
12:30 31.01.2019 	 1,73 	 1,63 	 4 	 7 	 46 	 1008 	 -3 	  
12:20 31.01.2019 	 1,67 	 1,56 	 4 	 7 	 55 	 1008 	 -3 	  
12:10 31.01.2019 	 1,61 	 1,56 	 5 	 8 	 51 	 1008 	 -3 	  
12:00 31.01.2019 	 1,55 	 1,51 	 3 	 4 	 19 	 1008 	 -4,1 	  
11:50 31.01.2019 	 1,49 	 1,43 	 2 	 4 	 8 	 1007 	 -4,7 	  
11:40 31.01.2019 	 1,44 	 1,38 	 3 	 4 	 4 	 1007 	 -4,4 	  
11:30 31.01.2019 	 1,39 	 1,33 	 3 	 4 	 19 	 1007 	 -4,7 	  
11:20 31.01.2019 	 1,34 	 1,26 	 2 	 4 	 21 	 1007 	 -4,4 	  
11:10 31.01.2019 	 1,29 	 1,17 	 3 	 6 	 30 	 1007 	 -4,4 	  
11:00 31.01.2019 	 1,25 	 1,2 	 4 	 6 	 53 	 1007 	 -4 	  
10:50 31.01.2019 	 1,2 	 1,09 	 5 	 7 	 54 	 1007 	 -3,8 	  
10:40 31.01.2019 	 1,16 	 1,07 	 5 	 6 	 35 	 1007 	 -3,9 	  
10:30 31.01.2019 	 1,13 	 0,99 	 4 	 6 	 33 	 1007 	 -4,1 	  
10:20 31.01.2019 	 1,1 	 1,01 	 4 	 6 	 33 	 1007 	 -4,3 	  
10:10 31.01.2019 	 1,07 	 1,01 	 5 	 7 	 27 	 1007 	 -4,4 	  
10:00 31.01.2019 	 1,05 	 0,94 	 5 	 8 	 30 	 1007 	 -4,4 	  
09:50 31.01.2019 	 1,03 	 0,97 	 4 	 6 	 15 	 1007 	 -5,6 	  
09:40 31.01.2019 	 1,02 	 0,94 	 4 	 6 	 17 	 1007 	 -5,9 	  
09:30 31.01.2019 	 1,01 	 0,88 	 4 	 6 	 27 	 1007 	 -5,2 	  
09:20 31.01.2019 	 1,01 	 0,86 	 4 	 6 	 32 	 1006 	 -5,3 	  
09:10 31.01.2019 	 1,01 	 0,81 	 4 	 6 	 22 	 1006 	 -5,8 	  
09:00 31.01.2019 	 1,02 	 0,85 	 4 	 5 	 12 	 1006 	 -6,2 	  
08:50 31.01.2019 	 1,03 	 0,87 	 4 	 6 	 9 	 1006 	 -6,7 	  
08:40 31.01.2019 	 1,05 	 0,9 	 4 	 6 	 17 	 1006 	 -5,9 	  
08:30 31.01.2019 	 1,07 	 0,94 	 3 	 5 	 23 	 1006 	 -6 	  
08:20 31.01.2019 	 1,1 	 0,99 	 4 	 5 	 19 	 1006 	 -5,9 	  
08:10 31.01.2019 	 1,13 	 1 	 4 	 6 	 15 	 1006 	 -6,1 	  
08:00 31.01.2019 	 1,16 	 1,03 	 5 	 6 	 10 	 1006 	 -6 	  
07:50 31.01.2019 	 1,21 	 1,1 	 4 	 6 	 10 	 1006 	 -6,5 	  
07:40 31.01.2019 	 1,25 	 1,08 	 5 	 6 	 3 	 1005 	 -6,2 	  
07:30 31.01.2019 	 1,3 	 1,13 	 4 	 6 	 357 	 1005 	 -6,6 	  
07:20 31.01.2019 	 1,34 	 1,17 	 5 	 7 	 19 	 1005 	 -5,9 	  
07:10 31.01.2019 	 1,4 	 1,25 	 6 	 8 	 42 	 1005 	 -3,7 	  
07:00 31.01.2019 	 1,46 	 1,25 	 6 	 8 	 44 	 1005 	 -4,6 	  
06:50 31.01.2019 	 1,51 	 1,35 	 6 	 7 	 37 	 1005 	 -4,9 	  
06:40 31.01.2019 	 1,57 	 1,42 	 6 	 10 	 34 	 1005 	 -5,7 	  
06:30 31.01.2019 	 1,63 	 1,5 	 7 	 10 	 45 	 1005 	 -3,9 	  
06:20 31.01.2019 	 1,69 	 1,65 	 7 	 10 	 44 	 1005 	 -4,3 	  
06:10 31.01.2019 	 1,74 	 1,63 	 7 	 10 	 40 	 1005 	 -4,3 	  
06:00 31.01.2019 	 1,8 	 1,69 	 7 	 9 	 34 	 1005 	 -4,2 	  
05:50 31.01.2019 	 1,86 	 1,77 	 6 	 9 	 33 	 1005 	 -4,4 	  
05:40 31.01.2019 	 1,92 	 1,77 	 6 	 10 	 36 	 1004 	 -4,6 	  
05:30 31.01.2019 	 1,97 	 1,87 	 6 	 9 	 38 	 1004 	 -4 	  
05:20 31.01.2019 	 2,03 	 1,92 	 5 	 7 	 38 	 1004 	 -5 	  
