 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
07:10 27.01.2019 	 1,54 	 1,48 	 7 	 11 	 173 	 1006 	 -1,1 	  
07:00 27.01.2019 	 1,45 	 1,38 	 6 	 10 	 176 	 1006 	 -0,9 	  
06:50 27.01.2019 	 1,36 	 1,33 	 5 	 7 	 160 	 1006 	 -0,9 	  
06:40 27.01.2019 	 1,28 	 1,23 	 7 	 10 	 197 	 1006 	 -1 	  
06:30 27.01.2019 	 1,21 	 1,15 	 7 	 12 	 207 	 1007 	 -1,3 	  
06:20 27.01.2019 	 1,14 	 1,1 	 6 	 11 	 196 	 1007 	 -1,4 	  
06:10 27.01.2019 	 1,09 	 1,04 	 5 	 8 	 191 	 1007 	 -0,9 	  
06:00 27.01.2019 	 1,04 	 1,03 	 4 	 9 	 186 	 1007 	 -0,5 	  
05:50 27.01.2019 	 1,01 	 0,99 	 4 	 7 	 177 	 1007 	 -0,5 	  
05:40 27.01.2019 	 0,98 	 0,96 	 4 	 8 	 170 	 1007 	 -0,4 	  
05:30 27.01.2019 	 0,97 	 0,97 	 6 	 9 	 182 	 1007 	 -0,4 	  
05:20 27.01.2019 	 0,96 	 0,96 	 5 	 10 	 186 	 1007 	 -0,8 	  
05:10 27.01.2019 	 0,97 	 0,97 	 6 	 11 	 205 	 1008 	 -0,9 	  
05:00 27.01.2019 	 0,99 	 0,98 	 7 	 12 	 218 	 1008 	 -0,9 	  
04:50 27.01.2019 	 1,02 	 1,03 	 8 	 12 	 214 	 1008 	 -0,7 	  
04:40 27.01.2019 	 1,06 	 1,07 	 8 	 12 	 211 	 1008 	 -0,8 	  
04:30 27.01.2019 	 1,11 	 1,1 	 9 	 14 	 212 	 1008 	 -1,2 	  
04:20 27.01.2019 	 1,17 	 1,18 	 8 	 13 	 210 	 1008 	 -1,2 	  
04:10 27.01.2019 	 1,24 	 1,25 	 7 	 11 	 192 	 1009 	 -1,2 	  
04:00 27.01.2019 	 1,32 	 1,33 	 6 	 11 	 173 	 1009 	 -1,5 	  
03:50 27.01.2019 	 1,4 	 1,4 	 6 	 9 	 162 	 1009 	 -1,4 	  
03:40 27.01.2019 	 1,5 	 1,51 	 8 	 12 	 166 	 1010 	 -1,3 	  
03:30 27.01.2019 	 1,6 	 1,6 	 7 	 12 	 154 	 1010 	 -1,4 	  
03:20 27.01.2019 	 1,71 	 1,72 	 7 	 12 	 161 	 1010 	 -1,3 	  
03:10 27.01.2019 	 1,82 	 1,83 	 5 	 9 	 166 	 1010 	 -1,2 	  
03:00 27.01.2019 	 1,93 	 1,94 	 6 	 10 	 170 	 1010 	 -1,4 	  
02:50 27.01.2019 	 2,05 	 2,05 	 6 	 10 	 157 	 1011 	 -1,4 	  
02:40 27.01.2019 	 2,17 	 2,14 	 9 	 14 	 149 	 1011 	 -1,1 	  
02:30 27.01.2019 	 2,29 	 2,25 	 9 	 12 	 158 	 1011 	 -1,3 	  
02:20 27.01.2019 	 2,42 	 2,35 	 9 	 13 	 166 	 1011 	 -1,3 	  
02:10 27.01.2019 	 2,54 	 2,48 	 10 	 14 	 163 	 1011 	 -1,1 	  
02:00 27.01.2019 	 2,66 	 2,6 	 11 	 14 	 170 	 1011 	 -1,1 	  
01:50 27.01.2019 	 2,78 	 2,71 	 8 	 13 	 167 	 1012 	 -0,9 	  
01:40 27.01.2019 	 2,89 	 2,84 	 7 	 11 	 169 	 1012 	 -1 	  
01:30 27.01.2019 	 3 	 2,93 	 8 	 12 	 181 	 1012 	 -0,9 	  
01:20 27.01.2019 	 3,11 	 3,03 	 9 	 12 	 181 	 1012 	 -0,6 	  
01:10 27.01.2019 	 3,21 	 3,13 	 10 	 12 	 183 	 1012 	 -0,8 	  
01:00 27.01.2019 	 3,31 	 3,21 	 10 	 13 	 184 	 1012 	 -0,6 	  
00:50 27.01.2019 	 3,4 	 3,3 	 8 	 12 	 187 	 1012 	 -0,7 	  
00:40 27.01.2019 	 3,48 	 3,34 	 5 	 10 	 186 	 1012 	 -1 	  
00:30 27.01.2019 	 3,56 	 3,42 	 7 	 10 	 168 	 1013 	 -0,3 	  
00:20 27.01.2019 	 3,63 	 3,49 	 7 	 10 	 168 	 1013 	 -0,4 	  
