 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
09:50 31.01.2019 	 1,1 	 -6999 	 -6999 	 3 	 5 	 348 	 1009 	 -5,8 	  
09:40 31.01.2019 	 1,09 	 -6999 	 -6999 	 4 	 6 	 0 	 1009 	 -5,9 	  
09:30 31.01.2019 	 1,08 	 -6999 	 -6999 	 5 	 7 	 11 	 1009 	 -4,8 	  
09:20 31.01.2019 	 1,07 	 -6999 	 -6999 	 6 	 8 	 11 	 1009 	 -5,1 	  
09:10 31.01.2019 	 1,08 	 -6999 	 -6999 	 6 	 7 	 6 	 1009 	 -6,4 	  
09:00 31.01.2019 	 1,09 	 -6999 	 -6999 	 3 	 7 	 359 	 1008 	 -6,2 	  
08:50 31.01.2019 	 1,1 	 -6999 	 -6999 	 2 	 4 	 351 	 1008 	 -6,2 	  
08:40 31.01.2019 	 1,12 	 -6999 	 -6999 	 3 	 4 	 23 	 1008 	 -5,9 	  
08:30 31.01.2019 	 1,14 	 -6999 	 -6999 	 4 	 5 	 1 	 1008 	 -6,7 	  
08:20 31.01.2019 	 1,17 	 -6999 	 -6999 	 3 	 4 	 355 	 1008 	 -7,7 	  
08:10 31.01.2019 	 1,21 	 -6999 	 -6999 	 2 	 3 	 360 	 1008 	 -7,6 	  
08:00 31.01.2019 	 1,24 	 -6999 	 -6999 	 3 	 4 	 350 	 1008 	 -7,6 	  
07:50 31.01.2019 	 1,29 	 -6999 	 -6999 	 3 	 4 	 353 	 1008 	 -6,5 	  
07:40 31.01.2019 	 1,33 	 -6999 	 -6999 	 3 	 4 	 349 	 1008 	 -5,8 	  
07:30 31.01.2019 	 1,38 	 -6999 	 -6999 	 4 	 6 	 356 	 1008 	 -5,4 	  
07:20 31.01.2019 	 1,43 	 -6999 	 -6999 	 4 	 7 	 8 	 1008 	 -5,6 	  
07:10 31.01.2019 	 1,49 	 -6999 	 -6999 	 3 	 5 	 357 	 1007 	 -6,2 	  
07:00 31.01.2019 	 1,55 	 -6999 	 -6999 	 4 	 7 	 359 	 1007 	 -5,4 	  
06:50 31.01.2019 	 1,61 	 -6999 	 -6999 	 2 	 5 	 11 	 1007 	 -5,7 	  
06:40 31.01.2019 	 1,67 	 -6999 	 -6999 	 2 	 5 	 27 	 1007 	 -6,3 	  
06:30 31.01.2019 	 1,74 	 -6999 	 -6999 	 3 	 5 	 348 	 1007 	 -5,7 	  
06:20 31.01.2019 	 1,8 	 -6999 	 -6999 	 3 	 5 	 356 	 1007 	 -5,3 	  
06:10 31.01.2019 	 1,86 	 -6999 	 -6999 	 4 	 5 	 351 	 1007 	 -5,6 	  
06:00 31.01.2019 	 1,92 	 -6999 	 -6999 	 4 	 5 	 341 	 1007 	 -6 	  
05:50 31.01.2019 	 1,98 	 -6999 	 -6999 	 4 	 5 	 2 	 1007 	 -6,3 	  
05:40 31.01.2019 	 2,05 	 -6999 	 -6999 	 3 	 5 	 346 	 1007 	 -5,8 	  
05:30 31.01.2019 	 2,1 	 -6999 	 -6999 	 3 	 5 	 341 	 1007 	 -6,8 	  
05:20 31.01.2019 	 2,16 	 -6999 	 -6999 	 3 	 4 	 345 	 1007 	 -7 	  
05:10 31.01.2019 	 2,22 	 -6999 	 -6999 	 3 	 4 	 356 	 1007 	 -7,3 	  
05:00 31.01.2019 	 2,26 	 -6999 	 -6999 	 3 	 5 	 6 	 1007 	 -6,5 	  
04:50 31.01.2019 	 2,32 	 -6999 	 -6999 	 5 	 7 	 359 	 1006 	 -5,3 	  
04:40 31.01.2019 	 2,36 	 -6999 	 -6999 	 5 	 8 	 352 	 1006 	 -4,9 	  
04:30 31.01.2019 	 2,41 	 -6999 	 -6999 	 4 	 8 	 356 	 1006 	 -5 	  
04:20 31.01.2019 	 2,44 	 -6999 	 -6999 	 5 	 8 	 354 	 1006 	 -5,1 	  
04:10 31.01.2019 	 2,48 	 -6999 	 -6999 	 6 	 9 	 346 	 1006 	 -4,8 	  
04:00 31.01.2019 	 2,51 	 -6999 	 -6999 	 5 	 7 	 338 	 1006 	 -5,6 	  
03:50 31.01.2019 	 2,54 	 -6999 	 -6999 	 3 	 5 	 350 	 1006 	 -5,6 	  
03:40 31.01.2019 	 2,56 	 -6999 	 -6999 	 4 	 5 	 358 	 1007 	 -4,7 	  
03:30 31.01.2019 	 2,58 	 -6999 	 -6999 	 4 	 6 	 346 	 1006 	 -5,6 	  
03:20 31.01.2019 	 2,59 	 -6999 	 -6999 	 4 	 6 	 346 	 1006 	 -5,9 	  
03:10 31.01.2019 	 2,6 	 -6999 	 -6999 	 4 	 6 	 349 	 1006 	 -6 	  
03:00 31.01.2019 	 2,6 	 -6999 	 -6999 	 4 	 5 	 348 	 1006 	 -6,2 	  
02:50 31.01.2019 	 2,6 	 -6999 	 -6999 	 3 	 4 	 343 	 1006 	 -5,9 	  
02:40 31.01.2019 	 2,59 	 -6999 	 -6999 	 2 	 3 	 357 	 1006 	 -6,5 	  
02:30 31.01.2019 	 2,58 	 -6999 	 -6999 	 2 	 3 	 29 	 1006 	 -6,3 	  
02:20 31.01.2019 	 2,57 	 -6999 	 -6999 	 1 	 3 	 27 	 1006 	 -7,1 	  
02:10 31.01.2019 	 2,55 	 -6999 	 -6999 	 3 	 5 	 9 	 1006 	 -7 	  
02:00 31.01.2019 	 2,53 	 -6999 	 -6999 	 4 	 6 	 15 	 1006 	 -6,5 	  
