 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
17:30 24.01.2020 	 2,87 	 3,44 	 3,47 	 8 	 10 	 73 	 995 	 1,5 	  
17:20 24.01.2020 	 2,84 	 3,47 	 3,5 	 7 	 10 	 75 	 995 	 1,5 	  
17:10 24.01.2020 	 2,81 	 3,42 	 3,44 	 8 	 11 	 75 	 996 	 1,3 	  
17:00 24.01.2020 	 2,76 	 3,35 	 3,37 	 8 	 10 	 74 	 996 	 1,4 	  
16:50 24.01.2020 	 2,7 	 3,27 	 3,3 	 8 	 11 	 76 	 996 	 1,3 	  
16:40 24.01.2020 	 2,65 	 3,26 	 3,29 	 8 	 11 	 78 	 996 	 1,3 	  
16:30 24.01.2020 	 2,58 	 3,17 	 3,2 	 7 	 10 	 78 	 996 	 1,3 	  
16:20 24.01.2020 	 2,51 	 3,05 	 3,08 	 7 	 11 	 76 	 997 	 1,5 	  
16:10 24.01.2020 	 2,43 	 2,99 	 3,01 	 7 	 9 	 75 	 997 	 1,6 	  
16:00 24.01.2020 	 2,35 	 2,89 	 2,92 	 7 	 10 	 75 	 997 	 1,6 	  
15:50 24.01.2020 	 2,26 	 2,78 	 2,81 	 7 	 10 	 75 	 997 	 1,5 	  
15:40 24.01.2020 	 2,17 	 2,75 	 2,77 	 7 	 9 	 74 	 998 	 1,3 	  
15:30 24.01.2020 	 2,07 	 2,56 	 2,59 	 7 	 9 	 72 	 998 	 1,2 	  
15:20 24.01.2020 	 1,97 	 2,5 	 2,53 	 6 	 8 	 72 	 998 	 1,2 	  
15:10 24.01.2020 	 1,87 	 2,37 	 2,4 	 6 	 8 	 71 	 998 	 1 	  
15:00 24.01.2020 	 1,77 	 2,32 	 2,34 	 6 	 8 	 72 	 998 	 1 	  
14:50 24.01.2020 	 1,66 	 2,17 	 2,19 	 6 	 8 	 72 	 999 	 0,9 	  
14:40 24.01.2020 	 1,56 	 2,1 	 2,13 	 7 	 9 	 82 	 999 	 1,2 	  
14:30 24.01.2020 	 1,46 	 1,97 	 1,99 	 6 	 8 	 90 	 999 	 1,4 	  
14:20 24.01.2020 	 1,36 	 1,87 	 1,89 	 5 	 8 	 91 	 999 	 1,2 	  
14:10 24.01.2020 	 1,26 	 1,81 	 1,83 	 5 	 8 	 116 	 1000 	 1,5 	  
14:00 24.01.2020 	 1,16 	 1,68 	 1,7 	 5 	 6 	 147 	 1000 	 2,4 	  
13:50 24.01.2020 	 1,07 	 1,6 	 1,62 	 5 	 6 	 159 	 1000 	 2,5 	  
13:40 24.01.2020 	 0,98 	 1,54 	 1,55 	 5 	 6 	 158 	 1000 	 2,5 	  
13:30 24.01.2020 	 0,9 	 1,47 	 1,49 	 4 	 5 	 158 	 1000 	 2,5 	  
13:20 24.01.2020 	 0,83 	 1,38 	 1,4 	 4 	 5 	 153 	 1000 	 2,5 	  
13:10 24.01.2020 	 0,76 	 1,33 	 1,35 	 4 	 5 	 151 	 1000 	 2,3 	  
13:00 24.01.2020 	 0,7 	 1,26 	 1,27 	 3 	 5 	 151 	 1000 	 2,3 	  
12:50 24.01.2020 	 0,66 	 1,27 	 1,28 	 2 	 4 	 126 	 1001 	 1,9 	  
12:40 24.01.2020 	 0,61 	 1,18 	 1,2 	 2 	 2 	 71 	 1001 	 1,2 	  
12:30 24.01.2020 	 0,58 	 1,19 	 1,2 	 1 	 2 	 53 	 1001 	 0,9 	  
12:20 24.01.2020 	 0,55 	 1,13 	 1,15 	 1 	 2 	 19 	 1001 	 0,8 	  
12:10 24.01.2020 	 0,54 	 1,13 	 1,15 	 1 	 2 	 2 	 1001 	 0,7 	  
12:00 24.01.2020 	 0,54 	 1,17 	 1,19 	 2 	 3 	 310 	 1001 	 0,5 	  
11:50 24.01.2020 	 0,54 	 1,14 	 1,16 	 2 	 3 	 1 	 1002 	 0,8 	  
11:40 24.01.2020 	 0,56 	 1,21 	 1,23 	 2 	 3 	 74 	 1001 	 0,9 	  
11:30 24.01.2020 	 0,58 	 1,21 	 1,23 	 1 	 4 	 130 	 1001 	 1 	  
11:20 24.01.2020 	 0,62 	 1,25 	 1,26 	 2 	 4 	 141 	 1002 	 1,3 	  
11:10 24.01.2020 	 0,67 	 1,29 	 1,3 	 2 	 4 	 83 	 1002 	 0,2 	  
11:00 24.01.2020 	 0,72 	 1,34 	 1,36 	 2 	 4 	 78 	 1002 	 0,3 	  
10:50 24.01.2020 	 0,78 	 1,43 	 1,45 	 1 	 2 	 72 	 1002 	 -0,3 	  
10:40 24.01.2020 	 0,86 	 1,51 	 1,53 	 1 	 2 	 75 	 1002 	 -1 	  
10:30 24.01.2020 	 0,94 	 1,57 	 1,59 	 1 	 2 	 26 	 1002 	 -1,1 	  
10:20 24.01.2020 	 1,02 	 1,66 	 1,68 	 1 	 1 	 40 	 1002 	 -0,8 	  
10:10 24.01.2020 	 1,11 	 1,7 	 1,72 	 1 	 2 	 42 	 1002 	 -0,7 	  
10:00 24.01.2020 	 1,21 	 1,86 	 1,88 	 1 	 1 	 326 	 1002 	 -0,2 	  
09:50 24.01.2020 	 1,31 	 1,88 	 1,9 	 1 	 1 	 296 	 1002 	 -0,4 	  
09:40 24.01.2020 	 1,42 	 2,04 	 2,06 	 1 	 3 	 281 	 1002 	 -0,4 	  
09:30 24.01.2020 	 1,53 	 2,16 	 2,18 	 3 	 5 	 259 	 1002 	 -0,2 	  
09:20 24.01.2020 	 1,64 	 2,26 	 2,28 	 2 	 4 	 270 	 1002 	 0 	  
09:10 24.01.2020 	 1,75 	 2,36 	 2,38 	 2 	 3 	 279 	 1002 	 -0,1 	  
09:00 24.01.2020 	 1,86 	 2,53 	 2,56 	 3 	 5 	 273 	 1002 	 -0,1 	  
08:50 24.01.2020 	 1,98 	 2,54 	 2,56 	 4 	 6 	 268 	 1002 	 0,2 	  
08:40 24.01.2020 	 2,08 	 2,73 	 2,75 	 3 	 7 	 250 	 1002 	 0,6 	  
08:30 24.01.2020 	 2,19 	 2,82 	 2,84 	 2 	 3 	 285 	 1002 	 0,7 	  
08:20 24.01.2020 	 2,3 	 2,9 	 2,93 	 2 	 3 	 274 	 1002 	 0,7 	  
08:10 24.01.2020 	 2,4 	 3,03 	 3,05 	 2 	 3 	 273 	 1002 	 0,7 	  
08:00 24.01.2020 	 2,5 	 3,13 	 3,16 	 2 	 4 	 268 	 1002 	 0,8 	  
07:50 24.01.2020 	 2,59 	 3,18 	 3,21 	 4 	 9 	 259 	 1003 	 1,2 	  
07:40 24.01.2020 	 2,68 	 3,29 	 3,32 	 3 	 5 	 258 	 1003 	 1,3 	  
07:30 24.01.2020 	 2,76 	 3,32 	 3,35 	 4 	 7 	 256 	 1003 	 1,4 	  
07:20 24.01.2020 	 2,83 	 3,45 	 3,48 	 4 	 7 	 253 	 1003 	 1,6 	  
07:10 24.01.2020 	 2,9 	 3,46 	 3,49 	 5 	 7 	 253 	 1003 	 1,3 	  
07:00 24.01.2020 	 2,97 	 3,6 	 3,62 	 6 	 9 	 247 	 1003 	 1,3 	  
06:50 24.01.2020 	 3,02 	 3,71 	 3,74 	 6 	 10 	 245 	 1002 	 1,3 	  
06:40 24.01.2020 	 3,07 	 3,72 	 3,74 	 4 	 7 	 260 	 1002 	 1,1 	  
06:30 24.01.2020 	 3,11 	 3,72 	 3,74 	 4 	 7 	 265 	 1002 	 1 	  
06:20 24.01.2020 	 3,14 	 3,76 	 3,78 	 5 	 7 	 264 	 1002 	 1 	  
06:10 24.01.2020 	 3,17 	 3,74 	 3,77 	 5 	 8 	 261 	 1002 	 1,2 	  
06:00 24.01.2020 	 3,18 	 3,74 	 3,77 	 5 	 8 	 259 	 1002 	 1,1 	  
05:50 24.01.2020 	 3,18 	 3,8 	 3,83 	 5 	 10 	 264 	 1002 	 0,8 	  
05:40 24.01.2020 	 3,18 	 3,73 	 3,76 	 5 	 8 	 263 	 1002 	 0,8 	  
05:30 24.01.2020 	 3,18 	 3,65 	 3,68 	 6 	 10 	 259 	 1002 	 0,8 	  
05:20 24.01.2020 	 3,16 	 3,76 	 3,79 	 7 	 11 	 261 	 1002 	 0,8 	  
05:10 24.01.2020 	 3,14 	 3,66 	 3,68 	 5 	 9 	 266 	 1002 	 1 	  
05:00 24.01.2020 	 3,1 	 3,61 	 3,64 	 5 	 9 	 261 	 1002 	 1 	  
04:50 24.01.2020 	 3,06 	 3,55 	 3,58 	 7 	 13 	 267 	 1002 	 1 	  
04:40 24.01.2020 	 3,01 	 3,5 	 3,53 	 6 	 11 	 268 	 1002 	 0,9 	  
04:30 24.01.2020 	 2,95 	 3,42 	 3,45 	 6 	 11 	 272 	 1002 	 0,8 	  
04:20 24.01.2020 	 2,89 	 3,38 	 3,41 	 8 	 14 	 262 	 1002 	 1,1 	  
04:10 24.01.2020 	 2,82 	 3,28 	 3,31 	 7 	 12 	 270 	 1002 	 1 	  
04:00 24.01.2020 	 2,74 	 3,23 	 3,26 	 7 	 13 	 263 	 1002 	 0,9 	  
03:50 24.01.2020 	 2,66 	 3,16 	 3,19 	 8 	 13 	 263 	 1002 	 0,8 	  
03:40 24.01.2020 	 2,58 	 2,93 	 2,96 	 7 	 12 	 265 	 1002 	 0,8 	  
03:30 24.01.2020 	 2,48 	 2,96 	 2,99 	 8 	 12 	 263 	 1002 	 0,8 	  
03:20 24.01.2020 	 2,38 	 2,78 	 2,81 	 8 	 15 	 264 	 1002 	 0,7 	  
03:10 24.01.2020 	 2,28 	 2,68 	 2,71 	 8 	 14 	 259 	 1002 	 0,7 	  
03:00 24.01.2020 	 2,18 	 2,53 	 2,56 	 9 	 15 	 264 	 1002 	 0,8 	  
02:50 24.01.2020 	 2,07 	 2,46 	 2,49 	 9 	 14 	 255 	 1002 	 0,6 	  
02:40 24.01.2020 	 1,97 	 2,35 	 2,37 	 9 	 15 	 251 	 1002 	 0,4 	  
02:30 24.01.2020 	 1,86 	 2,22 	 2,24 	 9 	 17 	 259 	 1002 	 0,7 	  
02:20 24.01.2020 	 1,75 	 2,12 	 2,14 	 9 	 17 	 260 	 1002 	 0,4 	  
02:10 24.01.2020 	 1,65 	 2,01 	 2,04 	 9 	 14 	 259 	 1002 	 0,4 	  
02:00 24.01.2020 	 1,54 	 1,9 	 1,92 	 10 	 16 	 261 	 1002 	 0,3 	  
01:50 24.01.2020 	 1,43 	 1,86 	 1,88 	 11 	 17 	 254 	 1002 	 0,2 	  
01:40 24.01.2020 	 1,34 	 1,67 	 1,69 	 9 	 15 	 266 	 1001 	 0,4 	  
01:30 24.01.2020 	 1,24 	 1,61 	 1,63 	 11 	 18 	 261 	 1001 	 0,5 	  
01:20 24.01.2020 	 1,14 	 1,51 	 1,53 	 11 	 17 	 260 	 1001 	 0,5 	  
01:10 24.01.2020 	 1,06 	 1,43 	 1,45 	 11 	 17 	 262 	 1001 	 0,3 	  
01:00 24.01.2020 	 0,98 	 1,32 	 1,34 	 11 	 18 	 264 	 1001 	 0,3 	  
00:50 24.01.2020 	 0,9 	 1,29 	 1,3 	 11 	 19 	 261 	 1001 	 0,2 	  
00:40 24.01.2020 	 0,83 	 1,3 	 1,31 	 11 	 18 	 261 	 1001 	 0,3 	  
00:30 24.01.2020 	 0,78 	 1,15 	 1,17 	 11 	 20 	 267 	 1000 	 0,3 	  
00:20 24.01.2020 	 0,73 	 1,17 	 1,19 	 11 	 17 	 259 	 1000 	 0,2 	  
00:10 24.01.2020 	 0,68 	 1,07 	 1,08 	 12 	 20 	 263 	 1000 	 0,2 	  
00:00 24.01.2020 	 0,65 	 1,12 	 1,14 	 11 	 20 	 265 	 1000 	 0,2 	  
23:50 23.01.2020 	 0,62 	 1,13 	 1,15 	 11 	 21 	 263 	 1000 	 0,3 	  
23:40 23.01.2020 	 0,61 	 1,07 	 1,09 	 11 	 19 	 260 	 1000 	 0,2 	  
23:30 23.01.2020 	 0,6 	 1,08 	 1,1 	 13 	 20 	 264 	 999 	 0,2 	  
23:20 23.01.2020 	 0,6 	 1,09 	 1,11 	 12 	 20 	 258 	 999 	 0,3 	  
23:10 23.01.2020 	 0,62 	 1,09 	 1,11 	 11 	 19 	 261 	 999 	 0,3 	  
23:00 23.01.2020 	 0,63 	 1,14 	 1,16 	 12 	 19 	 259 	 999 	 0,1 	  
22:50 23.01.2020 	 0,66 	 1,2 	 1,22 	 12 	 20 	 257 	 999 	 -0,5 	  
22:40 23.01.2020 	 0,7 	 1,19 	 1,21 	 12 	 18 	 258 	 999 	 -0,3 	  
22:30 23.01.2020 	 0,75 	 1,25 	 1,27 	 13 	 21 	 259 	 999 	 -0,4 	  
22:20 23.01.2020 	 0,8 	 1,34 	 1,36 	 13 	 23 	 263 	 999 	 -0,2 	  
22:10 23.01.2020 	 0,86 	 1,32 	 1,34 	 14 	 23 	 259 	 999 	 -0,5 	  
22:00 23.01.2020 	 0,94 	 1,56 	 1,58 	 12 	 24 	 258 	 999 	 -0,3 	  
21:50 23.01.2020 	 1,01 	 1,5 	 1,52 	 13 	 20 	 261 	 999 	 -0,2 	  
21:40 23.01.2020 	 1,09 	 1,63 	 1,65 	 13 	 22 	 259 	 998 	 -0,2 	  
21:30 23.01.2020 	 1,17 	 1,75 	 1,77 	 12 	 20 	 262 	 998 	 -0,2 	  
21:20 23.01.2020 	 1,26 	 1,76 	 1,78 	 13 	 20 	 255 	 998 	 -0,6 	  
21:10 23.01.2020 	 1,34 	 1,86 	 1,88 	 13 	 20 	 260 	 998 	 -0,5 	  
21:00 23.01.2020 	 1,44 	 2,04 	 2,06 	 13 	 20 	 258 	 998 	 0 	  
20:50 23.01.2020 	 1,54 	 2,03 	 2,05 	 14 	 23 	 253 	 998 	 -0,1 	  
20:40 23.01.2020 	 1,63 	 2,26 	 2,28 	 14 	 21 	 255 	 998 	 -0,2 	  
20:30 23.01.2020 	 1,73 	 2,28 	 2,3 	 13 	 21 	 257 	 998 	 -0,1 	  
20:20 23.01.2020 	 1,82 	 2,41 	 2,44 	 12 	 19 	 258 	 998 	 -0,2 	  
20:10 23.01.2020 	 1,92 	 2,55 	 2,58 	 11 	 18 	 255 	 998 	 -0,3 	  
20:00 23.01.2020 	 2,01 	 2,6 	 2,62 	 15 	 25 	 249 	 997 	 -0,4 	  
19:50 23.01.2020 	 2,1 	 2,67 	 2,7 	 12 	 21 	 251 	 998 	 -0,1 	  
19:40 23.01.2020 	 2,18 	 2,79 	 2,82 	 14 	 23 	 256 	 997 	 -0,1 	  
19:30 23.01.2020 	 2,27 	 2,79 	 2,81 	 14 	 22 	 257 	 997 	 0,1 	  
19:20 23.01.2020 	 2,35 	 2,96 	 2,98 	 14 	 22 	 252 	 997 	 -0,2 	  
19:10 23.01.2020 	 2,42 	 3,05 	 3,07 	 14 	 22 	 251 	 997 	 -0,3 	  
19:00 23.01.2020 	 2,49 	 3,16 	 3,19 	 14 	 23 	 255 	 997 	 -0,3 	  
18:50 23.01.2020 	 2,55 	 3,14 	 3,17 	 12 	 20 	 256 	 997 	 -0,5 	  
18:40 23.01.2020 	 2,62 	 3,25 	 3,28 	 14 	 22 	 253 	 997 	 -0 	  
18:30 23.01.2020 	 2,66 	 3,2 	 3,23 	 13 	 22 	 257 	 997 	 -0,4 	  
18:20 23.01.2020 	 2,71 	 3,31 	 3,34 	 13 	 21 	 256 	 997 	 -0,5 	  
18:10 23.01.2020 	 2,74 	 3,34 	 3,37 	 15 	 23 	 256 	 997 	 -0,1 	  
18:00 23.01.2020 	 2,78 	 3,38 	 3,4 	 14 	 23 	 256 	 997 	 -0,1 	  
17:50 23.01.2020 	 2,8 	 3,39 	 3,42 	 13 	 22 	 253 	 997 	 0,1 	  
17:40 23.01.2020 	 2,82 	 3,5 	 3,52 	 14 	 22 	 253 	 997 	 -0,1 	  
17:30 23.01.2020 	 2,83 	 3,41 	 3,44 	 15 	 25 	 251 	 997 	 -0,1 	  
17:20 23.01.2020 	 2,83 	 3,25 	 3,28 	 14 	 25 	 253 	 997 	 -1 	  
17:10 23.01.2020 	 2,82 	 3,57 	 3,6 	 13 	 20 	 251 	 997 	 -0,5 	  
17:00 23.01.2020 	 2,82 	 3,4 	 3,42 	 13 	 19 	 244 	 997 	 -0,3 	  
16:50 23.01.2020 	 2,79 	 3,24 	 3,27 	 13 	 20 	 246 	 997 	 -1,1 	  
16:40 23.01.2020 	 2,77 	 3,47 	 3,49 	 12 	 20 	 258 	 997 	 -0,9 	  
16:30 23.01.2020 	 2,74 	 3,21 	 3,24 	 12 	 25 	 266 	 997 	 -1,4 	  
16:20 23.01.2020 	 2,7 	 3,24 	 3,27 	 12 	 20 	 258 	 997 	 -0,5 	  
16:10 23.01.2020 	 2,65 	 3,28 	 3,31 	 13 	 24 	 251 	 997 	 -0,2 	  
16:00 23.01.2020 	 2,59 	 3,16 	 3,19 	 11 	 19 	 258 	 997 	 -0,2 	  
15:50 23.01.2020 	 2,53 	 3,03 	 3,06 	 12 	 19 	 253 	 997 	 -0,4 	  
15:40 23.01.2020 	 2,46 	 3,11 	 3,14 	 11 	 18 	 254 	 997 	 -0,8 	  
15:30 23.01.2020 	 2,39 	 3,08 	 3,1 	 11 	 23 	 259 	 997 	 -1,7 	  
15:20 23.01.2020 	 2,31 	 2,9 	 2,92 	 14 	 23 	 257 	 997 	 -2,2 	  
15:10 23.01.2020 	 2,23 	 2,82 	 2,85 	 13 	 22 	 257 	 997 	 0,2 	  
15:00 23.01.2020 	 2,14 	 2,76 	 2,79 	 13 	 19 	 255 	 997 	 -0,3 	  
14:50 23.01.2020 	 2,06 	 2,59 	 2,62 	 12 	 19 	 256 	 997 	 -0,4 	  
14:40 23.01.2020 	 1,97 	 2,47 	 2,5 	 12 	 20 	 257 	 997 	 -0,9 	  
14:30 23.01.2020 	 1,87 	 2,4 	 2,42 	 14 	 24 	 260 	 997 	 -1,6 	  
14:20 23.01.2020 	 1,78 	 2,39 	 2,42 	 13 	 24 	 251 	 997 	 -0,2 	  
14:10 23.01.2020 	 1,68 	 2,15 	 2,17 	 12 	 21 	 256 	 997 	 0,1 	  
14:00 23.01.2020 	 1,58 	 2,26 	 2,28 	 12 	 21 	 261 	 997 	 -0,4 	  
13:50 23.01.2020 	 1,48 	 2,03 	 2,05 	 13 	 23 	 251 	 997 	 -0,2 	  
13:40 23.01.2020 	 1,39 	 1,98 	 2 	 12 	 19 	 254 	 997 	 0,7 	  
13:30 23.01.2020 	 1,3 	 1,98 	 2 	 15 	 25 	 247 	 997 	 0,8 	  
13:20 23.01.2020 	 1,21 	 1,82 	 1,84 	 14 	 23 	 247 	 997 	 0,8 	  
13:10 23.01.2020 	 1,12 	 1,8 	 1,82 	 14 	 24 	 244 	 997 	 0,8 	  
13:00 23.01.2020 	 1,04 	 1,64 	 1,65 	 15 	 24 	 246 	 997 	 0,4 	  
12:50 23.01.2020 	 0,97 	 1,64 	 1,65 	 14 	 24 	 246 	 998 	 0,6 	  
12:40 23.01.2020 	 0,9 	 1,56 	 1,58 	 15 	 24 	 250 	 998 	 0,5 	  
12:30 23.01.2020 	 0,84 	 1,49 	 1,51 	 15 	 26 	 255 	 998 	 -0,6 	  
12:20 23.01.2020 	 0,78 	 1,47 	 1,49 	 15 	 22 	 251 	 998 	 0,3 	  
12:10 23.01.2020 	 0,74 	 1,27 	 1,28 	 13 	 20 	 254 	 998 	 -0,3 	  
12:00 23.01.2020 	 0,7 	 1,45 	 1,47 	 15 	 25 	 253 	 998 	 -0,4 	  
11:50 23.01.2020 	 0,66 	 1,33 	 1,35 	 13 	 21 	 247 	 998 	 0,1 	  
11:40 23.01.2020 	 0,64 	 1,41 	 1,42 	 13 	 24 	 239 	 998 	 -0,1 	  
11:30 23.01.2020 	 0,63 	 1,29 	 1,3 	 12 	 23 	 239 	 998 	 -0,6 	  
11:20 23.01.2020 	 0,62 	 1,28 	 1,3 	 14 	 27 	 238 	 998 	 0,3 	  
11:10 23.01.2020 	 0,63 	 1,35 	 1,36 	 14 	 22 	 231 	 998 	 0,2 	  
11:00 23.01.2020 	 0,65 	 1,38 	 1,39 	 15 	 25 	 242 	 998 	 -0,2 	  
10:50 23.01.2020 	 0,67 	 1,4 	 1,42 	 12 	 23 	 238 	 998 	 0,4 	  
10:40 23.01.2020 	 0,7 	 1,42 	 1,44 	 14 	 24 	 246 	 999 	 -1 	  
10:30 23.01.2020 	 0,74 	 1,41 	 1,42 	 15 	 28 	 239 	 999 	 -0,9 	  
10:20 23.01.2020 	 0,79 	 1,62 	 1,64 	 13 	 24 	 236 	 998 	 -0,1 	  
10:10 23.01.2020 	 0,85 	 1,51 	 1,53 	 14 	 26 	 238 	 999 	 -0,4 	  
10:00 23.01.2020 	 0,91 	 1,61 	 1,63 	 12 	 20 	 235 	 998 	 0,8 	  
09:50 23.01.2020 	 0,98 	 1,65 	 1,67 	 12 	 23 	 242 	 998 	 0,4 	  
09:40 23.01.2020 	 1,06 	 1,84 	 1,86 	 15 	 26 	 238 	 999 	 -0,6 	  
09:30 23.01.2020 	 1,14 	 1,82 	 1,84 	 15 	 24 	 231 	 998 	 0,5 	  
09:20 23.01.2020 	 1,24 	 2 	 2,02 	 15 	 23 	 241 	 998 	 0,9 	  
09:10 23.01.2020 	 1,33 	 2,04 	 2,06 	 13 	 23 	 247 	 998 	 1,3 	  
09:00 23.01.2020 	 1,42 	 2,09 	 2,11 	 12 	 20 	 241 	 998 	 0,6 	  
08:50 23.01.2020 	 1,53 	 2,3 	 2,33 	 15 	 26 	 241 	 998 	 -0,2 	  
08:40 23.01.2020 	 1,62 	 2,33 	 2,35 	 18 	 27 	 250 	 999 	 -1,6 	  
08:30 23.01.2020 	 1,73 	 2,34 	 2,37 	 15 	 25 	 246 	 999 	 0,7 	  
08:20 23.01.2020 	 1,83 	 2,61 	 2,63 	 16 	 25 	 247 	 999 	 0,3 	  
08:10 23.01.2020 	 1,94 	 2,56 	 2,59 	 15 	 24 	 250 	 999 	 0,1 	  
08:00 23.01.2020 	 2,04 	 2,77 	 2,8 	 15 	 25 	 247 	 999 	 0,3 	  
07:50 23.01.2020 	 2,14 	 2,79 	 2,82 	 18 	 31 	 248 	 999 	 -1,6 	  
07:40 23.01.2020 	 2,24 	 3,15 	 3,18 	 14 	 23 	 247 	 999 	 0,7 	  
07:30 23.01.2020 	 2,33 	 2,92 	 2,95 	 15 	 27 	 252 	 998 	 0,2 	  
07:20 23.01.2020 	 2,42 	 3,04 	 3,07 	 14 	 25 	 254 	 998 	 0,2 	  
07:10 23.01.2020 	 2,51 	 3,33 	 3,36 	 16 	 26 	 252 	 999 	 0,3 	  
07:00 23.01.2020 	 2,59 	 3,33 	 3,35 	 13 	 20 	 245 	 998 	 0,7 	  
06:50 23.01.2020 	 2,67 	 3,4 	 3,43 	 15 	 26 	 250 	 999 	 0,6 	  
06:40 23.01.2020 	 2,74 	 3,58 	 3,61 	 15 	 23 	 250 	 998 	 0,9 	  
06:30 23.01.2020 	 2,81 	 3,47 	 3,5 	 16 	 24 	 251 	 999 	 -0,6 	  
06:20 23.01.2020 	 2,86 	 3,59 	 3,61 	 13 	 25 	 242 	 999 	 0,2 	  
06:10 23.01.2020 	 2,92 	 3,57 	 3,6 	 15 	 25 	 240 	 998 	 0,8 	  
06:00 23.01.2020 	 2,96 	 3,66 	 3,68 	 16 	 26 	 246 	 998 	 0,9 	  
05:50 23.01.2020 	 3 	 3,83 	 3,86 	 14 	 25 	 238 	 998 	 1 	  
05:40 23.01.2020 	 3,03 	 3,81 	 3,83 	 15 	 25 	 241 	 998 	 1 	  
05:30 23.01.2020 	 3,06 	 3,72 	 3,74 	 14 	 25 	 252 	 998 	 0,7 	  
05:20 23.01.2020 	 3,07 	 3,82 	 3,84 	 12 	 20 	 261 	 998 	 -0,6 	  
05:10 23.01.2020 	 3,08 	 3,73 	 3,75 	 14 	 26 	 251 	 998 	 -0,1 	  
05:00 23.01.2020 	 3,08 	 3,71 	 3,74 	 15 	 24 	 251 	 998 	 0,6 	  
04:50 23.01.2020 	 3,07 	 3,78 	 3,8 	 14 	 24 	 238 	 998 	 1,5 	  
04:40 23.01.2020 	 3,06 	 3,7 	 3,73 	 10 	 20 	 232 	 997 	 1,3 	  
04:30 23.01.2020 	 3,03 	 3,75 	 3,78 	 13 	 22 	 229 	 998 	 0,3 	  
04:20 23.01.2020 	 3,01 	 3,74 	 3,76 	 12 	 19 	 232 	 998 	 0,6 	  
04:10 23.01.2020 	 2,97 	 3,6 	 3,63 	 12 	 20 	 235 	 998 	 0,5 	  
04:00 23.01.2020 	 2,93 	 3,47 	 3,49 	 12 	 21 	 243 	 998 	 -0,4 	  
03:50 23.01.2020 	 2,88 	 3,64 	 3,66 	 17 	 26 	 249 	 999 	 -1,4 	  
03:40 23.01.2020 	 2,82 	 3,55 	 3,57 	 15 	 25 	 234 	 998 	 1,1 	  
03:30 23.01.2020 	 2,76 	 3,36 	 3,38 	 12 	 21 	 233 	 998 	 1,2 	  
03:20 23.01.2020 	 2,69 	 3,31 	 3,33 	 11 	 18 	 235 	 998 	 -0,2 	  
03:10 23.01.2020 	 2,62 	 3,34 	 3,37 	 16 	 30 	 228 	 998 	 -1,1 	  
03:00 23.01.2020 	 2,54 	 3,15 	 3,17 	 17 	 23 	 219 	 998 	 0,8 	  
02:50 23.01.2020 	 2,46 	 3,15 	 3,18 	 15 	 23 	 228 	 998 	 0,7 	  
02:40 23.01.2020 	 2,37 	 3,05 	 3,07 	 13 	 25 	 234 	 998 	 0,8 	  
02:30 23.01.2020 	 2,27 	 3,03 	 3,06 	 14 	 25 	 243 	 999 	 0,5 	  
02:20 23.01.2020 	 2,18 	 2,66 	 2,69 	 15 	 24 	 236 	 999 	 1,1 	  
02:10 23.01.2020 	 2,08 	 2,72 	 2,74 	 14 	 22 	 242 	 999 	 1,2 	  
02:00 23.01.2020 	 1,98 	 2,65 	 2,67 	 14 	 24 	 240 	 999 	 -0,6 	  
01:50 23.01.2020 	 1,88 	 2,44 	 2,46 	 12 	 22 	 237 	 999 	 0,9 	  
01:40 23.01.2020 	 1,78 	 2,32 	 2,34 	 13 	 22 	 246 	 999 	 -0,5 	  
01:30 23.01.2020 	 1,69 	 2,31 	 2,33 	 12 	 18 	 239 	 1000 	 0,5 	  
01:20 23.01.2020 	 1,58 	 2,17 	 2,19 	 13 	 25 	 241 	 1000 	 0,2 	  
01:10 23.01.2020 	 1,49 	 2,03 	 2,05 	 12 	 21 	 237 	 1000 	 0,1 	  
01:00 23.01.2020 	 1,4 	 2,02 	 2,05 	 12 	 20 	 238 	 1000 	 1,1 	  
00:50 23.01.2020 	 1,3 	 1,87 	 1,89 	 13 	 21 	 233 	 1000 	 1,4 	  
00:40 23.01.2020 	 1,22 	 1,84 	 1,86 	 13 	 22 	 229 	 1000 	 1 	  
00:30 23.01.2020 	 1,14 	 1,75 	 1,77 	 13 	 25 	 236 	 1000 	 0,7 	  
00:20 23.01.2020 	 1,06 	 1,66 	 1,67 	 14 	 20 	 224 	 1000 	 0,9 	  
00:10 23.01.2020 	 0,99 	 1,63 	 1,65 	 13 	 21 	 237 	 1000 	 0,6 	  
00:00 23.01.2020 	 0,94 	 1,59 	 1,61 	 15 	 26 	 236 	 1001 	 -0,2 	  
23:50 22.01.2020 	 0,88 	 1,48 	 1,5 	 11 	 18 	 236 	 1000 	 0,2 	  
23:40 22.01.2020 	 0,82 	 1,48 	 1,49 	 13 	 22 	 242 	 1001 	 -1,2 	  
23:30 22.01.2020 	 0,78 	 1,46 	 1,47 	 14 	 26 	 240 	 1001 	 -0,7 	  
23:20 22.01.2020 	 0,75 	 1,44 	 1,45 	 13 	 22 	 227 	 1000 	 0,2 	  
