Time [yyyy/MM/dd HH:mm:ss],Patreksfjordur: water level (waterlevel) at Patreksfjordur_ FlowFM [m]
2020/02/25 15:00:00,-1.2836
2020/02/25 15:05:00,-1.2922
2020/02/25 15:10:00,-1.2984
2020/02/25 15:15:00,-1.3024
2020/02/25 15:20:00,-1.3039
2020/02/25 15:25:00,-1.3031
2020/02/25 15:30:00,-1.3
2020/02/25 15:35:00,-1.2946
2020/02/25 15:40:00,-1.2869
2020/02/25 15:45:00,-1.277
2020/02/25 15:50:00,-1.265
2020/02/25 15:55:00,-1.251
2020/02/25 16:00:00,-1.2351
2020/02/25 16:05:00,-1.2173
2020/02/25 16:10:00,-1.1977
2020/02/25 16:15:00,-1.1765
2020/02/25 16:20:00,-1.1535
2020/02/25 16:25:00,-1.1289
2020/02/25 16:30:00,-1.1026
2020/02/25 16:35:00,-1.0746
2020/02/25 16:40:00,-1.0448
2020/02/25 16:45:00,-1.0131
2020/02/25 16:50:00,-0.97961
2020/02/25 16:55:00,-0.94421
2020/02/25 17:00:00,-0.90696
2020/02/25 17:05:00,-0.86791
2020/02/25 17:10:00,-0.82712
2020/02/25 17:15:00,-0.78467
2020/02/25 17:20:00,-0.74067
2020/02/25 17:25:00,-0.69526
2020/02/25 17:30:00,-0.64857
2020/02/25 17:35:00,-0.60078
2020/02/25 17:40:00,-0.55203
2020/02/25 17:45:00,-0.50252
2020/02/25 17:50:00,-0.4524
2020/02/25 17:55:00,-0.40181
2020/02/25 18:00:00,-0.35088
2020/02/25 18:05:00,-0.29976
2020/02/25 18:10:00,-0.24858
2020/02/25 18:15:00,-0.19747
2020/02/25 18:20:00,-0.14654
2020/02/25 18:25:00,-0.095874
2020/02/25 18:30:00,-0.045519
2020/02/25 18:35:00,0.0044997
2020/02/25 18:40:00,0.05416
2020/02/25 18:45:00,0.10343
2020/02/25 18:50:00,0.15227
2020/02/25 18:55:00,0.2006
2020/02/25 19:00:00,0.24835
2020/02/25 19:05:00,0.29538
2020/02/25 19:10:00,0.34161
2020/02/25 19:15:00,0.38692
2020/02/25 19:20:00,0.43126
2020/02/25 19:25:00,0.47454
2020/02/25 19:30:00,0.51668
2020/02/25 19:35:00,0.55756
2020/02/25 19:40:00,0.59706
2020/02/25 19:45:00,0.63501
2020/02/25 19:50:00,0.67123
2020/02/25 19:55:00,0.70557
2020/02/25 20:00:00,0.73791
2020/02/25 20:05:00,0.76818
2020/02/25 20:10:00,0.79635
2020/02/25 20:15:00,0.82243
2020/02/25 20:20:00,0.84642
2020/02/25 20:25:00,0.86837
2020/02/25 20:30:00,0.8883
2020/02/25 20:35:00,0.90625
2020/02/25 20:40:00,0.92224
2020/02/25 20:45:00,0.93622
2020/02/25 20:50:00,0.94819
2020/02/25 20:55:00,0.95814
2020/02/25 21:00:00,0.96612
2020/02/25 21:05:00,0.97214
2020/02/25 21:10:00,0.97622
2020/02/25 21:15:00,0.9784
2020/02/25 21:20:00,0.97869
2020/02/25 21:25:00,0.97714
2020/02/25 21:30:00,0.97377
2020/02/25 21:35:00,0.96858
